'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DALWALLINU Western Australia for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DALWALLINU,01/07/2023,2.3,0.0, ,16.4,0.9,88,33,3.23,12.79
DALWALLINU,02/07/2023,2.9,0.0, ,17.3,1.1,79,28,4.28,12.82
DALWALLINU,03/07/2023,2.9,0.0, ,19.1,0.1,93,41,5.55,10.17
DALWALLINU,04/07/2023,1.8,3.0, ,14.7,8.7,93,59,4.95,11.14
DALWALLINU,05/07/2023,2.0,0.0, ,14.7,7.0,93,50,4.61,10.66
DALWALLINU,06/07/2023,1.6,1.4, ,15.4,3.8,91,59,3.19,9.73
DALWALLINU,07/07/2023,2.0,0.2, ,18.5,6.0,95,56,3.66,11.55
DALWALLINU,08/07/2023, ,0.0, , ,5.6,94,50,1.83,11.08
DALWALLINU,09/07/2023,1.7,0.2, ,18.7,5.0,93,42,1.60,13.05
DALWALLINU,10/07/2023,2.3,0.0, ,20.0,3.1,92,31,2.43,13.18
DALWALLINU,11/07/2023,2.4,0.0, ,20.8,2.0,92,26,2.33,13.24
DALWALLINU,12/07/2023,2.8,0.0, ,21.9,0.8,95,26,2.89,13.30
DALWALLINU,13/07/2023,2.1,0.6, ,19.6,7.3,95,61,4.42,11.77
DALWALLINU,14/07/2023,1.9,4.8, ,15.5,10.0,95,58,3.96,12.43
DALWALLINU,15/07/2023,2.3,1.0, ,15.1,2.0,92,37,3.94,13.49
DALWALLINU,16/07/2023,2.3,0.0, ,17.2,0.6,80,32,2.56,13.56
DALWALLINU,17/07/2023,2.1,0.0, ,19.3,1.2,85,28,1.79,13.63
DALWALLINU,18/07/2023,3.8,0.0, ,21.3,3.0,82,31,5.43,13.45
DALWALLINU,19/07/2023,2.2,5.0, ,13.8,11.0,93,51,5.64,13.10
DALWALLINU,20/07/2023,1.8,0.8, ,15.7,2.3,92,49,2.36,13.70
DALWALLINU,21/07/2023,2.1,0.0, ,18.1,3.1,94,51,3.04,13.88
DALWALLINU,22/07/2023,2.5,0.2, ,18.4,3.3,95,37,3.29,14.02
DALWALLINU,23/07/2023,3.2,0.0, ,20.3,2.5,88,24,3.74,14.11
DALWALLINU,24/07/2023,4.4,0.0, ,21.1,4.0,68,19,5.40,14.20
DALWALLINU,25/07/2023,3.3,0.0, ,18.0,5.9,78,25,5.01,5.29
DALWALLINU,26/07/2023,2.1,5.4, ,15.1,8.6,95,55,4.97,13.82
DALWALLINU,27/07/2023,1.9,0.8, ,16.2,6.1,95,59,3.65,12.71
DALWALLINU,28/07/2023,2.1,0.2, ,17.7,7.9,94,52,3.27,12.46
DALWALLINU,29/07/2023,1.8,0.0, ,17.8,7.7,95,70,3.62,11.76
DALWALLINU,30/07/2023,1.7,2.4, ,17.6,9.2,94,50,1.47,11.93
DALWALLINU,31/07/2023,2.1,0.0, ,20.1,4.6,94,43,1.84,14.88
Totals:,,70.4,26, ,,,,,, 
