'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DALWALLINU Western Australia for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DALWALLINU,01/09/2023,4.6,0.0, ,25.3,8.6,95,33,5.22,15.94
DALWALLINU,02/09/2023,3.3,0.4, ,20.6,9.9,95,43,4.82,13.15
DALWALLINU,03/09/2023,3.0,2.2, ,15.6,9.6,92,50,6.08,17.31
DALWALLINU,04/09/2023,3.4,0.0, ,20.7,5.5,93,44,3.95,17.56
DALWALLINU,05/09/2023,3.6,0.2, ,21.2,6.5,95,38,4.24,16.47
DALWALLINU,06/09/2023,3.5,0.2, ,18.5,10.5,94,40,5.16,16.46
DALWALLINU,07/09/2023,4.6,0.0, ,20.8,0.6,92,16,4.57,19.76
DALWALLINU,08/09/2023,6.2,0.0, ,26.3,4.4,54,12,4.73,19.85
DALWALLINU,09/09/2023,5.6,0.0, ,27.8,12.0,88,21,4.81,17.25
DALWALLINU,10/09/2023,4.7,0.0, ,28.2,6.8,93,24,2.97,19.65
DALWALLINU,11/09/2023,5.9,0.0, ,32.8,7.6,94,18,3.30,20.23
DALWALLINU,12/09/2023,3.7,0.0, ,25.1,9.1,94,37,3.01,15.86
DALWALLINU,13/09/2023,3.7,0.0, ,22.1,11.3,95,48,7.77,10.74
DALWALLINU,14/09/2023,3.6,11.0, ,21.3,8.4,94,48,3.81,19.73
DALWALLINU,15/09/2023,3.9,0.2, ,24.5,9.2,92,44,3.24,19.15
DALWALLINU,16/09/2023,3.9,0.0, ,24.1,7.9,95,40,2.79,21.11
DALWALLINU,17/09/2023,4.3,0.0, ,21.1,10.2,95,34,4.95,20.82
DALWALLINU,18/09/2023,4.3,0.0, ,20.7,5.8,91,34,4.94,21.40
DALWALLINU,19/09/2023,3.4,0.0, ,20.7,9.6,89,46,3.86,15.33
DALWALLINU,20/09/2023,4.4,0.0, ,24.6,4.3,95,30,3.17,21.75
DALWALLINU,21/09/2023,5.3,0.0, ,30.4,9.1,78,16,3.68,10.01
DALWALLINU,22/09/2023,8.7,0.0, ,34.6,17.9,84,14,6.43,21.96
DALWALLINU,23/09/2023,4.1,0.0, ,22.5,12.6,92,44,4.27,19.38
DALWALLINU,24/09/2023,5.5,0.0, ,24.5,7.8,94,28,5.86,21.95
DALWALLINU,25/09/2023,5.6,0.0, ,25.1,10.8,85,31,5.55,22.26
DALWALLINU,26/09/2023,7.1,0.0, ,28.4,6.4,92,14,5.79,22.37
DALWALLINU,27/09/2023,8.8,0.0, ,35.8,13.4,57,13,5.06,22.45
DALWALLINU,28/09/2023,7.6,0.0, ,36.7,18.8,56,14,4.07,17.93
DALWALLINU,29/09/2023,6.8,0.0, ,31.3,10.1,84,20,4.43,22.61
DALWALLINU,30/09/2023,4.5,0.0, ,23.8,9.6,92,34,4.18,19.00
Totals:,,147.6,14.2, ,,,,,, 
