'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DERBY AERO Western Australia for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DERBY AERO,01/12/2022,8.3,0.0, ,38.1,25.9,100,23,3.65,28.81
DERBY AERO,02/12/2022,8.3,0.0, ,38.5,24.7,93,29,3.55,29.58
DERBY AERO,03/12/2022,8.4,0.0, ,38.8,23.6,86,23,3.27,29.71
DERBY AERO,04/12/2022,8.3,0.0, ,39.0,24.7,89,27,3.23,29.72
DERBY AERO,05/12/2022,8.8,0.0, ,40.1,26.2,86,28,3.71,29.03
DERBY AERO,06/12/2022,8.3,0.0, ,38.0,24.7,83,37,3.80,29.75
DERBY AERO,07/12/2022,8.3,0.0, ,37.0,26.0,87,45,4.88,29.75
DERBY AERO,08/12/2022,8.9,0.0, ,39.0,26.4,89,25,3.91,29.69
DERBY AERO,09/12/2022,8.3,0.0, ,39.2,25.7,85,35,3.29,29.76
DERBY AERO,10/12/2022,9.0,0.0, ,40.9,27.9,84,25,4.63,24.24
DERBY AERO,11/12/2022,8.1,0.0, ,40.0,28.4,83,28,4.69,19.92
DERBY AERO,12/12/2022,9.7,0.0, ,38.9,28.3,81,34,6.29,27.35
DERBY AERO,13/12/2022,7.5,0.8, ,36.8,24.9,90,41,4.27,26.08
DERBY AERO,14/12/2022,8.9,0.0, ,38.6,27.2,84,34,4.89,27.86
DERBY AERO,15/12/2022,8.1,0.0, ,37.3,27.7,84,42,4.13,28.37
DERBY AERO,16/12/2022,8.1,0.0, ,36.9,26.2,85,48,5.47,27.82
DERBY AERO,17/12/2022,8.7,0.0, ,36.2,26.5,86,38,5.50,29.75
DERBY AERO,18/12/2022,8.0,0.0, ,36.7,23.6,88,37,3.84,29.39
DERBY AERO,19/12/2022,9.4,0.0, ,38.7,22.9,89,17,4.33,29.77
DERBY AERO,20/12/2022,6.9,0.0, ,36.0,24.8,79,41,4.29,20.92
DERBY AERO,21/12/2022,8.5,0.0, ,37.7,26.2,73,30,4.46,25.82
DERBY AERO,22/12/2022,9.0,0.0, ,38.6,26.2,76,29,4.61,27.69
DERBY AERO,23/12/2022,9.0,0.0, ,40.2,27.4,71,30,4.08,27.42
DERBY AERO,24/12/2022,7.8,0.0, ,37.9,28.1,83,43,4.62,24.69
DERBY AERO,25/12/2022,7.6,0.0, ,37.0,27.9,86,48,4.81,25.48
DERBY AERO,26/12/2022,7.7,0.0, ,36.5,27.8,83,43,4.78,25.18
DERBY AERO,27/12/2022,8.4,0.0, ,37.7,27.9,89,43,5.15,28.04
DERBY AERO,28/12/2022,4.4,20.8, ,31.9,25.0,98,64,5.36,15.64
DERBY AERO,29/12/2022,6.1,0.0, ,35.8,27.3,98,49,4.77,20.00
DERBY AERO,30/12/2022,2.3,12.8, ,29.3,24.9,100,76,6.01,5.94
DERBY AERO,31/12/2022,3.7,27.0, ,31.8,23.6,100,65,5.87,10.76
Totals:,,242.8,61.4, ,,,,,, 
