'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DERBY AERO Western Australia for February 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DERBY AERO,01/02/2023,6.0,0.2, ,34.4,26.0,100,64,3.59,25.66
DERBY AERO,02/02/2023,5.9,27.6, ,33.5,23.7,100,51,3.34,24.53
DERBY AERO,03/02/2023,6.9,0.8, ,34.7,24.3,100,56,4.40,29.10
DERBY AERO,04/02/2023,7.1,2.0, ,35.9,24.7,89,46,2.76,28.96
DERBY AERO,05/02/2023,6.9,0.2, ,35.1,25.6,100,42,3.54,26.76
DERBY AERO,06/02/2023,7.4,0.0, ,35.2,24.9,87,43,3.64,28.60
DERBY AERO,07/02/2023,6.8,0.0, ,34.0,26.1,91,54,3.83,27.95
DERBY AERO,08/02/2023,7.2,0.0, ,34.9,27.3,94,54,4.40,28.95
DERBY AERO,09/02/2023,7.1,0.0, ,36.7,26.3,99,52,3.38,28.33
DERBY AERO,10/02/2023,7.5,0.0, ,36.3,27.5,94,49,4.93,27.64
DERBY AERO,11/02/2023,8.2,0.0, ,37.4,25.5,99,41,5.15,28.79
DERBY AERO,12/02/2023,6.6,6.2, ,35.5,22.7,97,48,3.41,26.13
DERBY AERO,13/02/2023,7.1,0.0, ,37.9,25.6,93,35,3.16,24.93
DERBY AERO,14/02/2023,7.5,0.0, ,38.9,26.5,94,39,3.27,26.83
DERBY AERO,15/02/2023,7.9,0.0, ,38.5,26.2,99,36,4.64,25.73
DERBY AERO,16/02/2023,6.9,10.8, ,34.9,23.9,90,54,3.89,28.48
DERBY AERO,17/02/2023,6.9,0.2, ,36.4,27.2,99,52,3.75,26.66
DERBY AERO,18/02/2023,7.0,0.0, ,36.0,24.8,88,56,4.64,26.60
DERBY AERO,19/02/2023,6.8,0.0, ,36.2,27.7,95,54,4.79,24.62
DERBY AERO,20/02/2023,4.4,17.0, ,31.7,24.7,100,59,2.98,17.93
DERBY AERO,21/02/2023,4.8,6.4, ,32.4,25.0,100,66,3.96,20.29
DERBY AERO,22/02/2023,4.8,0.0, ,33.4,24.4,100,58,2.89,19.19
DERBY AERO,23/02/2023,4.5,0.2, ,32.5,24.9,100,59,2.44,18.84
DERBY AERO,24/02/2023,3.9,9.6, ,33.1,25.1,100,67,2.80,15.25
DERBY AERO,25/02/2023,5.2,17.8, ,33.7,24.1,100,59,2.82,22.00
DERBY AERO,26/02/2023,5.8,0.2, ,35.1,26.1,100,49,4.16,20.23
DERBY AERO,27/02/2023,6.7,0.0, ,35.4,25.6,100,47,3.59,26.68
DERBY AERO,28/02/2023,6.7,17.0, ,36.1,22.5,100,50,5.07,24.24
Totals:,,180.5,116.2, ,,,,,, 
