'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DERBY AERO Western Australia for May 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 June 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DERBY AERO,01/05/2023,4.8,0.0, ,32.6,18.2,93,46,3.05,20.26
DERBY AERO,02/05/2023,4.6,0.0, ,33.3,22.2,99,46,2.89,18.49
DERBY AERO,03/05/2023,6.4,0.0, ,33.7,23.0,72,24,3.97,20.11
DERBY AERO,04/05/2023,6.0,0.0, ,33.3,18.7,74,22,3.42,20.24
DERBY AERO,05/05/2023,6.1,0.0, ,33.5,18.0,78,22,3.60,20.13
DERBY AERO,06/05/2023,5.6,0.0, ,34.7,17.5,83,29,3.14,20.02
DERBY AERO,07/05/2023,6.7,0.0, ,34.7,21.2,65,31,4.38,19.91
DERBY AERO,08/05/2023,6.4,0.0, ,33.1,19.4,65,27,4.21,19.79
DERBY AERO,09/05/2023,6.4,0.0, ,32.2,17.4,53,25,4.14,19.74
DERBY AERO,10/05/2023,5.6,0.0, ,31.0,15.3,58,23,3.34,19.42
DERBY AERO,11/05/2023, ,0.0, , ,13.6,57,15,3.99,19.46
DERBY AERO,12/05/2023, , , ,32.6, ,50,15,4.22,19.28
DERBY AERO,13/05/2023,6.5,0.0, ,32.2,14.4,56,13,3.96,19.18
DERBY AERO,14/05/2023,5.5,0.0, ,32.5,11.5,76,14,2.92,19.08
DERBY AERO,15/05/2023,5.8,0.0, ,32.3,11.9,76,18,3.52,19.07
DERBY AERO,16/05/2023,5.2,0.0, ,33.8,11.9,81,23,2.67,18.96
DERBY AERO,17/05/2023,5.6,0.0, ,33.1,16.8,75,29,3.65,18.61
DERBY AERO,18/05/2023,6.4,0.0, ,31.5,21.5,58,24,4.50,18.64
DERBY AERO,19/05/2023,6.3,0.0, ,30.6,14.7,57,17,4.30,18.62
DERBY AERO,20/05/2023,7.0,0.0, ,29.5,13.3,53,19,5.75,18.54
DERBY AERO,21/05/2023,6.3,0.0, ,27.8,13.3,47,17,4.86,18.46
DERBY AERO,22/05/2023,5.5,0.0, ,28.3,10.2,63,17,3.80,18.35
DERBY AERO,23/05/2023,5.3,0.0, ,29.7,11.2,72,18,3.42,18.33
DERBY AERO,24/05/2023,4.1,0.0, ,31.6,10.5,82,22,1.84,18.24
DERBY AERO,25/05/2023,5.3,0.0, ,32.9,12.1,80,16,2.95,18.23
DERBY AERO,26/05/2023,5.4,0.0, ,31.7,13.4,61,20,3.27,18.19
DERBY AERO,27/05/2023,6.2,0.0, ,31.9,16.1,55,26,4.33,18.06
DERBY AERO,28/05/2023,6.7,0.0, ,29.4,16.0,43,15,4.91,17.95
DERBY AERO,29/05/2023,5.6,0.0, ,28.1,13.9,58,18,4.05,17.84
DERBY AERO,30/05/2023,5.1,0.0, ,30.1,8.2,70,18,3.09,17.75
DERBY AERO,31/05/2023,4.6,0.0, ,31.5,10.1,87,17,2.42,17.76
Totals:,,167,0, ,,,,,, 
