'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DERBY AERO Western Australia for October 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DERBY AERO,01/10/2023,7.2,0.0, ,35.9,23.1,98,39,4.51,26.30
DERBY AERO,02/10/2023,7.0,0.0, ,34.9,26.1,87,50,4.84,26.10
DERBY AERO,03/10/2023,6.5,0.0, ,35.7,21.8,99,38,2.92,26.09
DERBY AERO,04/10/2023,9.7,0.0, ,40.6,19.3,93,9,4.54,26.77
DERBY AERO,05/10/2023,9.9,0.0, ,39.9,19.4,30,9,4.19,26.80
DERBY AERO,06/10/2023,8.5,0.0, ,34.2,22.8,72,19,4.79,27.01
DERBY AERO,07/10/2023,7.6,0.0, ,37.0,22.8,79,24,3.19,26.88
DERBY AERO,08/10/2023,8.9,0.0, ,38.5,19.0,44,6,3.59,26.87
DERBY AERO,09/10/2023,9.7,0.0, ,39.4,17.9,77,7,4.37,27.25
DERBY AERO,10/10/2023,8.7,0.0, ,41.0,17.8,83,5,3.13,27.34
DERBY AERO,11/10/2023,8.2,0.0, ,38.1,17.4,81,24,3.78,27.28
DERBY AERO,12/10/2023,9.2,0.0, ,38.4,23.4,89,16,4.79,27.43
DERBY AERO,13/10/2023,8.0,0.0, ,38.4,22.9,90,26,3.54,27.50
DERBY AERO,14/10/2023,8.0,0.0, ,37.2,23.3,82,27,3.73,27.54
DERBY AERO,15/10/2023,8.3,0.0, ,39.7,23.0,91,20,3.55,27.14
DERBY AERO,16/10/2023,9.8,0.0, ,42.3,19.9,92,5,3.91,27.71
DERBY AERO,17/10/2023,9.0,0.0, ,39.6,20.0,75,11,3.74,27.80
DERBY AERO,18/10/2023,9.0,0.0, ,40.7,18.5,77,14,3.53,27.90
DERBY AERO,19/10/2023,9.4,0.0, ,41.1,20.4,72,8,3.67,27.99
DERBY AERO,20/10/2023,8.7,0.0, ,38.9,17.8,85,18,3.78,28.07
DERBY AERO,21/10/2023,8.6,0.0, ,36.5,23.9,100,29,5.75,28.10
DERBY AERO,22/10/2023,8.0,0.0, ,36.5,22.9,100,32,4.64,28.21
DERBY AERO,23/10/2023,6.9,0.0, ,34.7,22.2,100,53,5.01,28.27
DERBY AERO,24/10/2023,8.9,0.0, ,39.5,21.7,89,26,4.34,28.30
DERBY AERO,25/10/2023,8.5,0.0, ,37.9,25.1,87,31,4.55,28.16
DERBY AERO,26/10/2023,8.2,0.0, ,38.1,24.6,90,39,4.40,28.45
DERBY AERO,27/10/2023, ,0.0, , ,23.5,81,29,3.63,28.44
DERBY AERO,28/10/2023, , , , , , , , ,28.55
DERBY AERO,29/10/2023,7.8, , ,37.7,24.0,93,33,3.58,28.46
DERBY AERO,30/10/2023,7.1,0.0, ,34.7,23.3,92,54,5.06,28.67
DERBY AERO,31/10/2023,7.1,0.0, ,34.4,25.4,94,55,4.84,28.68
Totals:,,242.4,0, ,,,,,, 
