'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DWELLINGUP Western Australia for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DWELLINGUP,01/10/2022,2.9,0.0, ,23.2,8.4,89,22,0.00,22.24
DWELLINGUP,02/10/2022,2.3,0.0, ,18.5,8.9,83,49,0.00,16.69
DWELLINGUP,03/10/2022,2.7,0.0, ,18.1,7.9,82,37,0.00,21.58
DWELLINGUP,04/10/2022,2.9,0.0, ,22.1,5.5,92,31,0.00,23.06
DWELLINGUP,05/10/2022,2.7,5.2, ,17.4,11.3,94,46,0.00,19.44
DWELLINGUP,06/10/2022,2.3,0.2, ,16.0,4.8,91,47,0.00,18.40
DWELLINGUP,07/10/2022,2.7,0.6, ,18.1,3.6,95,38,0.00,21.46
DWELLINGUP,08/10/2022,3.0,0.2, ,20.5,3.0,95,29,0.00,24.36
DWELLINGUP,09/10/2022,2.1,0.0, ,18.6,4.4,93,52,0.00,15.26
DWELLINGUP,10/10/2022,2.3,1.0, ,15.2,9.2,93,45,0.00,16.30
DWELLINGUP,11/10/2022,2.5,1.0, ,16.7,3.9,93,40,0.00,19.91
DWELLINGUP,12/10/2022,2.5,1.2, ,16.9,3.9,94,40,0.00,20.08
DWELLINGUP,13/10/2022,2.7,0.2, ,17.2,1.1,93,42,0.00,22.67
DWELLINGUP,14/10/2022,2.8,0.0, ,19.3,3.0,94,40,0.00,22.28
DWELLINGUP,15/10/2022,3.0,0.0, ,20.2,5.5,95,36,0.00,22.30
DWELLINGUP,16/10/2022,3.0,0.0, ,18.4,3.9,94,37,0.00,23.57
DWELLINGUP,17/10/2022,2.8,0.8, ,19.6,7.2,93,46,0.00,20.33
DWELLINGUP,18/10/2022,3.5,0.4, ,23.9,6.6,93,32,0.00,25.94
DWELLINGUP,19/10/2022,3.6,0.0, ,28.8,8.4,94,13,0.00,26.08
DWELLINGUP,20/10/2022,2.3,0.0, ,19.4,10.6,93,51,0.00,14.32
DWELLINGUP,21/10/2022,2.2,4.0, ,17.3,11.6,94,56,0.00,13.27
DWELLINGUP,22/10/2022,2.8,1.2, ,22.2,10.8,94,40,0.00,17.59
DWELLINGUP,23/10/2022,1.9,0.0, ,20.7,9.2,93,52,0.00,11.13
DWELLINGUP,24/10/2022,2.7,9.0, ,18.7,12.1,95,62,0.00,16.73
DWELLINGUP,25/10/2022,2.8,3.2, ,18.6,9.7,95,49,0.00,18.64
DWELLINGUP,26/10/2022,2.3,0.2, ,19.2,5.9,95,47,0.00,15.72
DWELLINGUP,27/10/2022,2.8,0.0, ,19.5,5.2,92,42,0.00,20.39
DWELLINGUP,28/10/2022,3.6,0.0, ,23.4,9.1,77,38,0.00,24.63
DWELLINGUP,29/10/2022,1.1,5.4, ,13.3,9.5,91,69,0.00,4.76
DWELLINGUP,30/10/2022,2.8,0.8, ,14.1,6.7,88,47,0.00,20.83
DWELLINGUP,31/10/2022,2.9,0.4, ,17.5,4.8,93,45,0.00,21.09
Totals:,,82.5,35, ,,,,,, 
