'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DWELLINGUP Western Australia for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DWELLINGUP,01/11/2022,3.3,0.2, ,21.5,7.0,86,42,0.00,23.23
DWELLINGUP,02/11/2022,4.0,0.0, ,23.6,11.4,91,38,0.00,26.55
DWELLINGUP,03/11/2022,3.6,0.0, ,27.4,11.2,88,31,0.00,22.64
DWELLINGUP,04/11/2022,3.5,0.0, ,20.8,12.6,90,47,0.00,22.44
DWELLINGUP,05/11/2022,3.9,0.0, ,23.7,7.8,91,27,0.00,27.70
DWELLINGUP,06/11/2022,3.5,0.4, ,24.0,9.5,87,40,0.00,22.46
DWELLINGUP,07/11/2022,3.5,0.2, ,24.0,10.7,86,43,0.00,22.11
DWELLINGUP,08/11/2022,2.6,0.0, ,21.5,13.0,88,54,0.00,14.82
DWELLINGUP,09/11/2022,3.4,0.0, ,21.8,9.4,93,44,0.00,22.00
DWELLINGUP,10/11/2022,2.5,1.2, ,18.1,7.6,92,62,0.00,15.79
DWELLINGUP,11/11/2022,2.8,1.4, ,18.2,9.7,86,39,0.00,18.10
DWELLINGUP,12/11/2022,2.5,0.2, ,17.7,3.6,93,38,0.00,17.39
DWELLINGUP,13/11/2022,2.9,0.0, ,20.8,8.8,89,33,0.00,19.36
DWELLINGUP,14/11/2022, ,0.0, , ,7.5,86,23,0.00,29.67
DWELLINGUP,15/11/2022,4.3, , ,26.8,8.4,79,19,0.00,29.90
DWELLINGUP,16/11/2022,4.5,0.0, ,29.3,9.1,86,21,0.00,29.82
DWELLINGUP,17/11/2022,2.5,2.2, ,18.0,11.7,92,57,0.00,15.44
DWELLINGUP,18/11/2022,2.6,21.0, ,14.3,7.9,93,47,0.00,17.92
DWELLINGUP,19/11/2022,3.0,4.8, ,17.8,4.9,94,52,0.00,21.21
DWELLINGUP,20/11/2022,3.5,0.6, ,22.5,6.4,95,35,0.00,23.66
DWELLINGUP,21/11/2022,4.5,0.0, ,27.0,9.0,79,21,0.00,30.49
DWELLINGUP,22/11/2022,4.1,0.0, ,31.8,10.5,74,15,0.00,26.21
DWELLINGUP,23/11/2022,4.8,6.2, ,25.9,14.6,91,43,0.00,28.78
DWELLINGUP,24/11/2022,3.3,0.0, ,20.9,14.9,88,43,0.00,20.04
DWELLINGUP,25/11/2022,3.4,0.0, ,21.8,10.4,91,53,0.00,20.83
DWELLINGUP,26/11/2022,3.8,0.0, ,23.6,8.8,93,37,0.00,24.58
DWELLINGUP,27/11/2022,4.6,0.0, ,24.9,9.0,82,29,0.00,30.80
DWELLINGUP,28/11/2022,4.7,0.0, ,28.3,9.7,79,22,0.00,30.93
DWELLINGUP,29/11/2022,4.8,0.0, ,33.9,11.9,78,12,0.00,30.85
DWELLINGUP,30/11/2022,5.2,0.0, ,32.7,20.4,78,19,0.00,29.69
Totals:,,105.6,38.4, ,,,,,, 
