'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DWELLINGUP Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DWELLINGUP,01/04/2023,1.3, , ,19.8,14.7,94,77,0.00,7.12
DWELLINGUP,02/04/2023,2.0,0.0, ,22.0,16.1,94,62,0.00,12.22
DWELLINGUP,03/04/2023,2.4,0.0, ,26.5,11.2,98,38,0.00,17.88
DWELLINGUP,04/04/2023,2.2,0.0, ,23.4,12.2,94,37,0.00,16.07
DWELLINGUP,05/04/2023,2.2,0.0, ,21.6,8.5,96,52,0.00,16.79
DWELLINGUP,06/04/2023,2.3,0.0, ,23.2,10.8,93,41,0.00,17.69
DWELLINGUP,07/04/2023,1.1,0.0, ,17.6,11.8,94,71,0.00,5.54
DWELLINGUP,08/04/2023,1.8,5.0, ,19.9,11.8,87,60,0.00,12.70
DWELLINGUP,09/04/2023,1.7,0.0, ,21.4,12.3,94,57,0.00,11.53
DWELLINGUP,10/04/2023,1.6,0.0, ,21.8,8.9,97,46,0.00,11.59
DWELLINGUP,11/04/2023,1.7,20.4, ,20.2,12.3,97,57,0.00,11.79
DWELLINGUP,12/04/2023,1.5,2.6, ,21.0,14.7,97,61,0.00,9.54
DWELLINGUP,13/04/2023,1.4,0.2, ,20.4,14.5,96,58,0.00,8.63
DWELLINGUP,14/04/2023,1.7,33.2, ,16.0,6.4,94,46,0.00,15.48
DWELLINGUP,15/04/2023,1.5,1.0, ,18.3,6.8,97,61,0.00,11.94
DWELLINGUP,16/04/2023,1.7,2.6, ,21.2,12.4,98,61,0.00,12.51
DWELLINGUP,17/04/2023,1.5,0.0, ,20.9,9.0,98,66,0.00,11.19
DWELLINGUP,18/04/2023,1.9,0.4, ,20.2,9.0,97,45,0.00,16.64
DWELLINGUP,19/04/2023, ,0.0, , ,6.7,92,39,0.00,16.50
DWELLINGUP,20/04/2023, , , ,23.2, ,92,34,0.00,16.34
DWELLINGUP,21/04/2023,1.7,0.0, ,25.5,5.2,95,29,0.00,16.19
DWELLINGUP,22/04/2023,1.7,0.0, ,26.8,7.5,95,24,0.00,15.84
DWELLINGUP,23/04/2023,1.7,0.0, ,27.0,7.1,95,26,0.00,15.80
DWELLINGUP,24/04/2023,1.5,13.0, ,16.6,10.8,96,64,0.00,12.37
DWELLINGUP,25/04/2023,0.8,8.8, ,14.4,5.4,98,93,0.00,5.02
DWELLINGUP,26/04/2023,1.5,80.6, ,19.1,8.4,98,62,0.00,13.29
DWELLINGUP,27/04/2023,1.4,6.6, ,17.3,12.8,97,51,0.00,10.98
DWELLINGUP,28/04/2023,1.3,0.0, ,17.3,4.1,98,50,0.00,13.41
DWELLINGUP,29/04/2023,1.4,0.0, ,18.7,3.1,98,45,0.00,15.03
DWELLINGUP,30/04/2023,1.4,0.0, ,19.5,5.0,97,51,0.00,14.29
Totals:,,45.9,174.4, ,,,,,, 
