'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESPERANCE Western Australia for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESPERANCE,01/09/2022,1.9,0.0, ,16.5,6.3,97,65,3.61,11.71
ESPERANCE,02/09/2022,2.2,0.0, ,17.2,7.2,95,61,4.12,12.09
ESPERANCE,03/09/2022,2.6,0.0, ,17.6,9.8,88,50,4.22,10.95
ESPERANCE,04/09/2022,3.0,0.4, ,19.7,11.0,89,46,4.57,11.41
ESPERANCE,05/09/2022,2.8,0.2, ,23.0,11.4,93,49,3.21,10.79
ESPERANCE,06/09/2022,2.8,0.6, ,18.6,12.8,96,55,4.07,15.80
ESPERANCE,07/09/2022,2.5,1.4, ,17.0,9.1,95,59,6.33,11.29
ESPERANCE,08/09/2022,2.2,5.8, ,14.6,11.2,80,55,3.73,8.58
ESPERANCE,09/09/2022,3.0,0.0, ,17.9,9.0,87,49,3.48,17.78
ESPERANCE,10/09/2022,2.9,0.0, ,18.0,9.9,92,57,3.50,19.03
ESPERANCE,11/09/2022,3.5,0.0, ,23.2,8.0,95,47,3.66,17.98
ESPERANCE,12/09/2022,6.3,0.0, ,27.8,13.9,72,29,6.63,17.30
ESPERANCE,13/09/2022,4.1,0.0, ,21.4,13.3,91,45,8.20,13.95
ESPERANCE,14/09/2022,3.6,15.0, ,17.4,7.7,93,44,8.03,17.21
ESPERANCE,15/09/2022,2.4,17.8, ,16.7,9.9,95,64,6.71,11.33
ESPERANCE,16/09/2022,3.2,5.6, ,16.5,11.7,82,51,6.35,12.84
ESPERANCE,17/09/2022,3.5,0.2, ,20.0,9.1,91,48,4.15,20.07
ESPERANCE,18/09/2022,3.0,0.0, ,20.2,10.9,93,54,3.23,16.83
ESPERANCE,19/09/2022,2.8,0.0, ,19.3,9.3,93,57,3.54,15.34
ESPERANCE,20/09/2022,3.4,8.4, ,20.2,9.9,90,52,5.06,17.20
ESPERANCE,21/09/2022,4.5,0.2, ,24.7,10.7,90,40,4.18,21.00
ESPERANCE,22/09/2022,3.0,0.6, ,16.3,12.8,93,43,4.67,13.87
ESPERANCE,23/09/2022,4.3,0.0, ,22.6,5.9,89,35,4.08,21.15
ESPERANCE,24/09/2022,2.8,0.0, ,17.1,12.1,89,53,4.93,12.43
ESPERANCE,25/09/2022,3.5,1.0, ,19.0,9.4,90,44,3.95,18.58
ESPERANCE,26/09/2022,2.9,0.0, ,18.3,12.5,93,61,3.56,17.24
ESPERANCE,27/09/2022,3.3,0.0, ,19.3,8.1,95,56,3.79,21.39
ESPERANCE,28/09/2022,5.0,0.0, ,24.4,10.0,86,35,4.66,22.28
ESPERANCE,29/09/2022,3.9,0.0, ,20.6,9.5,90,55,5.51,22.45
ESPERANCE,30/09/2022,3.8,0.0, ,20.0,8.9,88,50,4.80,21.33
Totals:,,98.7,57.2, ,,,,,, 
