'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESPERANCE Western Australia for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESPERANCE,01/11/2022,3.2,2.2, ,17.7,12.9,94,65,5.33,19.26
ESPERANCE,02/11/2022,3.3,1.8, ,17.7,12.1,96,70,3.51,22.61
ESPERANCE,03/11/2022,4.3,0.0, ,24.7,12.2,88,52,4.36,18.83
ESPERANCE,04/11/2022,8.7,0.0, ,33.0,14.4,83,22,6.88,23.49
ESPERANCE,05/11/2022,4.8,0.0, ,19.1,14.6,78,53,5.23,26.88
ESPERANCE,06/11/2022,4.5,0.0, ,20.2,13.3,77,51,6.49,19.68
ESPERANCE,07/11/2022,2.0,18.0, ,18.4,12.9,95,76,4.67,9.11
ESPERANCE,08/11/2022,3.0,2.2, ,18.2,14.1,92,66,5.48,14.92
ESPERANCE,09/11/2022,3.2,0.2, ,21.9,14.6,90,64,3.31,15.14
ESPERANCE,10/11/2022,4.7,0.0, ,27.9,11.9,94,40,3.59,17.07
ESPERANCE,11/11/2022,2.9,0.0, ,19.0,15.5,93,68,5.28,14.24
ESPERANCE,12/11/2022,3.1,14.4, ,18.1,10.4,94,69,6.01,19.66
ESPERANCE,13/11/2022,3.1,4.0, ,16.7,12.4,89,55,5.95,13.45
ESPERANCE,14/11/2022,3.9,0.6, ,17.6,11.6,87,50,4.00,22.03
ESPERANCE,15/11/2022,4.2,0.0, ,20.7,10.2,94,56,4.77,24.16
ESPERANCE,16/11/2022,7.7,0.0, ,27.7,10.8,79,25,6.29,29.90
ESPERANCE,17/11/2022,5.8,0.6, ,25.5,13.9,92,41,5.87,25.10
ESPERANCE,18/11/2022,3.9,6.8, ,19.7,12.2,95,47,4.80,19.29
ESPERANCE,19/11/2022,3.9,19.8, ,18.0,8.1,93,53,5.93,23.64
ESPERANCE,20/11/2022,3.6,0.6, ,18.9,11.1,91,51,4.80,17.55
ESPERANCE,21/11/2022,5.0,0.0, ,18.9,13.0,72,48,5.07,27.25
ESPERANCE,22/11/2022,5.6,0.0, ,23.1,8.0,87,42,4.76,30.51
ESPERANCE,23/11/2022,7.5,0.0, ,29.8,12.1,81,22,4.83,27.07
ESPERANCE,24/11/2022,7.0,0.0, ,26.4,19.9,89,32,5.89,29.68
ESPERANCE,25/11/2022,3.9,0.0, ,21.3,16.1,91,60,3.81,20.29
ESPERANCE,26/11/2022,3.5,0.0, ,20.7,12.0,95,58,4.33,17.79
ESPERANCE,27/11/2022,4.1,1.8, ,18.3,12.7,93,52,4.80,23.08
ESPERANCE,28/11/2022,3.9,0.0, ,20.8,14.1,80,59,4.12,18.55
ESPERANCE,29/11/2022,5.9,0.0, ,23.9,9.3,89,41,5.07,31.07
ESPERANCE,30/11/2022,3.9,0.0, ,28.2,14.4,84,47,5.14,5.37
Totals:,,134.1,73, ,,,,,, 
