'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESPERANCE Western Australia for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESPERANCE,01/12/2022,9.3,0.0, ,36.9,16.7,88,21,4.97,29.09
ESPERANCE,02/12/2022,2.2,0.2, ,20.3,17.3,88,72,4.12,7.19
ESPERANCE,03/12/2022,4.8,0.0, ,20.3,15.8,76,60,5.44,24.88
ESPERANCE,04/12/2022,2.3,2.0, ,18.6,15.5,95,76,6.46,10.54
ESPERANCE,05/12/2022,2.2,1.2, ,18.7,14.7,94,75,5.47,9.23
ESPERANCE,06/12/2022,3.6,0.4, ,19.7,14.5,95,54,4.67,17.45
ESPERANCE,07/12/2022,5.0,0.0, ,20.2,14.5,80,53,7.15,25.00
ESPERANCE,08/12/2022,5.2,9.8, ,27.8,12.8,94,45,4.60,20.70
ESPERANCE,09/12/2022,3.5,0.0, ,21.9,14.4,97,68,4.04,19.17
ESPERANCE,10/12/2022,4.5,0.0, ,21.8,13.7,85,55,4.59,22.29
ESPERANCE,11/12/2022,5.6,0.0, ,19.2,14.8,66,43,5.58,27.80
ESPERANCE,12/12/2022,5.5,0.0, ,19.3,11.2,81,40,4.86,31.84
ESPERANCE,13/12/2022,4.0,0.0, ,20.5,11.6,87,45,5.42,14.89
ESPERANCE,14/12/2022,5.3,0.0, ,20.9,14.8,79,51,7.49,25.95
ESPERANCE,15/12/2022,5.1,0.0, ,21.6,13.5,76,50,6.57,22.44
ESPERANCE,16/12/2022,4.8,0.0, ,21.5,14.4,80,53,6.82,20.73
ESPERANCE,17/12/2022,5.1,0.0, ,22.2,15.1,80,54,5.92,24.81
ESPERANCE,18/12/2022,4.8,0.0, ,22.1,13.4,88,57,5.19,26.19
ESPERANCE,19/12/2022,5.0,0.0, ,21.6,12.4,94,59,4.85,31.27
ESPERANCE,20/12/2022,4.5,0.0, ,21.0,11.8,96,63,3.82,29.20
ESPERANCE,21/12/2022,5.3,0.0, ,22.1,13.8,94,51,4.84,30.41
ESPERANCE,22/12/2022,6.1,0.0, ,25.2,15.5,87,53,5.46,31.99
ESPERANCE,23/12/2022,6.4,0.0, ,26.8,13.1,91,40,4.03,31.85
ESPERANCE,24/12/2022,5.2,0.0, ,23.3,15.6,96,64,3.77,31.54
ESPERANCE,25/12/2022,5.4,0.0, ,22.2,17.3,84,64,5.50,31.22
ESPERANCE,26/12/2022,5.1,0.0, ,23.1,18.0,83,65,4.76,27.78
ESPERANCE,27/12/2022,5.0,0.0, ,22.8,16.8,88,51,5.62,23.48
ESPERANCE,28/12/2022,5.6,0.0, ,20.8,14.2,77,46,4.69,30.61
ESPERANCE,29/12/2022,6.6,0.0, ,25.6,10.7,84,37,5.11,31.88
ESPERANCE,30/12/2022,8.0,0.0, ,30.2,13.9,81,31,5.59,31.84
ESPERANCE,31/12/2022,6.6,0.0, ,24.9,19.4,78,35,6.68,24.53
Totals:,,157.6,13.6, ,,,,,, 
