'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESPERANCE AERO Western Australia for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESPERANCE AERO,01/11/2022,3.0,2.6, ,18.3,11.7,99,67,5.84,17.52
ESPERANCE AERO,02/11/2022,2.7,2.0, ,17.8,10.9,100,73,2.98,16.99
ESPERANCE AERO,03/11/2022,4.3,0.0, ,24.5,10.5,96,45,3.99,19.12
ESPERANCE AERO,04/11/2022,8.6,0.0, ,31.9,13.4,88,24,7.86,23.22
ESPERANCE AERO,05/11/2022,4.3,0.0, ,19.8,11.3,94,54,5.21,25.74
ESPERANCE AERO,06/11/2022,4.5,0.0, ,22.1,11.1,84,50,6.11,20.14
ESPERANCE AERO,07/11/2022,1.9,20.4, ,18.7,12.2,98,82,5.13,9.80
ESPERANCE AERO,08/11/2022,2.6,2.8, ,18.6,13.2,100,67,4.86,13.51
ESPERANCE AERO,09/11/2022,2.7,0.2, ,21.7,12.0,95,68,2.86,13.27
ESPERANCE AERO,10/11/2022,5.3,0.0, ,27.7,11.4,99,39,5.07,18.85
ESPERANCE AERO,11/11/2022,3.1,0.2, ,19.3,13.8,99,65,6.83,16.36
ESPERANCE AERO,12/11/2022,2.6,8.6, ,18.3,8.7,99,74,6.47,16.85
ESPERANCE AERO,13/11/2022,2.6,10.0, ,15.6,11.5,97,60,4.82,13.57
ESPERANCE AERO,14/11/2022,3.5,0.8, ,17.9,10.4,97,55,4.01,20.81
ESPERANCE AERO,15/11/2022,4.7,0.2, ,22.3,8.0,99,41,4.65,24.16
ESPERANCE AERO,16/11/2022,7.5,0.0, ,27.3,9.9,84,25,6.32,29.77
ESPERANCE AERO,17/11/2022,5.5,0.8, ,25.2,13.1,97,46,6.54,25.21
ESPERANCE AERO,18/11/2022,4.4,4.0, ,21.1,10.9,98,43,6.63,18.56
ESPERANCE AERO,19/11/2022,3.9,23.0, ,18.1,7.2,98,54,7.26,23.37
ESPERANCE AERO,20/11/2022,3.5,2.8, ,18.1,10.1,99,55,4.98,19.69
ESPERANCE AERO,21/11/2022,4.4,0.0, ,18.7,10.8,95,50,4.30,27.65
ESPERANCE AERO,22/11/2022,6.2,0.0, ,25.3,8.2,89,36,5.00,30.31
ESPERANCE AERO,23/11/2022,9.2,0.0, ,32.2,11.8,84,13,6.01,28.32
ESPERANCE AERO,24/11/2022,7.2,0.0, ,28.2,18.5,96,32,6.29,29.65
ESPERANCE AERO,25/11/2022,3.9,0.0, ,21.4,14.8,99,58,4.24,20.60
ESPERANCE AERO,26/11/2022,3.5,0.0, ,20.8,10.7,99,58,4.51,18.22
ESPERANCE AERO,27/11/2022,3.7,0.0, ,19.5,10.8,93,54,3.92,19.39
ESPERANCE AERO,28/11/2022,3.8,0.0, ,20.6,12.0,87,54,3.47,19.32
ESPERANCE AERO,29/11/2022,7.1,0.0, ,27.2,9.2,90,28,5.53,30.72
ESPERANCE AERO,30/11/2022,4.1,0.0, ,27.8,13.8,86,47,6.04,5.59
Totals:,,134.3,78.4, ,,,,,, 
