'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESPERANCE AERO Western Australia for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESPERANCE AERO,01/01/2023,4.7,0.0, ,23.2,13.1,85,51,4.73,21.95
ESPERANCE AERO,02/01/2023,5.4,0.0, ,22.4,13.5,76,51,4.96,27.97
ESPERANCE AERO,03/01/2023,3.9,0.0, ,22.1,14.7,95,57,5.39,17.78
ESPERANCE AERO,04/01/2023,6.8,0.0, ,26.8,15.5,83,39,6.66,27.94
ESPERANCE AERO,05/01/2023,7.2,0.0, ,28.0,14.3,90,31,6.38,27.93
ESPERANCE AERO,06/01/2023,10.6,0.0, ,35.4,13.3,88,13,6.66,30.57
ESPERANCE AERO,07/01/2023,3.6,0.0, ,20.7,15.1,94,55,6.20,13.88
ESPERANCE AERO,08/01/2023,5.7,0.0, ,24.3,13.5,89,44,4.14,29.74
ESPERANCE AERO,09/01/2023,7.0,0.0, ,28.4,12.2,96,35,5.75,30.40
ESPERANCE AERO,10/01/2023,8.9,0.0, ,36.5,15.1,83,22,5.39,23.67
ESPERANCE AERO,11/01/2023,4.3,0.0, ,23.5,19.2,97,41,6.27,12.56
ESPERANCE AERO,12/01/2023,4.9,0.2, ,25.2,16.5,98,57,4.71,24.87
ESPERANCE AERO,13/01/2023,6.8,0.0, ,29.4,14.1,98,39,4.99,29.97
ESPERANCE AERO,14/01/2023,5.1,0.6, ,21.1,15.1,95,43,7.22,24.30
ESPERANCE AERO,15/01/2023,8.4,0.0, ,32.2,12.4,74,22,5.26,28.05
ESPERANCE AERO,16/01/2023,3.6,2.4, ,22.8,17.9,95,56,6.87,11.73
ESPERANCE AERO,17/01/2023,4.9,0.4, ,21.8,10.7,81,45,5.45,22.84
ESPERANCE AERO,18/01/2023,5.3,0.0, ,23.3,9.8,86,38,5.84,21.65
ESPERANCE AERO,19/01/2023,6.4,0.0, ,25.6,10.6,90,34,5.84,28.10
ESPERANCE AERO,20/01/2023,6.9,0.0, ,27.3,11.1,92,34,6.00,29.56
ESPERANCE AERO,21/01/2023,7.3,0.0, ,28.6,11.9,90,32,5.97,29.38
ESPERANCE AERO,22/01/2023,4.8,0.0, ,26.7,14.4,87,37,4.66,14.24
ESPERANCE AERO,23/01/2023,7.7,1.0, ,31.2,13.6,89,31,5.48,29.43
ESPERANCE AERO,24/01/2023,11.0,0.0, ,40.2,15.6,87,15,5.65,28.88
ESPERANCE AERO,25/01/2023,5.1,0.0, ,25.0,17.2,94,50,6.80,21.12
ESPERANCE AERO,26/01/2023,6.7,0.4, ,30.2,16.0,98,34,4.36,28.16
ESPERANCE AERO,27/01/2023,3.2,9.0, ,22.6,17.4,97,60,5.09,11.93
ESPERANCE AERO,28/01/2023,4.4,0.0, ,22.6,10.6,94,47,3.58,22.95
ESPERANCE AERO,29/01/2023,6.7,0.0, ,27.3,11.6,86,34,5.49,28.78
ESPERANCE AERO,30/01/2023,8.7,0.0, ,34.0,14.3,85,23,5.57,28.32
ESPERANCE AERO,31/01/2023,4.8,0.0, ,24.0,15.6,99,60,5.50,26.17
Totals:,,190.8,14, ,,,,,, 
