'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESPERANCE AERO Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESPERANCE AERO,01/03/2023,6.5,0.0, ,27.7,14.1,79,33,5.84,24.79
ESPERANCE AERO,02/03/2023,6.3,0.0, ,29.4,13.3,86,32,5.33,21.51
ESPERANCE AERO,03/03/2023,8.6,0.0, ,36.4,16.0,93,21,5.68,23.68
ESPERANCE AERO,04/03/2023,4.9,0.0, ,25.3,17.4,97,53,7.50,22.65
ESPERANCE AERO,05/03/2023,4.5,0.0, ,23.5,13.9,92,43,4.66,20.36
ESPERANCE AERO,06/03/2023,3.4,0.0, ,21.7,11.9,92,55,4.90,14.28
ESPERANCE AERO,07/03/2023,4.3,1.4, ,21.7,10.8,82,39,3.07,23.07
ESPERANCE AERO,08/03/2023,4.6,0.0, ,24.8,10.6,76,50,4.51,21.05
ESPERANCE AERO,09/03/2023,6.6,0.0, ,30.5,14.0,80,24,5.06,19.11
ESPERANCE AERO,10/03/2023,4.0,0.0, ,25.2,14.2,95,54,3.96,18.64
ESPERANCE AERO,11/03/2023,3.7,2.2, ,24.1,13.5,96,56,3.23,19.33
ESPERANCE AERO,12/03/2023,6.0,0.2, ,31.0,13.6,96,25,4.03,21.03
ESPERANCE AERO,13/03/2023,7.8,0.0, ,35.3,17.8,96,21,5.45,21.59
ESPERANCE AERO,14/03/2023,4.6,0.0, ,26.7,16.4,98,48,4.03,22.14
ESPERANCE AERO,15/03/2023,7.5,0.0, ,36.6,14.3,95,20,4.25,22.41
ESPERANCE AERO,16/03/2023,5.3,0.0, ,29.2,15.0,92,45,4.59,22.17
ESPERANCE AERO,17/03/2023,4.0,0.0, ,23.5,14.5,95,54,7.44,16.33
ESPERANCE AERO,18/03/2023,3.3,0.4, ,23.1,14.1,88,48,2.98,14.14
ESPERANCE AERO,19/03/2023,4.2,0.0, ,24.8,11.8,95,43,4.47,17.30
ESPERANCE AERO,20/03/2023,6.2,0.0, ,29.4,13.5,94,27,5.46,21.38
ESPERANCE AERO,21/03/2023,5.7,0.0, ,28.1,15.8,84,41,6.57,19.03
ESPERANCE AERO,22/03/2023,6.4,0.0, ,30.8,16.2,91,35,6.51,19.93
ESPERANCE AERO,23/03/2023,4.0,0.0, ,27.0,17.2,92,56,4.93,16.24
ESPERANCE AERO,24/03/2023,3.5,0.0, ,28.1,18.7,97,58,4.73,11.61
ESPERANCE AERO,25/03/2023,2.0,0.8, ,22.7,19.1,98,74,2.97,8.48
ESPERANCE AERO,26/03/2023,2.3,5.8, ,20.7,16.8,98,68,4.75,10.12
ESPERANCE AERO,27/03/2023,3.3,1.2, ,21.9,13.8,91,44,3.15,15.07
ESPERANCE AERO,28/03/2023,3.1,0.0, ,21.3,9.9,96,51,3.70,14.87
ESPERANCE AERO,29/03/2023,3.5,0.2, ,22.9,9.1,98,45,4.01,16.05
ESPERANCE AERO,30/03/2023,4.3,0.0, ,24.3,11.8,94,34,4.56,17.47
ESPERANCE AERO,31/03/2023,4.6,0.0, ,25.6,11.7,91,38,5.62,15.79
Totals:,,149,12.2, ,,,,,, 
