'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESPERANCE AERO Western Australia for June 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 July 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESPERANCE AERO,01/06/2023,1.8,7.2, ,18.2,14.5,96,70,8.00,7.73
ESPERANCE AERO,02/06/2023,1.4,28.6, ,15.7,11.8,97,76,7.40,8.40
ESPERANCE AERO,03/06/2023,1.2,14.6, ,15.1,11.2,97,68,2.94,7.45
ESPERANCE AERO,04/06/2023,1.9,1.2, ,18.6,8.0,97,58,4.20,11.13
ESPERANCE AERO,05/06/2023,2.9,0.0, ,20.0,10.5,95,49,7.57,10.54
ESPERANCE AERO,06/06/2023,2.3,7.2, ,13.7,6.5,87,54,9.02,10.48
ESPERANCE AERO,07/06/2023,2.2,0.0, ,14.0,5.7,88,55,8.35,9.22
ESPERANCE AERO,08/06/2023,1.2,0.2, ,14.7,8.2,96,77,5.46,5.97
ESPERANCE AERO,09/06/2023,1.9,5.0, ,17.7,8.6,91,50,3.73,10.03
ESPERANCE AERO,10/06/2023,2.3,0.0, ,19.7,8.5,92,49,4.73,10.38
ESPERANCE AERO,11/06/2023,2.7,0.0, ,16.6,10.4,92,46,7.90,9.98
ESPERANCE AERO,12/06/2023,2.0,16.0, ,15.0,7.5,94,56,6.73,9.81
ESPERANCE AERO,13/06/2023, ,4.0, , ,7.1,93,57,5.74,10.78
ESPERANCE AERO,14/06/2023,1.8, , ,16.8,10.2,91,66,5.95,9.18
ESPERANCE AERO,15/06/2023,3.0,0.0, ,18.7,8.3,85,52,9.12,10.88
ESPERANCE AERO,16/06/2023,2.0,0.0, ,16.1,11.5,95,64,8.64,7.77
ESPERANCE AERO,17/06/2023,1.2,8.8, ,12.8,5.2,94,73,5.24,9.72
ESPERANCE AERO,18/06/2023,1.4,1.0, ,14.4,6.9,97,65,4.34,10.11
ESPERANCE AERO,19/06/2023,1.9,1.4, ,15.6,6.0,97,45,4.23,11.03
ESPERANCE AERO,20/06/2023,1.7,0.0, ,13.7,6.0,95,61,6.52,6.82
ESPERANCE AERO,21/06/2023,1.3,9.6, ,10.9,4.7,95,71,8.74,9.04
ESPERANCE AERO,22/06/2023,1.9,41.6, ,14.2,6.3,97,60,8.27,8.99
ESPERANCE AERO,23/06/2023,1.5,7.6, ,10.5,5.7,92,68,11.26,6.89
ESPERANCE AERO,24/06/2023,1.1,20.2, ,12.4,5.9,97,77,7.46,7.87
ESPERANCE AERO,25/06/2023,0.9,17.0, ,10.4,6.7,98,74,3.25,7.31
ESPERANCE AERO,26/06/2023,0.9,3.4, ,12.2,5.4,97,75,2.80,8.10
ESPERANCE AERO,27/06/2023,1.4,6.6, ,14.4,8.5,97,57,3.42,9.44
ESPERANCE AERO,28/06/2023,0.9,5.8, ,12.8,8.6,98,72,1.83,8.43
ESPERANCE AERO,29/06/2023,0.9,2.0, ,12.8,7.1,97,76,2.30,8.78
ESPERANCE AERO,30/06/2023,1.0,2.2, ,13.3,8.4,97,71,2.03,8.61
Totals:,,48.6,211.2, ,,,,,, 
