'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESPERANCE AERO Western Australia for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESPERANCE AERO,01/07/2023,1.0,0.0, ,12.6,7.4,97,68,2.57,8.12
ESPERANCE AERO,02/07/2023,1.7,0.0, ,14.9,5.3,90,64,5.33,11.25
ESPERANCE AERO,03/07/2023,3.3,0.0, ,17.6,6.2,91,35,7.73,11.28
ESPERANCE AERO,04/07/2023,2.2,8.4, ,14.9,9.2,97,53,7.88,11.32
ESPERANCE AERO,05/07/2023,1.9,0.0, ,12.1,7.7,92,61,10.76,9.04
ESPERANCE AERO,06/07/2023,1.6,9.2, ,14.5,5.9,93,68,7.10,10.10
ESPERANCE AERO,07/07/2023,1.8,0.0, ,17.0,8.4,96,68,8.26,9.56
ESPERANCE AERO,08/07/2023, ,5.4, , ,9.6,96,61,4.12,9.47
ESPERANCE AERO,09/07/2023,2.2,0.0, ,17.2,9.1,79,55,4.96,9.57
ESPERANCE AERO,10/07/2023,2.4,0.0, ,18.6,9.3,87,48,4.58,11.51
ESPERANCE AERO,11/07/2023,3.0,0.0, ,20.1,8.0,82,40,5.33,11.67
ESPERANCE AERO,12/07/2023,3.8,0.0, ,20.8,9.4,78,34,6.60,11.47
ESPERANCE AERO,13/07/2023,2.3,0.0, ,16.2,11.4,93,49,6.14,7.37
ESPERANCE AERO,14/07/2023,1.0,0.0, ,11.6,8.1,96,79,4.68,5.61
ESPERANCE AERO,15/07/2023,1.5,14.8, ,14.0,3.1,94,53,3.11,11.91
ESPERANCE AERO,16/07/2023,2.8,0.0, ,16.4,4.3,83,40,5.91,11.98
ESPERANCE AERO,17/07/2023,1.9,0.0, ,17.9,6.2,97,58,4.14,11.19
ESPERANCE AERO,18/07/2023,2.8,0.0, ,18.0,9.2,96,44,7.00,9.21
ESPERANCE AERO,19/07/2023,2.4,0.0, ,15.3,11.0,95,49,8.05,8.71
ESPERANCE AERO,20/07/2023,2.0,7.4, ,14.9,4.9,88,54,5.02,12.29
ESPERANCE AERO,21/07/2023,2.4,0.0, ,18.2,6.9,97,55,6.46,10.64
ESPERANCE AERO,22/07/2023,1.4,4.4, ,16.0,5.9,96,64,2.59,10.09
ESPERANCE AERO,23/07/2023,2.0,0.2, ,16.8,6.2,91,55,4.35,12.54
ESPERANCE AERO,24/07/2023,3.4,0.0, ,19.4,5.5,79,39,6.41,12.63
ESPERANCE AERO,25/07/2023,3.3,0.0, ,17.5,9.1,65,40,6.23,6.18
ESPERANCE AERO,26/07/2023,3.4,1.0, ,18.1,10.4,84,35,7.01,9.37
ESPERANCE AERO,27/07/2023,1.7,1.4, ,13.0,9.1,94,68,9.21,8.56
ESPERANCE AERO,28/07/2023,3.0,1.8, ,18.0,7.5,80,46,6.38,12.96
ESPERANCE AERO,29/07/2023,2.3,0.2, ,18.9,10.0,87,65,6.36,12.14
ESPERANCE AERO,30/07/2023,1.7,0.0, ,17.0,8.1,96,67,3.79,12.26
ESPERANCE AERO,31/07/2023,2.0,0.0, ,18.2,7.8,95,53,3.11,12.00
Totals:,,68.2,54.2, ,,,,,, 
