'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EUCLA Western Australia for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EUCLA,01/11/2022,4.5,5.0, ,17.3,10.8,96,42,5.69,27.82
EUCLA,02/11/2022,3.6,0.0, ,18.1,12.0,87,51,3.51,19.61
EUCLA,03/11/2022,3.6,1.2, ,21.8,10.2,96,68,3.30,22.59
EUCLA,04/11/2022,6.1,0.2, ,30.2,9.5,93,47,4.75,27.06
EUCLA,05/11/2022,8.1,0.0, ,31.4,13.9,92,20,5.45,28.27
EUCLA,06/11/2022,4.1,0.0, ,24.2,15.2,93,66,5.15,21.05
EUCLA,07/11/2022,4.5,0.0, ,26.8,12.2,95,57,3.46,21.93
EUCLA,08/11/2022,6.3,5.6, ,29.5,14.0,98,45,4.57,29.38
EUCLA,09/11/2022,2.7,19.0, ,20.3,15.1,98,70,4.24,13.34
EUCLA,10/11/2022,4.4,0.2, ,20.8,10.0,97,61,3.81,29.52
EUCLA,11/11/2022,4.3,0.0, ,21.9,13.5,90,68,6.51,26.16
EUCLA,12/11/2022,4.9,0.0, ,22.3,15.7,88,52,4.94,25.25
EUCLA,13/11/2022,3.8,0.0, ,19.9,11.3,94,64,5.83,22.91
EUCLA,14/11/2022,4.7,1.6, ,19.9,12.6,75,48,4.27,24.82
EUCLA,15/11/2022,4.2,0.8, ,19.7,11.9,93,52,4.03,24.48
EUCLA,16/11/2022,5.8,0.2, ,25.7,8.1,89,50,6.16,30.09
EUCLA,17/11/2022,5.9,0.0, ,31.1,13.2,98,39,6.79,13.78
EUCLA,18/11/2022,4.9,42.8, ,26.3,15.8,97,64,4.18,26.20
EUCLA,19/11/2022,4.4,0.0, ,20.5,12.3,91,54,6.35,23.27
EUCLA,20/11/2022,5.1,0.0, ,21.5,8.8,88,43,5.47,26.39
EUCLA,21/11/2022,5.0,0.0, ,19.9,12.6,70,42,4.28,25.12
EUCLA,22/11/2022,5.1,0.0, ,19.7,11.3,81,46,3.82,30.49
EUCLA,23/11/2022,6.1,0.0, ,29.4,8.4,92,55,4.85,30.87
EUCLA,24/11/2022,9.9,0.0, ,37.0,12.5,90,21,5.49,30.86
EUCLA,25/11/2022,10.8,0.0, ,40.1,21.7,98,13,6.43,25.27
EUCLA,26/11/2022,4.3,14.0, ,20.7,15.3,98,62,5.22,26.39
EUCLA,27/11/2022,3.9,0.0, ,20.8,11.2,94,58,3.86,22.08
EUCLA,28/11/2022,4.5,0.0, ,20.1,13.9,77,51,4.05,22.98
EUCLA,29/11/2022,5.3,0.0, ,21.6,14.6,87,51,4.81,29.87
EUCLA,30/11/2022,5.5,0.0, ,24.9,12.3,91,56,5.35,30.45
Totals:,,156.3,90.6, ,,,,,, 
