'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EUCLA Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EUCLA,01/04/2023,3.5,0.0, ,22.2,13.4,92,59,4.76,18.53
EUCLA,02/04/2023,3.0,0.0, ,22.7,15.3,82,63,4.23,12.52
EUCLA,03/04/2023,3.6,0.0, ,24.2,15.1,89,65,4.64,19.46
EUCLA,04/04/2023,4.1,1.4, ,28.0,18.7,92,45,5.22,11.02
EUCLA,05/04/2023,3.4,0.2, ,24.2,17.2,96,64,4.47,17.94
EUCLA,06/04/2023,3.8,0.2, ,24.1,13.0,97,51,5.42,17.03
EUCLA,07/04/2023,2.9,1.8, ,21.0,15.6,96,56,3.90,13.88
EUCLA,08/04/2023,3.3,0.0, ,21.7,12.0,80,48,3.49,14.68
EUCLA,09/04/2023,3.4,0.4, ,22.2,13.6,86,59,5.10,16.32
EUCLA,10/04/2023,3.9,0.2, ,27.3,17.4,89,60,4.24,18.27
EUCLA,11/04/2023,5.6,0.6, ,28.3,19.4,91,34,6.56,18.17
EUCLA,12/04/2023,3.3,0.0, ,24.1,11.2,95,55,3.48,18.04
EUCLA,13/04/2023,6.4,0.0, ,31.9,13.3,92,26,5.65,17.85
EUCLA,14/04/2023,3.5,6.0, ,22.3,20.6,97,47,7.47,10.45
EUCLA,15/04/2023,3.7,0.4, ,20.7,10.6,90,44,5.66,16.44
EUCLA,16/04/2023,3.1,0.6, ,22.7,10.2,90,47,3.12,15.91
EUCLA,17/04/2023,4.1,0.0, ,25.8,10.6,89,36,4.05,15.23
EUCLA,18/04/2023,3.3,0.0, ,22.3,11.1,95,50,4.96,15.20
EUCLA,19/04/2023, ,0.0, , ,14.8,62,44,3.79,11.78
EUCLA,20/04/2023, , , , , , , , ,14.23
EUCLA,21/04/2023, , , ,24.2, ,90,32,4.12,16.71
EUCLA,22/04/2023,4.4,0.0, ,25.9,11.3,95,28,4.36,16.58
EUCLA,23/04/2023,5.6,0.0, ,29.7,12.6,90,17,4.71,16.42
EUCLA,24/04/2023,7.5,0.0, ,31.7,15.4,54,18,6.31,15.88
EUCLA,25/04/2023,7.5,0.0, ,33.6,16.4,43,18,5.50,15.41
EUCLA,26/04/2023,4.2,5.6, ,23.0,15.2,95,34,6.23,15.88
EUCLA,27/04/2023, ,0.0, , ,13.3,83,32,4.15,15.53
EUCLA,28/04/2023, , , ,19.0, ,94,45,4.31,13.76
EUCLA,29/04/2023,2.4,2.6, ,19.4,9.7,92,58,3.40,15.36
EUCLA,30/04/2023,2.4,0.0, ,21.2,12.0,94,48,2.92,10.31
Totals:,,101.9,20, ,,,,,, 
