'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EUCLA Western Australia for June 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 July 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EUCLA,01/06/2023,4.0,0.0, ,28.2,13.9,97,22,3.95,11.87
EUCLA,02/06/2023,3.1,0.0, ,21.5,11.6,91,44,5.81,11.38
EUCLA,03/06/2023,1.8,0.2, ,19.9,12.1,96,62,3.52,9.98
EUCLA,04/06/2023,1.8,0.6, ,20.1,10.5,99,58,3.11,10.24
EUCLA,05/06/2023,2.8,0.2, ,21.6,6.9,99,40,4.55,12.27
EUCLA,06/06/2023,4.3,0.0, ,22.9,12.7,65,32,6.07,12.15
EUCLA,07/06/2023,3.0,0.0, ,16.0,8.1,82,41,6.96,12.19
EUCLA,08/06/2023,2.8,0.0, ,19.3,5.8,96,35,4.79,12.16
EUCLA,09/06/2023,1.6,1.2, ,19.1,10.1,97,57,2.44,9.76
EUCLA,10/06/2023,2.0,0.0, ,19.9,11.5,93,48,3.25,8.41
EUCLA,11/06/2023,3.4,0.0, ,23.6,4.6,86,25,3.86,12.07
EUCLA,12/06/2023,2.6,0.0, ,17.2,9.1,83,44,5.38,11.42
EUCLA,13/06/2023,2.1,0.0, ,18.9,7.5,92,49,3.52,11.47
EUCLA,14/06/2023,3.3,0.0, ,21.1,5.1,74,33,4.66,11.92
EUCLA,15/06/2023,3.7,0.0, ,21.7,6.6,62,34,5.14,11.95
EUCLA,16/06/2023,4.0,0.0, ,21.6,7.9,64,33,6.01,11.99
EUCLA,17/06/2023,2.1,0.0, ,17.0,10.8,88,49,4.06,10.64
EUCLA,18/06/2023,2.4,0.0, ,16.9,3.2,92,32,3.78,11.98
EUCLA,19/06/2023,2.0,0.0, ,17.6,7.1,77,47,3.07,9.88
EUCLA,20/06/2023,3.3,0.0, ,21.3,6.0,95,32,5.30,11.32
EUCLA,21/06/2023,2.4,0.8, ,16.2,8.8,95,39,5.08,11.97
EUCLA,22/06/2023,2.0,1.6, ,16.3,5.8,96,57,5.49,11.37
EUCLA,23/06/2023,3.2,0.0, ,16.4,5.8,84,32,7.06,10.59
EUCLA,24/06/2023,3.1,0.0, ,14.9,6.5,62,40,6.74,11.99
EUCLA,25/06/2023,2.3,0.0, ,17.8,3.6,97,40,4.05,11.98
EUCLA,26/06/2023,2.2,0.0, ,18.1,4.0,98,42,3.68,11.55
EUCLA,27/06/2023,1.8,0.0, ,17.5,9.1,91,55,3.41,11.91
EUCLA,28/06/2023,1.6,0.4, ,16.5,7.3,96,57,3.23,11.97
EUCLA,29/06/2023,1.4,4.8, ,15.0,8.3,97,58,2.51,11.33
EUCLA,30/06/2023,1.4,3.4, ,14.7,8.1,98,61,2.76,11.09
Totals:,,77.5,13.2, ,,,,,, 
