'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EUCLA Western Australia for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EUCLA,01/07/2023,1.3,6.0, ,15.0,8.6,98,66,2.83,11.36
EUCLA,02/07/2023,1.4,1.0, ,16.6,5.5,97,62,2.56,11.04
EUCLA,03/07/2023,2.1,0.2, ,17.5,3.9,98,44,3.65,10.36
EUCLA,04/07/2023,4.0,0.0, ,21.9,5.6,84,26,5.80,11.84
EUCLA,05/07/2023,3.4,0.2, ,18.6,8.8,79,36,6.32,10.89
EUCLA,06/07/2023,2.5,0.0, ,17.4,7.2,88,50,5.74,11.23
EUCLA,07/07/2023,3.6,0.0, ,20.0,5.4,72,36,6.10,12.39
EUCLA,08/07/2023, ,0.0, , ,10.2,97,59,3.36,10.51
EUCLA,09/07/2023,2.2,0.0, ,19.1,7.5,98,41,3.20,12.27
EUCLA,10/07/2023,3.1,0.2, ,22.5,5.3,91,31,3.86,12.52
EUCLA,11/07/2023,4.2,0.0, ,24.5,6.7,73,19,4.36,12.56
EUCLA,12/07/2023,4.7,0.0, ,24.7,7.1,56,17,4.70,12.51
EUCLA,13/07/2023,5.2,0.0, ,25.2,8.2,74,13,5.65,12.67
EUCLA,14/07/2023,4.0,0.0, ,23.2,4.0,97,21,5.01,12.41
EUCLA,15/07/2023,2.0,4.6, ,15.8,9.9,95,50,4.19,12.51
EUCLA,16/07/2023,2.4,0.0, ,17.3,4.3,88,38,3.55,12.92
EUCLA,17/07/2023,2.9,0.0, ,20.8,3.4,96,30,3.54,12.98
EUCLA,18/07/2023,3.1,0.0, ,21.9,2.0,99,31,3.82,13.05
EUCLA,19/07/2023,6.7,0.0, ,29.1,11.4,81,20,8.04,12.98
EUCLA,20/07/2023,1.9,0.0, ,15.9,7.2,93,52,3.75,11.81
EUCLA,21/07/2023,2.8,0.4, ,18.6,1.3,98,29,3.80,13.28
EUCLA,22/07/2023,2.4,0.0, ,17.2,5.8,88,41,3.91,12.88
EUCLA,23/07/2023,1.9,0.0, ,16.4,6.1,90,52,3.21,11.62
EUCLA,24/07/2023,2.7,0.0, ,20.1,5.0,97,43,4.21,13.34
EUCLA,25/07/2023,4.6,0.0, ,21.4,7.1,88,19,6.75,13.57
EUCLA,26/07/2023,5.1,0.0, ,23.7,7.1,50,24,6.00,13.63
EUCLA,27/07/2023,4.2,0.0, ,22.5,14.4,78,22,5.15,13.74
EUCLA,28/07/2023,2.7,0.0, ,19.9,8.5,89,38,3.46,13.69
EUCLA,29/07/2023,3.8,0.0, ,21.3,3.8,71,27,4.48,13.96
EUCLA,30/07/2023,2.6,0.0, ,20.8,7.9,97,41,3.17,14.07
EUCLA,31/07/2023,2.2,0.0, ,18.9,5.4,99,55,3.53,14.15
Totals:,,95.7,12.6, ,,,,,, 
