'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FITZROY CROSSING AERO Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FITZROY CROSSING AERO,01/04/2023,6.9,0.0, ,39.4,25.6,80,27,2.70,23.61
FITZROY CROSSING AERO,02/04/2023,6.8,0.2, ,38.5,26.3,96,34,3.68,21.87
FITZROY CROSSING AERO,03/04/2023,6.0,11.8, ,36.4,23.1,97,36,2.88,22.64
FITZROY CROSSING AERO,04/04/2023,5.8,0.0, ,37.3,22.9,98,36,2.18,23.36
FITZROY CROSSING AERO,05/04/2023,5.0,0.0, ,35.3,25.3,86,45,2.08,19.83
FITZROY CROSSING AERO,06/04/2023,4.4,0.0, ,33.7,25.1,83,53,2.81,15.00
FITZROY CROSSING AERO,07/04/2023,6.0,0.0, ,36.8,24.1,97,34,2.60,22.70
FITZROY CROSSING AERO,08/04/2023,6.0,0.0, ,38.4,21.0,87,15,2.29,20.21
FITZROY CROSSING AERO,09/04/2023,5.2,0.0, ,37.4,21.7,82,38,2.54,16.69
FITZROY CROSSING AERO,10/04/2023,6.3,0.4, ,37.9,25.3,84,37,3.20,20.80
FITZROY CROSSING AERO,11/04/2023,5.1,0.0, ,35.5,25.6,88,45,3.44,15.94
FITZROY CROSSING AERO,12/04/2023,4.7,1.2, ,34.5,24.4,98,47,2.80,17.69
FITZROY CROSSING AERO,13/04/2023,5.9,0.2, ,36.7,25.0,98,41,3.59,20.20
FITZROY CROSSING AERO,14/04/2023,6.0,0.4, ,36.1,24.5,95,45,5.26,17.45
FITZROY CROSSING AERO,15/04/2023,4.3,4.6, ,32.2,22.6,98,47,3.08,15.85
FITZROY CROSSING AERO,16/04/2023,6.3,0.2, ,31.4,18.8,79,28,4.16,22.23
FITZROY CROSSING AERO,17/04/2023,6.3,0.0, ,33.5,15.1,84,20,3.45,22.08
FITZROY CROSSING AERO,18/04/2023,6.2,0.0, ,32.8,14.2,76,17,3.26,21.93
FITZROY CROSSING AERO,19/04/2023, ,0.0, , ,13.4,77,17,3.65,21.80
FITZROY CROSSING AERO,20/04/2023, , , ,31.6, ,75,25,4.11,21.77
FITZROY CROSSING AERO,21/04/2023,6.4,0.0, ,33.6,16.4,71,25,3.73,21.00
FITZROY CROSSING AERO,22/04/2023,6.8,0.0, ,35.0,19.3,68,26,4.06,20.98
FITZROY CROSSING AERO,23/04/2023,6.9,0.0, ,35.0,18.6,67,20,3.89,21.24
FITZROY CROSSING AERO,24/04/2023,5.7,0.0, ,35.1,15.9,71,19,2.53,21.11
FITZROY CROSSING AERO,25/04/2023,6.0,0.0, ,36.3,17.3,70,21,2.74,20.95
FITZROY CROSSING AERO,26/04/2023,5.2,0.0, ,37.1,17.2,77,18,1.86,20.99
FITZROY CROSSING AERO,27/04/2023,5.3,0.0, ,38.1,17.6,77,24,1.94,20.86
FITZROY CROSSING AERO,28/04/2023,5.8,0.0, ,37.5,21.3,72,28,2.60,20.37
FITZROY CROSSING AERO,29/04/2023,7.1,0.0, ,34.2,19.8,46,20,4.03,20.60
FITZROY CROSSING AERO,30/04/2023,5.4,0.0, ,34.6,15.6,65,28,2.76,18.41
Totals:,,163.8,19, ,,,,,, 
