'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FITZROY CROSSING AERO Western Australia for October 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FITZROY CROSSING AERO,01/10/2023,8.6,0.0, ,40.6,20.7,72,14,3.56,25.50
FITZROY CROSSING AERO,02/10/2023,8.2,0.0, ,38.7,23.6,63,20,3.71,24.32
FITZROY CROSSING AERO,03/10/2023,9.0,0.0, ,41.1,22.1,77,12,3.74,26.24
FITZROY CROSSING AERO,04/10/2023,10.1,0.0, ,39.7,20.7,34,6,4.42,26.46
FITZROY CROSSING AERO,05/10/2023,8.0,0.0, ,39.7,18.3,31,10,2.74,26.57
FITZROY CROSSING AERO,06/10/2023,9.7,0.0, ,39.7,25.3,85,17,5.23,26.75
FITZROY CROSSING AERO,07/10/2023,8.1,1.6, ,38.4,22.5,85,10,3.44,25.84
FITZROY CROSSING AERO,08/10/2023,8.9,0.0, ,37.9,18.0,33,6,3.60,27.02
FITZROY CROSSING AERO,09/10/2023,8.8,0.0, ,38.5,16.3,35,6,3.40,27.06
FITZROY CROSSING AERO,10/10/2023,8.0,0.0, ,39.4,15.7,36,5,2.67,27.19
FITZROY CROSSING AERO,11/10/2023,8.0,0.0, ,40.4,16.7,32,6,2.53,27.29
FITZROY CROSSING AERO,12/10/2023,7.8,0.0, ,40.7,19.7,56,7,2.40,27.32
FITZROY CROSSING AERO,13/10/2023,9.0,0.0, ,41.5,20.9,71,8,3.34,27.22
FITZROY CROSSING AERO,14/10/2023,9.2,0.0, ,42.0,24.3,45,6,3.36,26.32
FITZROY CROSSING AERO,15/10/2023,9.6,0.0, ,41.8,19.7,28,5,3.52,27.49
FITZROY CROSSING AERO,16/10/2023,9.7,0.0, ,40.8,19.2,23,4,3.63,27.58
FITZROY CROSSING AERO,17/10/2023,8.5,0.0, ,39.3,17.9,27,5,2.97,27.66
FITZROY CROSSING AERO,18/10/2023,8.7,0.0, ,40.9,17.0,31,4,2.91,27.76
FITZROY CROSSING AERO,19/10/2023,7.6,0.0, ,41.4,16.8,35,5,2.09,27.85
FITZROY CROSSING AERO,20/10/2023,8.2,0.0, ,42.6,15.9,36,3,2.35,27.92
FITZROY CROSSING AERO,21/10/2023,8.1,0.0, ,42.4,18.1,44,4,2.35,28.00
FITZROY CROSSING AERO,22/10/2023,9.7,0.0, ,42.6,22.4,64,6,3.57,28.05
FITZROY CROSSING AERO,23/10/2023,10.2,0.0, ,41.6,22.6,76,13,4.55,28.13
FITZROY CROSSING AERO,24/10/2023,9.1,0.0, ,40.7,23.1,83,16,3.81,28.15
FITZROY CROSSING AERO,25/10/2023,9.3,0.0, ,41.7,24.5,78,13,3.68,28.03
FITZROY CROSSING AERO,26/10/2023, ,0.0, , ,25.7,62,10,4.16,28.18
FITZROY CROSSING AERO,27/10/2023, , , , , ,31,8,2.79,28.17
FITZROY CROSSING AERO,28/10/2023,9.3, , ,41.2,20.6,34,5,3.24,28.43
FITZROY CROSSING AERO,29/10/2023,8.4,0.0, ,41.6,16.5,47,5,2.59,27.98
FITZROY CROSSING AERO,30/10/2023,9.6,0.0, ,40.2,22.0,68,19,4.28,28.54
FITZROY CROSSING AERO,31/10/2023,8.5,0.0, ,38.3,23.9,74,23,3.54,28.54
Totals:,,255.9,1.6, ,,,,,, 
