'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FORREST Western Australia for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FORREST,01/10/2022,3.3,0.0, ,20.8,7.4,97,48,5.13,12.50
FORREST,02/10/2022,1.2,20.8, ,15.8,11.8,97,90,5.99,7.26
FORREST,03/10/2022,1.8,1.0, ,16.8,12.7,97,77,5.13,9.00
FORREST,04/10/2022,3.1,1.6, ,20.7,12.1,97,64,5.25,16.05
FORREST,05/10/2022,6.0,0.2, ,26.7,9.2,98,19,4.30,24.65
FORREST,06/10/2022,5.7,0.0, ,22.9,13.2,85,25,6.36,21.85
FORREST,07/10/2022,4.0,0.0, ,19.1,7.0,91,36,4.11,20.50
FORREST,08/10/2022,4.5,0.0, ,20.6,4.9,92,28,3.54,25.18
FORREST,09/10/2022,6.3,0.0, ,25.9,7.1,85,16,4.99,23.39
FORREST,10/10/2022,6.3,0.0, ,28.3,16.0,65,17,6.06,5.70
FORREST,11/10/2022,5.5,0.0, ,23.6,9.4,95,25,5.09,24.09
FORREST,12/10/2022,4.5,0.0, ,20.3,9.4,83,25,4.26,18.99
FORREST,13/10/2022,5.5,0.0, ,20.2,8.6,80,29,7.26,23.68
FORREST,14/10/2022,5.1,0.0, ,22.4,4.8,83,26,3.72,26.08
FORREST,15/10/2022,6.6,0.0, ,26.0,8.9,76,16,5.15,23.92
FORREST,16/10/2022,9.5,0.0, ,30.5,12.9,42,15,7.17,26.14
FORREST,17/10/2022,10.5,0.0, ,33.9,18.3,91,16,10.68,21.54
FORREST,18/10/2022,5.5,0.6, ,23.8,14.9,91,48,10.54,22.72
FORREST,19/10/2022,4.1,0.0, ,22.9,14.1,86,44,4.46,15.90
FORREST,20/10/2022,6.5,0.0, ,29.8,9.5,98,22,3.67,27.04
FORREST,21/10/2022,9.4,0.0, ,33.8,12.7,85,18,6.78,27.18
FORREST,22/10/2022,3.7,0.0, ,21.1,12.3,95,48,5.65,13.68
FORREST,23/10/2022,5.4,1.0, ,22.8,7.2,98,30,5.35,26.09
FORREST,24/10/2022,6.8,0.0, ,25.9,8.5,94,25,6.80,27.63
FORREST,25/10/2022,6.2,0.6, ,23.9,12.4,89,37,9.74,24.07
FORREST,26/10/2022,4.4,0.0, ,22.4,12.9,93,44,4.81,19.87
FORREST,27/10/2022,5.8,0.0, ,26.0,7.7,93,28,3.87,27.59
FORREST,28/10/2022,6.3,0.0, ,26.1,12.5,91,28,6.48,22.46
FORREST,29/10/2022,6.7,0.2, ,28.4,13.8,90,40,8.27,23.21
FORREST,30/10/2022,4.5,0.4, ,22.4,14.1,94,51,8.64,18.77
FORREST,31/10/2022,4.3,10.4, ,16.6,7.3,91,45,11.01,22.67
Totals:,,169,36.8, ,,,,,, 
