'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FORREST Western Australia for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FORREST,01/01/2023,12.4,0.0, ,39.5,16.4,77,13,6.98,31.89
FORREST,02/01/2023,7.2,0.0, ,27.7,17.0,90,38,8.48,26.95
FORREST,03/01/2023,7.4,0.0, ,26.4,15.7,70,41,8.51,28.67
FORREST,04/01/2023,7.1,0.0, ,26.1,15.2,84,36,8.30,27.40
FORREST,05/01/2023,8.7,0.0, ,29.1,16.3,72,30,8.17,30.46
FORREST,06/01/2023,9.1,0.0, ,33.6,11.8,83,19,5.17,31.76
FORREST,07/01/2023,10.9,0.0, ,37.4,15.4,82,11,5.82,31.65
FORREST,08/01/2023,9.2,0.0, ,32.7,15.3,87,25,6.88,31.54
FORREST,09/01/2023,9.0,0.0, ,31.7,16.0,80,30,7.21,31.49
FORREST,10/01/2023,9.9,0.0, ,35.7,15.2,85,21,5.95,31.40
FORREST,11/01/2023,11.0,0.0, ,39.7,15.5,82,13,5.32,30.97
FORREST,12/01/2023,13.9,0.0, ,42.2,19.3,42,8,6.75,31.29
FORREST,13/01/2023,12.7,0.0, ,44.3,18.8,60,10,5.34,30.98
FORREST,14/01/2023,6.3,0.0, ,27.0,19.4,79,49,10.31,17.63
FORREST,15/01/2023,10.4,0.0, ,34.3,16.0,72,26,8.21,30.90
FORREST,16/01/2023,12.9,0.0, ,41.7,16.6,93,15,8.14,26.34
FORREST,17/01/2023,3.4,5.8, ,23.4,19.6,95,65,6.05,13.71
FORREST,18/01/2023,6.7,0.2, ,26.0,13.1,86,36,6.77,28.55
FORREST,19/01/2023,7.0,0.0, ,26.1,16.0,75,31,6.85,25.21
FORREST,20/01/2023,7.0,0.0, ,27.7,12.8,86,32,5.71,28.57
FORREST,21/01/2023,6.3,0.0, ,26.7,11.4,89,37,5.71,26.81
FORREST,22/01/2023,7.6,0.0, ,29.5,10.8,89,25,5.41,29.98
FORREST,23/01/2023,7.5,0.0, ,29.9,12.8,87,27,4.97,29.72
FORREST,24/01/2023,8.1,0.0, ,31.0,10.6,84,19,4.81,30.11
FORREST,25/01/2023,10.2,0.0, ,36.4,14.8,76,12,5.86,26.96
FORREST,26/01/2023,11.5,0.0, ,39.5,16.6,89,12,6.40,29.81
FORREST,27/01/2023,5.1,0.0, ,30.9,22.3,95,30,5.78,7.44
FORREST,28/01/2023,2.9,6.2, ,22.3,17.6,96,68,5.48,11.51
FORREST,29/01/2023,6.8,0.8, ,27.9,11.6,97,31,5.29,29.52
FORREST,30/01/2023,7.4,0.0, ,30.3,11.2,87,21,4.10,29.67
FORREST,31/01/2023, ,0.0, , ,11.9,86,18,4.79,29.55
Totals:,,255.6,13, ,,,,,, 
