'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FORREST Western Australia for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FORREST,01/07/2023,1.5,0.4, ,15.7,6.6,97,61,3.16,11.50
FORREST,02/07/2023,1.7,1.4, ,16.3,2.9,96,54,3.08,11.88
FORREST,03/07/2023,2.5,0.0, ,18.1,2.2,95,37,4.00,12.39
FORREST,04/07/2023,4.6,0.0, ,21.9,4.6,88,24,7.29,12.24
FORREST,05/07/2023,3.3,0.6, ,18.3,8.1,91,42,8.42,11.70
FORREST,06/07/2023,2.8,1.4, ,16.2,5.6,83,49,7.27,12.79
FORREST,07/07/2023,3.6,0.0, ,19.1,3.0,77,39,7.04,12.86
FORREST,08/07/2023, ,0.0, , ,7.6,83,43,5.33,12.89
FORREST,09/07/2023,2.0,0.0, ,19.3,4.8,97,42,2.35,12.90
FORREST,10/07/2023,2.9,0.0, ,22.0,3.7,85,27,3.04,13.01
FORREST,11/07/2023,4.0,0.0, ,23.9,3.0,70,18,3.95,13.05
FORREST,12/07/2023,4.6,0.0, ,23.7,2.6,53,18,4.78,13.11
FORREST,13/07/2023,5.7,0.0, ,24.3,4.8,52,12,6.03,13.13
FORREST,14/07/2023,5.3,0.0, ,23.6,4.2,96,16,7.22,13.21
FORREST,15/07/2023,2.5,0.6, ,16.4,5.9,96,40,5.15,13.00
FORREST,16/07/2023,2.4,0.2, ,16.2,-0.2,92,34,3.62,13.39
FORREST,17/07/2023,2.9,0.0, ,20.5,0.4,73,27,3.10,13.46
FORREST,18/07/2023,3.5,0.0, ,22.3,1.3,82,32,4.41,13.52
FORREST,19/07/2023,7.8,0.0, ,29.1,8.5,84,20,10.65,13.08
FORREST,20/07/2023,2.5,0.0, ,15.2,4.4,85,38,4.25,13.62
FORREST,21/07/2023,3.1,0.0, ,17.7,-0.6,80,27,4.19,13.70
FORREST,22/07/2023,3.1,0.0, ,17.6,3.9,88,34,5.32,13.78
FORREST,23/07/2023,2.2,0.0, ,17.0,4.2,93,43,3.50,12.71
FORREST,24/07/2023,3.1,0.0, ,19.6,2.0,94,38,5.09,14.00
FORREST,25/07/2023,4.9,0.0, ,21.8,3.1,89,16,6.63,14.03
FORREST,26/07/2023,5.1,0.0, ,23.8,2.5,55,22,5.79,14.10
FORREST,27/07/2023,5.2,0.0, ,21.6,13.1,61,21,7.00,14.17
FORREST,28/07/2023,3.1,0.0, ,19.5,3.3,74,37,4.17,14.07
FORREST,29/07/2023,4.3,0.0, ,20.9,3.0,66,26,5.79,14.38
FORREST,30/07/2023,3.6,0.0, ,23.4,6.5,78,31,3.81,14.24
FORREST,31/07/2023,3.4,0.0, ,23.0,5.0,92,29,3.68,14.62
Totals:,,107.2,4.6, ,,,,,, 
