'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GARDEN ISLAND HSF Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GARDEN ISLAND HSF,01/03/2023,8.4,0.0, ,36.4,20.0,81,26,5.46,23.71
GARDEN ISLAND HSF,02/03/2023,8.5,0.0, ,36.8,23.0,86,18,6.03,17.65
GARDEN ISLAND HSF,03/03/2023,4.6,2.0, ,25.6,19.7,90,72,6.72,24.99
GARDEN ISLAND HSF,04/03/2023,4.7,0.0, ,23.7,18.3,86,64,9.56,22.80
GARDEN ISLAND HSF,05/03/2023,5.2,0.0, ,22.6,16.7,79,57,9.60,24.34
GARDEN ISLAND HSF,06/03/2023,5.0,0.0, ,23.0,15.7,81,58,8.52,24.22
GARDEN ISLAND HSF,07/03/2023,7.3,0.0, ,29.7,16.2,81,33,7.11,24.12
GARDEN ISLAND HSF,08/03/2023,6.8,0.0, ,32.4,17.3,83,26,5.61,16.01
GARDEN ISLAND HSF,09/03/2023,4.5,0.0, ,25.9,20.6,91,68,6.18,22.78
GARDEN ISLAND HSF,10/03/2023,4.6,0.0, ,23.8,19.2,86,66,6.74,23.67
GARDEN ISLAND HSF,11/03/2023,5.7,0.0, ,27.0,17.5,88,39,5.18,23.45
GARDEN ISLAND HSF,12/03/2023,6.2,0.0, ,29.3,15.9,87,29,4.99,22.01
GARDEN ISLAND HSF,13/03/2023,4.4,0.0, ,24.3,19.5,86,69,7.64,22.31
GARDEN ISLAND HSF,14/03/2023,5.1,0.0, ,25.8,19.6,84,55,6.14,22.81
GARDEN ISLAND HSF,15/03/2023,4.1,0.0, ,26.0,15.9,94,65,3.73,22.77
GARDEN ISLAND HSF,16/03/2023,3.4,0.0, ,25.6,17.0,97,62,5.34,13.12
GARDEN ISLAND HSF,17/03/2023,4.8,0.0, ,22.2,17.5,78,59,9.50,21.30
GARDEN ISLAND HSF,18/03/2023,5.3,0.0, ,24.5,15.3,78,47,7.19,21.04
GARDEN ISLAND HSF,19/03/2023,7.8,0.0, ,31.9,16.8,78,26,6.82,21.98
GARDEN ISLAND HSF,20/03/2023,7.9,0.0, ,34.1,21.7,87,23,6.20,21.79
GARDEN ISLAND HSF,21/03/2023, ,0.0, , ,22.6,84,38,7.05,21.34
GARDEN ISLAND HSF,22/03/2023,4.3, , ,24.9,20.0,90,63,6.11,21.31
GARDEN ISLAND HSF,23/03/2023,4.0,0.0, ,26.2,18.9,93,66,4.32,20.99
GARDEN ISLAND HSF,24/03/2023,2.7,0.0, ,25.8,18.1,97,60,3.63,9.00
GARDEN ISLAND HSF,25/03/2023,6.1,0.8, ,32.2,18.5,89,17,4.39,14.91
GARDEN ISLAND HSF,26/03/2023,4.3,3.2, ,26.5,18.9,91,54,6.76,14.65
GARDEN ISLAND HSF,27/03/2023,4.5,0.2, ,24.3,16.6,81,55,7.75,16.11
GARDEN ISLAND HSF,28/03/2023,6.3,0.0, ,27.3,15.4,72,31,6.39,20.30
GARDEN ISLAND HSF,29/03/2023,6.7,0.0, ,30.7,16.4,68,32,5.88,19.92
GARDEN ISLAND HSF,30/03/2023,5.9,0.0, ,30.2,19.1,82,36,6.24,14.92
GARDEN ISLAND HSF,31/03/2023,3.5,19.6, ,23.9,16.2,97,62,7.28,14.89
Totals:,,162.6,25.8, ,,,,,, 
