'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GARDEN ISLAND HSF Western Australia for May 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 June 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GARDEN ISLAND HSF,01/05/2023,3.0,0.0, ,20.7,12.6,83,59,5.51,14.85
GARDEN ISLAND HSF,02/05/2023,3.5,0.0, ,23.3,12.6,84,50,5.20,14.87
GARDEN ISLAND HSF,03/05/2023,3.2,0.0, ,22.3,13.9,83,49,4.39,14.71
GARDEN ISLAND HSF,04/05/2023,3.0,0.0, ,21.3,14.2,85,66,7.11,14.26
GARDEN ISLAND HSF,05/05/2023,3.5,0.0, ,21.7,14.8,79,55,6.61,14.05
GARDEN ISLAND HSF,06/05/2023,2.5,0.4, ,17.7,12.6,89,58,7.30,6.34
GARDEN ISLAND HSF,07/05/2023,2.8,4.4, ,20.1,12.4,89,53,6.96,5.36
GARDEN ISLAND HSF,08/05/2023,4.1,0.0, ,24.7,16.5,76,38,5.35,10.38
GARDEN ISLAND HSF,09/05/2023,4.4,0.0, ,24.8,17.4,86,39,6.91,13.32
GARDEN ISLAND HSF,10/05/2023, ,0.6, , ,16.3,90,52,9.65,6.62
GARDEN ISLAND HSF,11/05/2023, , , ,19.0, ,80,51,4.41,10.43
GARDEN ISLAND HSF,12/05/2023,3.0,0.0, ,21.5,10.3,82,40,3.85,12.97
GARDEN ISLAND HSF,13/05/2023,2.6,4.4, ,19.7,14.6,93,64,8.40,12.30
GARDEN ISLAND HSF,14/05/2023,2.1,4.4, ,19.2,10.3,93,55,3.68,9.99
GARDEN ISLAND HSF,15/05/2023,2.5,0.0, ,19.6,13.8,82,49,3.44,12.62
GARDEN ISLAND HSF,16/05/2023,2.9,0.0, ,23.0,9.9,89,46,3.83,12.61
GARDEN ISLAND HSF,17/05/2023,3.4,0.0, ,24.9,12.6,79,33,3.48,13.19
GARDEN ISLAND HSF,18/05/2023,4.2,0.0, ,26.6,15.0,71,31,4.38,13.00
GARDEN ISLAND HSF,19/05/2023,3.4,0.0, ,23.3,14.8,74,40,4.08,12.79
GARDEN ISLAND HSF,20/05/2023,3.3,0.0, ,23.6,12.8,86,40,4.40,12.94
GARDEN ISLAND HSF,21/05/2023,3.2,0.0, ,21.6,13.2,69,44,4.49,10.52
GARDEN ISLAND HSF,22/05/2023,3.1,0.0, ,21.9,14.9,77,41,4.49,7.06
GARDEN ISLAND HSF,23/05/2023,3.4,0.0, ,23.5,13.1,96,43,6.28,8.70
GARDEN ISLAND HSF,24/05/2023,2.6,7.0, ,18.3,15.3,95,59,8.67,11.70
GARDEN ISLAND HSF,25/05/2023,2.8,0.0, ,18.2,12.3,81,51,5.86,12.46
GARDEN ISLAND HSF,26/05/2023,2.9,0.0, ,19.2,9.9,75,42,4.45,12.46
GARDEN ISLAND HSF,27/05/2023,2.2,0.0, ,17.7,7.7,87,47,3.64,12.37
GARDEN ISLAND HSF,28/05/2023,2.3,0.0, ,19.8,9.4,92,46,3.65,12.14
GARDEN ISLAND HSF,29/05/2023,2.3,0.0, ,20.9,10.6,86,47,3.48,6.36
GARDEN ISLAND HSF,30/05/2023,2.6,0.0, ,23.5,15.4,82,67,5.43,10.17
GARDEN ISLAND HSF,31/05/2023,1.2,0.0, ,18.7,17.3,96,80,3.44,5.66
Totals:,,86,21.2, ,,,,,, 
