'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GARDEN ISLAND HSF Western Australia for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GARDEN ISLAND HSF,01/09/2023, , , ,21.8, ,99,71,6.03,13.86
GARDEN ISLAND HSF,02/09/2023,2.9,2.4, ,19.3,15.4,95,65,9.87,12.90
GARDEN ISLAND HSF,03/09/2023,3.2,10.8, ,17.1,11.1,92,58,11.73,15.84
GARDEN ISLAND HSF,04/09/2023,3.1,1.6, ,18.6,12.2,91,62,8.88,16.62
GARDEN ISLAND HSF,05/09/2023,3.1,0.8, ,19.7,15.2,92,66,8.80,16.48
GARDEN ISLAND HSF,06/09/2023,3.7,5.0, ,16.5,14.4,81,58,10.99,18.01
GARDEN ISLAND HSF,07/09/2023,3.7,0.2, ,18.5,6.7,81,39,4.69,19.21
GARDEN ISLAND HSF,08/09/2023, ,0.0, , ,9.3,81,34,4.29,18.57
GARDEN ISLAND HSF,09/09/2023, , , ,21.3, ,97,37,4.43,16.89
GARDEN ISLAND HSF,10/09/2023,2.7,3.2, ,20.5,15.0,96,74,3.71,18.20
GARDEN ISLAND HSF,11/09/2023, ,0.4, , ,13.8,99,65,4.01,18.11
GARDEN ISLAND HSF,12/09/2023,3.0, , ,21.7,14.8,97,74,5.80,19.53
GARDEN ISLAND HSF,13/09/2023,2.5, , ,17.8,15.1,97,64,12.35,6.83
GARDEN ISLAND HSF,14/09/2023,3.2,18.2, ,19.7,12.5,94,61,8.83,14.58
GARDEN ISLAND HSF,15/09/2023,2.6,1.2, ,20.5,15.8,94,70,7.62,10.77
GARDEN ISLAND HSF,16/09/2023,3.3,0.6, ,21.0,15.3,96,61,4.16,19.67
GARDEN ISLAND HSF,17/09/2023,3.4,1.4, ,17.4,12.4,94,56,6.71,20.85
GARDEN ISLAND HSF,18/09/2023,3.6,0.0, ,18.6,14.9,86,52,6.38,17.14
GARDEN ISLAND HSF,19/09/2023,3.2,0.0, ,18.8,15.3,88,66,5.98,17.76
GARDEN ISLAND HSF,20/09/2023,3.0,0.2, ,18.5,14.5,84,60,4.61,14.25
GARDEN ISLAND HSF,21/09/2023, ,0.0, , ,12.2,88,66,4.29,14.04
GARDEN ISLAND HSF,22/09/2023, , , ,20.8, , , , ,21.31
GARDEN ISLAND HSF,23/09/2023,3.0,0.0, ,17.7,16.3,88,71,8.45,15.72
GARDEN ISLAND HSF,24/09/2023, ,0.0, , ,12.2,92,58,6.16,20.48
GARDEN ISLAND HSF,25/09/2023,3.3, , ,18.5,11.8,87,69,5.92,22.25
GARDEN ISLAND HSF,26/09/2023,4.0,0.0, ,23.6,11.3,91,62,5.80,22.39
GARDEN ISLAND HSF,27/09/2023,6.3,0.0, ,33.2,13.7,91,28,3.82,22.50
GARDEN ISLAND HSF,28/09/2023,3.0,0.0, ,21.5,17.4,95,83,4.10,20.09
GARDEN ISLAND HSF,29/09/2023,2.6,0.0, ,19.3,12.7,97,68,5.20,13.58
GARDEN ISLAND HSF,30/09/2023,3.6,0.0, ,19.9,16.6,83,66,5.59,18.75
Totals:,,76,46, ,,,,,, 
