'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GERALDTON AIRPORT Western Australia for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GERALDTON AIRPORT,01/09/2022,5.8,0.0, ,26.3,6.7,89,22,5.90,18.50
GERALDTON AIRPORT,02/09/2022,3.8,0.0, ,18.1,14.8,92,27,7.95,4.14
GERALDTON AIRPORT,03/09/2022,3.3,19.2, ,22.2,12.6,93,63,5.10,18.40
GERALDTON AIRPORT,04/09/2022,2.7,0.0, ,21.3,12.3,96,68,4.20,15.68
GERALDTON AIRPORT,05/09/2022,3.1,2.2, ,19.7,10.5,93,54,4.66,16.92
GERALDTON AIRPORT,06/09/2022,3.7,6.2, ,19.8,11.9,90,50,6.75,17.73
GERALDTON AIRPORT,07/09/2022,3.2,4.0, ,20.0,8.3,94,50,3.39,19.64
GERALDTON AIRPORT,08/09/2022,2.3,0.0, ,19.5,8.2,94,53,2.85,10.22
GERALDTON AIRPORT,09/09/2022,3.5,0.0, ,21.6,8.1,93,46,3.72,18.35
GERALDTON AIRPORT,10/09/2022,3.9,0.0, ,22.8,5.6,94,43,3.58,20.90
GERALDTON AIRPORT,11/09/2022,4.7,0.0, ,25.4,8.0,94,33,4.10,20.88
GERALDTON AIRPORT,12/09/2022,4.0,0.4, ,23.3,9.6,96,54,6.10,20.57
GERALDTON AIRPORT,13/09/2022,4.2,5.2, ,20.9,15.6,88,52,8.73,17.40
GERALDTON AIRPORT,14/09/2022,3.6,2.0, ,20.2,10.7,88,48,4.46,17.82
GERALDTON AIRPORT,15/09/2022,3.1,0.0, ,20.5,10.9,94,51,3.29,16.59
GERALDTON AIRPORT,16/09/2022,3.1,0.2, ,21.4,10.7,94,57,3.45,16.07
GERALDTON AIRPORT,17/09/2022,3.5,0.0, ,22.3,6.9,96,52,2.69,21.32
GERALDTON AIRPORT,18/09/2022,3.5,0.0, ,22.0,7.5,96,53,3.00,20.71
GERALDTON AIRPORT,19/09/2022,3.8,7.0, ,18.9,10.4,93,49,8.20,18.32
GERALDTON AIRPORT,20/09/2022,2.8,0.2, ,19.8,10.7,92,59,2.35,15.95
GERALDTON AIRPORT,21/09/2022,3.6,0.0, ,21.2,8.9,93,58,3.66,22.14
GERALDTON AIRPORT,22/09/2022,3.7,0.0, ,22.4,8.9,95,51,3.86,20.18
GERALDTON AIRPORT,23/09/2022,4.1,0.0, ,22.7,6.3,93,41,3.39,22.66
GERALDTON AIRPORT,24/09/2022,3.0,2.6, ,20.1,8.1,93,63,5.25,15.87
GERALDTON AIRPORT,25/09/2022,4.1,3.8, ,20.3,6.4,92,42,4.88,22.45
GERALDTON AIRPORT,26/09/2022,4.9,0.0, ,23.9,6.0,94,33,4.63,23.10
GERALDTON AIRPORT,27/09/2022,6.1,0.0, ,28.1,7.1,93,20,4.28,23.23
GERALDTON AIRPORT,28/09/2022,6.7,0.2, ,29.6,7.6,93,15,4.48,23.18
GERALDTON AIRPORT,29/09/2022,8.0,0.0, ,31.6,7.7,90,20,6.46,22.36
GERALDTON AIRPORT,30/09/2022,7.6,0.0, ,30.6,13.5,87,23,6.47,23.31
Totals:,,123.4,53.2, ,,,,,, 
