'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GERALDTON AIRPORT Western Australia for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GERALDTON AIRPORT,01/09/2023,3.0,0.0, ,24.3,11.9,97,64,3.94,16.11
GERALDTON AIRPORT,02/09/2023,3.5,3.2, ,22.0,14.7,94,47,5.13,14.63
GERALDTON AIRPORT,03/09/2023,3.5,4.0, ,19.4,14.8,92,50,7.36,14.57
GERALDTON AIRPORT,04/09/2023,3.1,0.2, ,20.4,12.3,94,51,3.53,16.37
GERALDTON AIRPORT,05/09/2023,3.2,0.0, ,22.4,8.2,96,57,4.09,17.10
GERALDTON AIRPORT,06/09/2023,3.9,1.2, ,20.4,13.0,93,44,6.10,17.32
GERALDTON AIRPORT,07/09/2023,5.6,0.0, ,25.2,4.3,91,14,4.61,20.20
GERALDTON AIRPORT,08/09/2023,7.3,0.0, ,31.3,7.3,90,13,5.29,20.38
GERALDTON AIRPORT,09/09/2023,3.6,0.0, ,23.6,11.1,94,58,4.07,20.27
GERALDTON AIRPORT,10/09/2023,4.1,0.0, ,24.9,9.6,96,46,3.86,20.45
GERALDTON AIRPORT,11/09/2023,4.0,0.0, ,26.4,10.9,97,49,3.28,20.62
GERALDTON AIRPORT,12/09/2023,4.0,0.2, ,24.5,12.6,97,52,4.29,20.43
GERALDTON AIRPORT,13/09/2023,3.8,0.2, ,23.1,12.1,95,60,9.93,15.10
GERALDTON AIRPORT,14/09/2023,3.6,4.4, ,22.6,12.1,93,53,3.72,18.96
GERALDTON AIRPORT,15/09/2023,3.7,0.0, ,23.4,10.0,94,55,3.67,21.07
GERALDTON AIRPORT,16/09/2023,4.4,0.0, ,24.5,10.3,96,46,4.73,21.21
GERALDTON AIRPORT,17/09/2023,3.4,0.0, ,21.3,10.9,95,54,5.60,15.97
GERALDTON AIRPORT,18/09/2023,4.2,0.0, ,21.0,7.2,91,44,5.56,21.48
GERALDTON AIRPORT,19/09/2023,3.2,0.0, ,22.3,10.2,92,57,3.94,15.48
GERALDTON AIRPORT,20/09/2023,4.4,0.0, ,24.3,5.6,96,41,4.15,21.73
GERALDTON AIRPORT,21/09/2023,4.8,0.0, ,28.0,9.6,93,36,3.89,18.04
GERALDTON AIRPORT,22/09/2023,3.1,0.0, ,23.4,15.8,95,62,4.09,14.16
GERALDTON AIRPORT,23/09/2023,3.6,0.0, ,22.2,9.9,95,53,4.49,17.57
GERALDTON AIRPORT,24/09/2023,4.8,0.0, ,24.3,8.3,93,46,6.50,21.96
GERALDTON AIRPORT,25/09/2023,4.2,0.0, ,22.3,9.4,94,48,6.94,18.60
GERALDTON AIRPORT,26/09/2023,6.7,0.0, ,29.4,7.6,94,23,5.49,22.37
GERALDTON AIRPORT,27/09/2023,8.8,0.0, ,39.0,9.0,91,12,4.24,22.44
GERALDTON AIRPORT,28/09/2023,4.5,0.0, ,27.3,16.4,95,39,3.40,18.14
GERALDTON AIRPORT,29/09/2023,4.1,0.0, ,24.4,14.0,96,56,3.90,22.00
GERALDTON AIRPORT,30/09/2023,4.2,0.0, ,24.0,9.1,92,49,3.74,21.74
Totals:,,128.3,13.4, ,,,,,, 
