'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GILES METEOROLOGICAL OFFICE Western Australia for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GILES METEOROLOGICAL OFFICE,01/01/2023,10.2,0.0, ,40.2,27.3,33,20,5.46,18.98
GILES METEOROLOGICAL OFFICE,02/01/2023,10.2,0.0, ,40.8,28.0,85,19,6.04,24.93
GILES METEOROLOGICAL OFFICE,03/01/2023,7.7,5.8, ,34.8,24.4,74,34,6.18,18.49
GILES METEOROLOGICAL OFFICE,04/01/2023,6.9,0.4, ,30.2,24.6,64,29,6.45,11.70
GILES METEOROLOGICAL OFFICE,05/01/2023,7.7,0.0, ,30.4,23.2,57,23,6.12,15.75
GILES METEOROLOGICAL OFFICE,06/01/2023,7.5,0.0, ,33.2,23.0,66,19,4.29,21.04
GILES METEOROLOGICAL OFFICE,07/01/2023,7.8,0.0, ,32.2,20.2,61,18,4.49,22.51
GILES METEOROLOGICAL OFFICE,08/01/2023,7.9,0.0, ,29.9,18.9,73,38,6.83,28.68
GILES METEOROLOGICAL OFFICE,09/01/2023,5.8,0.0, ,27.9,19.3,74,40,7.47,11.09
GILES METEOROLOGICAL OFFICE,10/01/2023,7.6,0.6, ,34.3,19.0,63,30,4.36,23.09
GILES METEOROLOGICAL OFFICE,11/01/2023,8.5,0.0, ,38.4,21.7,74,19,3.26,29.27
GILES METEOROLOGICAL OFFICE,12/01/2023,7.8,0.0, ,36.8,25.2,58,26,4.80,16.48
GILES METEOROLOGICAL OFFICE,13/01/2023,9.4,0.2, ,39.4,24.9,49,21,4.76,22.21
GILES METEOROLOGICAL OFFICE,14/01/2023,8.5,0.0, ,38.6,22.1,73,21,4.48,21.64
GILES METEOROLOGICAL OFFICE,15/01/2023,9.7,5.0, ,37.4,20.9,65,19,5.88,23.08
GILES METEOROLOGICAL OFFICE,16/01/2023,10.4,0.2, ,39.0,22.9,58,18,5.33,27.86
GILES METEOROLOGICAL OFFICE,17/01/2023,9.8,0.0, ,39.6,25.4,52,19,4.25,28.51
GILES METEOROLOGICAL OFFICE,18/01/2023, ,0.0, , ,23.3,82,28,5.52,26.27
GILES METEOROLOGICAL OFFICE,19/01/2023, , , ,34.6, ,62,31,4.96,26.54
GILES METEOROLOGICAL OFFICE,20/01/2023,5.7,0.0, ,31.3,21.6,72,36,3.74,16.76
GILES METEOROLOGICAL OFFICE,21/01/2023,7.7,0.0, ,34.5,18.3,92,22,3.24,29.95
GILES METEOROLOGICAL OFFICE,22/01/2023,9.5,0.0, ,37.3,20.5,39,14,3.91,30.29
GILES METEOROLOGICAL OFFICE,23/01/2023,10.8,0.0, ,39.4,23.9,29,13,5.07,26.22
GILES METEOROLOGICAL OFFICE,24/01/2023,9.8,0.0, ,37.1,24.0,30,12,4.67,25.07
GILES METEOROLOGICAL OFFICE,25/01/2023,9.4,0.0, ,39.3,22.3,20,9,3.73,25.50
GILES METEOROLOGICAL OFFICE,26/01/2023,9.4,0.0, ,39.2,24.5,85,14,5.33,22.86
GILES METEOROLOGICAL OFFICE,27/01/2023,5.5,9.4, ,30.7,20.8,92,49,5.68,18.14
GILES METEOROLOGICAL OFFICE,28/01/2023, ,2.6, , ,21.4,95,50,4.38,18.16
GILES METEOROLOGICAL OFFICE,29/01/2023,6.4, , ,30.6,20.7,87,43,5.01,23.69
GILES METEOROLOGICAL OFFICE,30/01/2023,7.6,0.0, ,33.8,18.4,94,27,3.99,28.31
GILES METEOROLOGICAL OFFICE,31/01/2023,7.2,0.0, ,34.2,20.8,71,27,3.88,22.95
Totals:,,232.4,24.2, ,,,,,, 
