'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GILES METEOROLOGICAL OFFICE Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GILES METEOROLOGICAL OFFICE,01/03/2023,10.6, , ,38.5,24.8,41,20,6.11,24.64
GILES METEOROLOGICAL OFFICE,02/03/2023,9.7,0.0, ,37.1,23.0,37,17,5.34,23.21
GILES METEOROLOGICAL OFFICE,03/03/2023,9.6,0.0, ,37.5,21.7,27,12,4.59,26.21
GILES METEOROLOGICAL OFFICE,04/03/2023,9.5,0.0, ,39.3,21.8,18,9,4.06,26.06
GILES METEOROLOGICAL OFFICE,05/03/2023,9.6,0.0, ,40.5,24.1,27,10,4.14,24.81
GILES METEOROLOGICAL OFFICE,06/03/2023,10.5,0.0, ,37.4,24.7,40,14,5.92,25.70
GILES METEOROLOGICAL OFFICE,07/03/2023,9.5,0.0, ,34.8,18.5,41,15,5.55,25.57
GILES METEOROLOGICAL OFFICE,08/03/2023,9.0,0.0, ,32.0,18.3,42,15,5.76,25.41
GILES METEOROLOGICAL OFFICE,09/03/2023,7.8,0.0, ,33.2,15.3,37,10,3.81,25.26
GILES METEOROLOGICAL OFFICE,10/03/2023,7.6,0.0, ,36.7,18.4,30,9,3.03,25.11
GILES METEOROLOGICAL OFFICE,11/03/2023,8.5,0.0, ,38.9,23.3,20,9,3.46,24.93
GILES METEOROLOGICAL OFFICE,12/03/2023,8.9,0.0, ,38.2,20.2,47,12,4.23,24.79
GILES METEOROLOGICAL OFFICE,13/03/2023,9.0,0.0, ,38.7,20.3,48,13,4.26,24.62
GILES METEOROLOGICAL OFFICE,14/03/2023,8.5,0.0, ,39.6,20.4,40,11,3.60,24.39
GILES METEOROLOGICAL OFFICE,15/03/2023,8.8,0.0, ,40.2,23.0,24,9,3.67,24.33
GILES METEOROLOGICAL OFFICE,16/03/2023,9.7,0.0, ,40.4,24.4,21,10,4.41,24.17
GILES METEOROLOGICAL OFFICE,17/03/2023,9.1,0.0, ,41.8,25.2,21,12,3.79,23.95
GILES METEOROLOGICAL OFFICE,18/03/2023,9.7,0.0, ,41.9,25.3,33,12,4.50,21.98
GILES METEOROLOGICAL OFFICE,19/03/2023,9.7,0.0, ,39.4,25.4,38,16,5.41,19.34
GILES METEOROLOGICAL OFFICE,20/03/2023,9.8,0.0, ,38.5,23.6,69,21,6.71,21.97
GILES METEOROLOGICAL OFFICE,21/03/2023,8.2,3.8, ,37.6,24.1,58,17,4.41,21.50
GILES METEOROLOGICAL OFFICE,22/03/2023,9.4,0.0, ,38.6,24.2,44,13,5.11,21.95
GILES METEOROLOGICAL OFFICE,23/03/2023,9.7,0.0, ,38.8,23.4,35,13,5.11,22.75
GILES METEOROLOGICAL OFFICE,24/03/2023,9.5,0.0, ,39.3,24.3,31,17,5.13,20.79
GILES METEOROLOGICAL OFFICE,25/03/2023,8.7,0.0, ,38.4,25.1,60,18,5.06,20.89
GILES METEOROLOGICAL OFFICE,26/03/2023,8.9,0.0, ,38.3,22.0,60,16,5.22,20.93
GILES METEOROLOGICAL OFFICE,27/03/2023,6.7,0.0, ,34.7,23.0,64,26,4.39,16.78
GILES METEOROLOGICAL OFFICE,28/03/2023,5.8,0.0, ,33.9,23.2,90,29,4.62,13.93
GILES METEOROLOGICAL OFFICE,29/03/2023,3.8,2.0, ,27.0,19.6,89,58,5.06,12.92
GILES METEOROLOGICAL OFFICE,30/03/2023,5.2,0.6, ,31.9,19.0,91,35,4.74,13.46
GILES METEOROLOGICAL OFFICE,31/03/2023,3.5,4.2, ,27.6,18.1,95,59,3.90,13.38
Totals:,,264.5,10.6, ,,,,,, 
