'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GILES METEOROLOGICAL OFFICE Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GILES METEOROLOGICAL OFFICE,01/04/2023,2.7,0.2, ,22.8,17.1,89,65,3.59,10.52
GILES METEOROLOGICAL OFFICE,02/04/2023,4.9,0.6, ,29.7,16.4,90,39,3.19,21.04
GILES METEOROLOGICAL OFFICE,03/04/2023,5.9,0.0, ,33.5,17.9,76,23,3.00,21.65
GILES METEOROLOGICAL OFFICE,04/04/2023,5.4,1.8, ,31.4,19.1,92,42,4.38,19.58
GILES METEOROLOGICAL OFFICE,05/04/2023,5.0,7.0, ,30.5,20.7,96,47,4.11,19.89
GILES METEOROLOGICAL OFFICE,06/04/2023,6.0,0.0, ,32.3,17.4,89,17,3.47,21.43
GILES METEOROLOGICAL OFFICE,07/04/2023,6.6,0.0, ,30.3,15.0,50,15,4.07,21.26
GILES METEOROLOGICAL OFFICE,08/04/2023,5.9,0.0, ,33.5,14.9,59,14,3.04,18.11
GILES METEOROLOGICAL OFFICE,09/04/2023,7.3,0.0, ,34.7,23.2,64,28,5.64,16.77
GILES METEOROLOGICAL OFFICE,10/04/2023,7.4,0.0, ,35.7,23.3,68,24,4.72,20.64
GILES METEOROLOGICAL OFFICE,11/04/2023,6.8,0.0, ,35.5,23.8,89,33,5.83,17.99
GILES METEOROLOGICAL OFFICE,12/04/2023,4.3,2.0, ,31.6,21.0,93,40,3.08,14.80
GILES METEOROLOGICAL OFFICE,13/04/2023,4.0,0.0, ,30.2,22.7,90,48,4.31,11.28
GILES METEOROLOGICAL OFFICE,14/04/2023,3.4,5.0, ,29.0,22.3,96,63,5.97,10.23
GILES METEOROLOGICAL OFFICE,15/04/2023,4.5,33.4, ,19.8,13.7,94,34,7.37,20.23
GILES METEOROLOGICAL OFFICE,16/04/2023,4.4,0.0, ,22.8,7.6,86,29,4.06,20.19
GILES METEOROLOGICAL OFFICE,17/04/2023,4.6,0.0, ,24.5,9.9,82,22,3.46,20.02
GILES METEOROLOGICAL OFFICE,18/04/2023,5.4,0.0, ,26.7,10.9,79,23,4.54,19.86
GILES METEOROLOGICAL OFFICE,19/04/2023, ,0.0, , ,12.0,75,33,6.01,19.70
GILES METEOROLOGICAL OFFICE,20/04/2023, , , , , , , , ,19.61
GILES METEOROLOGICAL OFFICE,21/04/2023, , , ,25.4, ,77,16,4.55,19.42
GILES METEOROLOGICAL OFFICE,22/04/2023,5.6,0.0, ,27.1,10.3,73,23,4.77,19.32
GILES METEOROLOGICAL OFFICE,23/04/2023, ,0.0, , ,11.8,63,21,4.84,19.18
GILES METEOROLOGICAL OFFICE,24/04/2023,6.0, , ,28.7,15.8,49,19,4.30,19.06
GILES METEOROLOGICAL OFFICE,25/04/2023,5.8,0.0, ,30.1,16.1,48,25,4.12,16.74
GILES METEOROLOGICAL OFFICE,26/04/2023,5.0,0.0, ,28.9,20.3,54,27,3.58,14.51
GILES METEOROLOGICAL OFFICE,27/04/2023,4.7,0.0, ,26.8,13.1,64,23,3.40,16.73
GILES METEOROLOGICAL OFFICE,28/04/2023,6.0,0.0, ,26.9,12.6,58,19,5.21,18.27
GILES METEOROLOGICAL OFFICE,29/04/2023,4.9,0.0, ,21.8,9.5,73,24,5.64,18.43
GILES METEOROLOGICAL OFFICE,30/04/2023,4.4,0.0, ,23.5,8.1,71,22,3.60,18.30
Totals:,,136.9,50, ,,,,,, 
