'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GILES METEOROLOGICAL OFFICE Western Australia for November 2023,,,,,,,,,,
Issued at 06:31 GMT on Saturday 04 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GILES METEOROLOGICAL OFFICE,28/10/2023,8.8,0.0, ,34.8,18.2,22,5,3.76,27.98
GILES METEOROLOGICAL OFFICE,29/10/2023,10.3,0.0, ,36.8,20.4,29,4,4.86,28.11
GILES METEOROLOGICAL OFFICE,30/10/2023,11.0,0.0, ,39.4,21.6,16,6,5.07,25.39
GILES METEOROLOGICAL OFFICE,31/10/2023,11.0,0.0, ,36.2,22.0,23,11,5.81,28.60
GILES METEOROLOGICAL OFFICE,01/11/2023,10.3,0.0, ,36.8,23.3,37,10,5.29,25.82
GILES METEOROLOGICAL OFFICE,02/11/2023,9.4,0.4, ,38.2,17.9,43,9,3.91,28.92
GILES METEOROLOGICAL OFFICE,03/11/2023,9.5,0.0, ,38.1,18.1,28,8,3.99,27.24
Totals:,,70.3,0.4, ,,,,,, 
