'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GINGIN AERO Western Australia for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GINGIN AERO,01/09/2022,4.4,0.0, ,22.0,9.7,80,34,5.06,18.51
GINGIN AERO,02/09/2022,4.7,0.0, ,20.5,11.1,54,37,6.64,12.09
GINGIN AERO,03/09/2022,2.5,3.4, ,15.8,11.5,89,56,6.95,8.58
GINGIN AERO,04/09/2022,2.5,1.0, ,21.0,11.8,97,63,3.46,12.92
GINGIN AERO,05/09/2022,2.4,7.8, ,18.2,11.9,99,55,3.63,12.10
GINGIN AERO,06/09/2022,2.4,3.6, ,16.9,9.3,97,62,3.94,15.42
GINGIN AERO,07/09/2022,2.4,8.6, ,18.9,4.3,97,59,2.72,14.59
GINGIN AERO,08/09/2022,2.5,5.0, ,19.8,4.2,96,48,2.34,12.84
GINGIN AERO,09/09/2022,3.4,0.0, ,21.8,5.2,94,38,2.81,18.21
GINGIN AERO,10/09/2022,3.4,0.0, ,23.1,4.0,96,37,2.26,18.84
GINGIN AERO,11/09/2022,3.9,0.0, ,25.5,2.9,93,29,2.44,19.43
GINGIN AERO,12/09/2022,3.8,0.0, ,24.6,6.5,92,43,3.41,18.13
GINGIN AERO,13/09/2022,2.9,5.0, ,18.4,12.0,96,59,7.48,13.46
GINGIN AERO,14/09/2022,3.4,4.0, ,19.3,12.3,88,52,5.73,15.30
GINGIN AERO,15/09/2022,2.7,2.4, ,19.3,6.9,96,50,3.50,12.68
GINGIN AERO,16/09/2022,2.4,0.8, ,19.6,9.0,96,59,2.08,13.55
GINGIN AERO,17/09/2022,2.6,0.4, ,20.4,3.8,95,55,2.32,14.60
GINGIN AERO,18/09/2022,3.0,0.0, ,21.2,7.2,96,46,2.60,16.21
GINGIN AERO,19/09/2022,3.2,0.0, ,17.9,10.4,92,55,6.28,17.16
GINGIN AERO,20/09/2022,2.6,0.6, ,18.9,10.9,91,60,3.38,12.84
GINGIN AERO,21/09/2022,3.6,0.4, ,21.6,8.4,94,47,4.08,18.33
GINGIN AERO,22/09/2022,3.7,0.2, ,20.0,8.9,93,36,3.04,20.42
GINGIN AERO,23/09/2022,3.6,0.2, ,20.8,2.2,91,43,2.86,21.85
GINGIN AERO,24/09/2022,4.0,0.0, ,18.7,8.5,93,32,5.05,18.29
GINGIN AERO,25/09/2022,3.6,0.2, ,20.1,2.1,92,38,2.99,20.42
GINGIN AERO,26/09/2022,4.0,0.0, ,22.8,3.2,95,36,2.83,22.58
GINGIN AERO,27/09/2022,4.7,0.0, ,25.9,4.5,94,27,2.86,22.58
GINGIN AERO,28/09/2022,5.5,0.0, ,28.1,6.5,95,19,3.38,21.84
GINGIN AERO,29/09/2022,7.4,0.0, ,29.1,8.7,90,15,5.99,23.14
GINGIN AERO,30/09/2022,7.0,0.0, ,28.3,14.6,62,25,5.57,23.29
Totals:,,108.2,43.6, ,,,,,, 
