'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GINGIN AERO Western Australia for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GINGIN AERO,01/11/2022,5.0,0.0, ,23.5,1.9,89,37,3.40,28.24
GINGIN AERO,02/11/2022,6.3,0.0, ,27.5,11.4,91,30,4.47,27.37
GINGIN AERO,03/11/2022,8.8,0.0, ,34.1,15.3,79,13,5.03,26.20
GINGIN AERO,04/11/2022,5.0,0.0, ,23.8,9.9,95,43,4.20,25.79
GINGIN AERO,05/11/2022,6.5,0.0, ,26.7,6.0,91,26,4.68,28.81
GINGIN AERO,06/11/2022,6.7,0.2, ,27.8,13.1,86,33,5.67,26.15
GINGIN AERO,07/11/2022,4.9,0.0, ,24.3,8.7,95,45,3.41,26.66
GINGIN AERO,08/11/2022,3.6,0.0, ,24.1,12.7,92,49,3.29,14.47
GINGIN AERO,09/11/2022,4.8,0.0, ,24.2,10.6,94,43,3.33,24.31
GINGIN AERO,10/11/2022,4.2,0.0, ,23.5,5.3,92,44,4.05,18.20
GINGIN AERO,11/11/2022,4.8,0.4, ,20.6,5.9,90,38,5.65,23.89
GINGIN AERO,12/11/2022,4.8,0.0, ,21.0,0.7,84,34,4.54,24.13
GINGIN AERO,13/11/2022,5.3,0.0, ,23.7,8.9,76,34,4.36,22.20
GINGIN AERO,14/11/2022,7.5,0.0, ,26.6,11.6,86,17,5.73,29.72
GINGIN AERO,15/11/2022,8.5,0.0, ,30.3,12.1,65,14,5.13,29.92
GINGIN AERO,16/11/2022,8.6,0.0, ,32.6,7.9,86,15,4.74,29.86
GINGIN AERO,17/11/2022,4.4,0.0, ,22.2,10.6,92,46,4.88,20.25
GINGIN AERO,18/11/2022,4.3,7.2, ,17.9,9.9,93,41,6.58,21.62
GINGIN AERO,19/11/2022,3.7,5.6, ,20.5,7.4,95,52,3.45,20.34
GINGIN AERO,20/11/2022,5.3,3.8, ,24.8,4.3,93,36,3.21,27.86
GINGIN AERO,21/11/2022,8.3,1.2, ,30.6,10.9,88,19,5.49,30.50
GINGIN AERO,22/11/2022,9.3,0.0, ,35.4,17.5,66,11,5.93,17.85
GINGIN AERO,23/11/2022,6.1,0.6, ,26.3,16.0,89,45,4.45,29.72
GINGIN AERO,24/11/2022,5.4,0.0, ,25.0,15.9,90,41,3.81,25.36
GINGIN AERO,25/11/2022,4.7,0.0, ,24.1,9.8,91,46,3.61,23.03
GINGIN AERO,26/11/2022,5.7,0.0, ,26.3,5.7,92,40,4.24,27.78
GINGIN AERO,27/11/2022,7.5,0.0, ,28.2,13.3,86,26,5.39,31.00
GINGIN AERO,28/11/2022,9.0,0.0, ,32.3,12.9,86,17,5.57,30.94
GINGIN AERO,29/11/2022,10.7,0.0, ,38.7,16.1,71,10,5.03,29.83
GINGIN AERO,30/11/2022,8.7,0.0, ,30.8,23.1,74,16,5.42,28.79
Totals:,,188.4,19, ,,,,,, 
