'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GINGIN AERO Western Australia for February 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GINGIN AERO,01/02/2023,10.5,0.0, ,33.9,18.2,66,25,8.65,29.18
GINGIN AERO,02/02/2023,12.3,0.0, ,35.5,16.3,58,9,8.51,29.17
GINGIN AERO,03/02/2023,11.8,0.0, ,36.8,18.6,65,14,7.79,29.06
GINGIN AERO,04/02/2023,10.5,0.0, ,40.2,23.8,30,12,5.28,17.95
GINGIN AERO,05/02/2023,8.6,0.0, ,38.1,18.8,92,19,3.77,28.76
GINGIN AERO,06/02/2023,5.7,0.0, ,27.7,19.3,90,44,5.09,22.38
GINGIN AERO,07/02/2023,6.1,0.0, ,29.7,12.3,93,38,3.49,27.32
GINGIN AERO,08/02/2023,7.6,0.0, ,33.8,14.4,89,29,4.26,28.43
GINGIN AERO,09/02/2023,7.9,0.0, ,34.9,12.3,90,23,3.93,28.12
GINGIN AERO,10/02/2023,6.9,0.0, ,30.7,11.8,93,34,4.78,28.12
GINGIN AERO,11/02/2023,7.3,0.0, ,30.5,13.8,83,27,4.69,27.95
GINGIN AERO,12/02/2023,8.8,0.0, ,34.8,13.2,87,18,5.20,27.79
GINGIN AERO,13/02/2023,10.1,0.0, ,38.5,15.4,84,16,5.50,27.62
GINGIN AERO,14/02/2023,5.9,0.0, ,27.3,12.1,91,43,4.80,27.43
GINGIN AERO,15/02/2023,4.9,0.0, ,27.5,11.8,88,38,3.20,20.54
GINGIN AERO,16/02/2023,5.8,0.0, ,26.9,9.1,87,34,3.74,27.23
GINGIN AERO,17/02/2023,6.7,0.0, ,30.3,10.3,90,32,4.55,27.11
GINGIN AERO,18/02/2023,9.2,0.0, ,36.9,14.4,88,20,5.35,26.89
GINGIN AERO,19/02/2023,8.0,0.0, ,36.9,15.5,83,24,3.87,26.66
GINGIN AERO,20/02/2023,9.8,0.0, ,39.2,19.7,78,23,5.64,26.52
GINGIN AERO,21/02/2023,6.9,0.0, ,34.9,19.7,96,39,4.27,25.54
GINGIN AERO,22/02/2023,6.3,0.0, ,30.5,19.1,87,46,4.95,25.61
GINGIN AERO,23/02/2023,6.9,0.0, ,27.4,15.1,80,31,6.23,25.82
GINGIN AERO,24/02/2023,8.9,0.0, ,30.4,14.0,55,10,6.08,26.03
GINGIN AERO,25/02/2023,8.8,0.0, ,33.9,16.7,67,15,5.35,25.80
GINGIN AERO,26/02/2023,10.0,0.0, ,36.4,19.8,50,11,5.58,25.64
GINGIN AERO,27/02/2023,9.6,0.0, ,38.8,22.0,48,10,4.69,23.00
GINGIN AERO,28/02/2023,11.2,0.0, ,38.1,21.6,58,16,7.21,25.17
Totals:,,233,0, ,,,,,, 
