'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GINGIN AERO Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GINGIN AERO,01/03/2023,7.0,0.0, ,33.3,20.1,76,25,6.02,11.89
GINGIN AERO,02/03/2023,7.9,0.0, ,38.1,22.7,79,16,4.45,18.56
GINGIN AERO,03/03/2023,6.7,0.2, ,32.7,18.1,89,33,4.44,23.96
GINGIN AERO,04/03/2023,5.8,0.0, ,27.9,14.6,93,35,4.46,24.85
GINGIN AERO,05/03/2023,6.1,0.0, ,28.5,12.6,82,31,4.42,24.59
GINGIN AERO,06/03/2023,6.4,0.0, ,29.5,13.2,84,28,4.41,24.39
GINGIN AERO,07/03/2023,8.1,0.0, ,32.7,15.1,84,20,5.86,24.25
GINGIN AERO,08/03/2023,7.9,0.0, ,35.6,17.4,80,17,5.70,13.69
GINGIN AERO,09/03/2023,4.6,1.0, ,27.6,16.5,97,50,4.08,20.31
GINGIN AERO,10/03/2023,5.5,0.0, ,29.9,10.5,96,31,3.19,23.73
GINGIN AERO,11/03/2023,6.5,0.0, ,33.7,11.5,93,20,3.24,23.59
GINGIN AERO,12/03/2023,7.1,0.0, ,35.8,12.2,85,16,3.43,22.72
GINGIN AERO,13/03/2023,5.3,0.0, ,30.1,10.9,95,35,3.33,22.23
GINGIN AERO,14/03/2023,5.9,0.0, ,32.9,11.1,93,25,3.02,22.99
GINGIN AERO,15/03/2023,6.1,0.0, ,35.2,9.9,93,18,2.60,22.89
GINGIN AERO,16/03/2023,4.5,0.0, ,29.4,10.5,95,43,3.37,18.18
GINGIN AERO,17/03/2023,5.5,0.0, ,26.8,8.1,91,29,4.47,22.38
GINGIN AERO,18/03/2023,5.9,0.0, ,28.3,11.9,85,27,4.55,22.24
GINGIN AERO,19/03/2023,8.0,0.0, ,33.5,12.9,87,19,5.89,22.06
GINGIN AERO,20/03/2023,9.2,0.0, ,37.9,21.4,65,16,5.56,21.87
GINGIN AERO,21/03/2023,6.2,0.0, ,33.9,13.6,93,23,3.41,21.32
GINGIN AERO,22/03/2023,5.9,0.0, ,33.2,15.2,91,32,3.60,21.44
GINGIN AERO,23/03/2023,4.8,0.2, ,31.2,15.7,98,32,2.44,20.96
GINGIN AERO,24/03/2023,2.2,0.0, ,25.6,10.6,97,58,2.13,7.42
GINGIN AERO,25/03/2023,4.4,1.4, ,31.3,14.1,97,43,3.13,16.50
GINGIN AERO,26/03/2023,5.0,0.0, ,28.3,18.4,86,41,5.18,16.00
GINGIN AERO,27/03/2023,5.0,0.0, ,27.3,12.8,88,31,4.42,17.55
GINGIN AERO,28/03/2023,6.8,0.0, ,28.1,15.1,67,25,6.15,20.50
GINGIN AERO,29/03/2023, ,0.0, , ,16.1,63,29,8.35,19.85
GINGIN AERO,30/03/2023, , , ,29.9, ,83,34,7.21,10.51
GINGIN AERO,31/03/2023,2.8,12.8, ,22.0,16.2,92,68,6.63,11.03
Totals:,,173.1,15.6, ,,,,,, 
