'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GINGIN AERO Western Australia for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GINGIN AERO,01/07/2023,2.3,0.0, ,17.5,-1.0,95,37,3.50,12.19
GINGIN AERO,02/07/2023,2.9,0.0, ,18.9,0.2,89,30,4.34,12.22
GINGIN AERO,03/07/2023,2.1,0.0, ,18.4,4.3,100,56,5.26,8.16
GINGIN AERO,04/07/2023,2.5,19.2, ,16.8,10.4,95,45,5.89,9.71
GINGIN AERO,05/07/2023,2.5,4.0, ,16.6,8.3,95,45,6.06,10.88
GINGIN AERO,06/07/2023,1.8,0.0, ,17.9,6.6,100,51,3.05,10.10
GINGIN AERO,07/07/2023,1.8,0.4, ,18.4,9.6,100,55,3.85,8.83
GINGIN AERO,08/07/2023, ,0.4, , ,6.0,100,64,2.11,9.19
GINGIN AERO,09/07/2023,1.9,0.2, ,19.8,5.9,100,46,2.45,10.36
GINGIN AERO,10/07/2023,1.6,0.0, ,18.7,9.6,100,53,2.60,7.65
GINGIN AERO,11/07/2023,2.2,0.0, ,20.8,3.7,100,49,3.41,11.80
GINGIN AERO,12/07/2023,2.4,0.0, ,21.2,8.9,97,51,4.21,12.51
GINGIN AERO,13/07/2023,1.4,2.4, ,18.4,12.4,100,73,3.37,8.59
GINGIN AERO,14/07/2023,2.0,3.8, ,16.5,8.6,99,38,3.20,10.93
GINGIN AERO,15/07/2023,2.0,0.2, ,16.1,0.7,97,40,2.97,12.90
GINGIN AERO,16/07/2023,2.4,0.0, ,18.4,-1.8,95,32,2.94,12.97
GINGIN AERO,17/07/2023,2.2,0.0, ,20.5,0.7,94,44,2.65,12.06
GINGIN AERO,18/07/2023,2.6,0.0, ,20.7,5.4,100,47,5.09,6.98
GINGIN AERO,19/07/2023,2.5,19.4, ,15.4,10.7,100,44,7.00,11.75
GINGIN AERO,20/07/2023,1.5,2.2, ,16.1,5.7,99,63,2.85,10.65
GINGIN AERO,21/07/2023,1.8,1.0, ,18.3,7.9,99,58,3.25,9.80
GINGIN AERO,22/07/2023,1.9,1.6, ,18.5,6.2,100,47,2.35,13.43
GINGIN AERO,23/07/2023,2.6,0.0, ,20.4,2.4,98,36,3.21,13.52
GINGIN AERO,24/07/2023,3.8,0.0, ,21.8,5.1,73,24,4.46,13.61
GINGIN AERO,25/07/2023,2.4,0.0, ,16.7,6.3,100,37,4.71,5.12
GINGIN AERO,26/07/2023, ,17.0, , ,9.7,100,80,4.46,10.24
GINGIN AERO,27/07/2023, , , ,17.1, ,99,55,3.54,12.20
GINGIN AERO,28/07/2023,2.3,0.2, ,18.9,10.6,97,48,3.99,10.71
GINGIN AERO,29/07/2023,1.9,4.2, ,19.3,11.2,100,63,3.41,11.02
GINGIN AERO,30/07/2023,1.6,1.2, ,18.4,9.4,100,59,1.99,9.70
GINGIN AERO,31/07/2023,2.0,0.2, ,19.9,3.2,100,45,1.95,14.24
Totals:,,60.9,77.6, ,,,,,, 
