'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GINGIN AERO Western Australia for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GINGIN AERO,01/09/2023,3.3,0.0, ,24.3,10.8,100,52,4.50,14.58
GINGIN AERO,02/09/2023,2.8,1.0, ,20.7,10.9,100,49,4.33,11.99
GINGIN AERO,03/09/2023,3.3,10.4, ,17.0,10.5,98,45,8.00,15.44
GINGIN AERO,04/09/2023,2.0,1.4, ,18.2,8.6,100,73,4.42,13.19
GINGIN AERO,05/09/2023,3.0,6.4, ,20.3,11.2,100,53,4.56,15.07
GINGIN AERO,06/09/2023,3.3,5.4, ,18.1,12.7,96,44,6.01,15.30
GINGIN AERO,07/09/2023, ,0.0, , ,0.8, , , ,19.46
GINGIN AERO,08/09/2023, , , ,25.9, ,82,19,4.41,19.35
GINGIN AERO,09/09/2023,4.1,0.2, ,22.9,12.2,95,24,3.87,16.17
GINGIN AERO,10/09/2023,2.9,0.2, ,22.7,9.0,98,53,2.56,16.24
GINGIN AERO,11/09/2023,4.0,0.0, ,26.6,6.8,98,46,3.10,20.01
GINGIN AERO,12/09/2023,3.7,0.0, ,25.2,9.2,99,43,3.20,17.46
GINGIN AERO,13/09/2023,2.1,0.0, ,19.4,10.9,98,69,6.88,7.27
GINGIN AERO,14/09/2023,3.2,31.8, ,20.6,10.2,89,50,4.20,15.03
GINGIN AERO,15/09/2023,2.9,1.6, ,21.5,13.9,97,58,3.69,13.94
GINGIN AERO,16/09/2023,3.4,0.4, ,22.6,11.5,98,48,3.10,17.86
GINGIN AERO,17/09/2023,3.8,1.0, ,19.8,10.2,95,38,3.87,21.12
GINGIN AERO,18/09/2023,3.1,0.0, ,19.7,3.4,97,43,2.97,16.95
GINGIN AERO,19/09/2023,2.3,0.2, ,18.8,12.1,96,64,3.47,11.33
GINGIN AERO,20/09/2023,3.6,0.2, ,22.3,12.9,96,42,2.75,19.36
GINGIN AERO,21/09/2023,2.9,0.2, ,24.2,7.7,94,47,3.14,9.30
GINGIN AERO,22/09/2023,5.6,0.0, ,31.2,12.5,94,30,3.61,22.00
GINGIN AERO,23/09/2023,2.8,0.0, ,19.3,15.5,90,55,4.32,11.29
GINGIN AERO,24/09/2023,4.2,0.0, ,23.4,5.1,97,37,3.39,21.87
GINGIN AERO,25/09/2023,4.0,0.0, ,22.4,6.9,96,50,4.60,22.46
GINGIN AERO,26/09/2023,4.8,0.0, ,26.7,3.4,98,26,2.89,22.68
GINGIN AERO,27/09/2023,7.6,0.0, ,35.2,10.1,93,18,4.40,22.68
GINGIN AERO,28/09/2023,5.3,0.0, ,32.7,14.2,98,31,2.76,20.84
GINGIN AERO,29/09/2023,3.7,0.0, ,24.0,13.3,99,56,3.80,18.61
GINGIN AERO,30/09/2023,3.7,0.2, ,22.5,7.1,98,47,3.57,19.54
Totals:,,101.4,60.6, ,,,,,, 
