'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOOSEBERRY HILL Western Australia for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOOSEBERRY HILL,01/09/2022,4.2, , ,20.6,8.9,90,42,7.59,18.33
GOOSEBERRY HILL,02/09/2022,4.4, , ,20.0,10.2,73,46,10.02,12.09
GOOSEBERRY HILL,03/09/2022,2.2, , ,12.9,10.0,100,57,11.36,8.00
GOOSEBERRY HILL,04/09/2022,1.8, , ,18.7,10.6,100,74,4.78,9.23
GOOSEBERRY HILL,05/09/2022,2.0, , ,15.5,12.3,100,63,3.02,11.93
GOOSEBERRY HILL,06/09/2022,1.9, , ,15.1,8.2,100,69,3.47,13.58
GOOSEBERRY HILL,07/09/2022,2.2, , ,18.0,7.8,99,63,2.57,14.53
GOOSEBERRY HILL,08/09/2022,2.5, , ,18.2,8.8,96,59,4.25,13.55
GOOSEBERRY HILL,09/09/2022,3.4, , ,21.1,10.1,88,44,3.96,15.86
GOOSEBERRY HILL,10/09/2022,3.4, , ,22.0,11.0,90,41,2.80,17.86
GOOSEBERRY HILL,11/09/2022,4.0, , ,23.8,10.7,77,35,3.02,18.76
GOOSEBERRY HILL,12/09/2022,3.7, , ,23.9,13.7,100,47,3.70,18.11
GOOSEBERRY HILL,13/09/2022,2.2, , ,16.0,10.9,100,66,7.79,11.53
GOOSEBERRY HILL,14/09/2022,2.4, , ,16.2,10.4,100,62,7.19,12.86
GOOSEBERRY HILL,15/09/2022,2.0, , ,16.3,10.1,100,68,3.19,12.17
GOOSEBERRY HILL,16/09/2022,2.8, , ,19.4,9.8,100,59,2.57,18.59
GOOSEBERRY HILL,17/09/2022,2.3, , ,19.2,10.7,100,63,2.48,12.94
GOOSEBERRY HILL,18/09/2022,3.0, , ,20.3,11.8,100,52,2.91,16.78
GOOSEBERRY HILL,19/09/2022,2.2, , ,15.5,9.4,100,66,4.73,13.81
GOOSEBERRY HILL,20/09/2022,2.0, , ,17.2,8.7,100,70,3.33,12.10
GOOSEBERRY HILL,21/09/2022,3.1, , ,19.9,11.1,100,57,4.77,17.66
GOOSEBERRY HILL,22/09/2022,3.5, , ,18.8,8.9,100,37,3.13,21.32
GOOSEBERRY HILL,23/09/2022,3.7, , ,19.8,7.2,85,50,4.45,20.50
GOOSEBERRY HILL,24/09/2022,3.1, , ,17.0,9.8,100,46,4.27,17.96
GOOSEBERRY HILL,25/09/2022,3.1, , ,17.8,8.7,85,49,3.54,16.75
GOOSEBERRY HILL,26/09/2022,4.1, , ,22.4,9.7,90,43,3.75,21.63
GOOSEBERRY HILL,27/09/2022,5.4, , ,25.4,12.2,75,30,4.31,22.75
GOOSEBERRY HILL,28/09/2022,5.7, , ,26.9,12.8,77,26,4.40,21.10
GOOSEBERRY HILL,29/09/2022,7.5, , ,27.4,13.1,72,21,7.59,22.99
GOOSEBERRY HILL,30/09/2022,7.1, , ,27.5,13.1,74,27,7.23,23.12
Totals:,,100.9, , ,,,,,, 
