'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOOSEBERRY HILL Western Australia for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOOSEBERRY HILL,01/10/2022,5.9, , ,26.0,12.3,76,31,5.41,21.98
GOOSEBERRY HILL,02/10/2022,4.9, , ,21.2,10.8,82,45,7.61,22.45
GOOSEBERRY HILL,03/10/2022,4.5, , ,20.4,9.7,78,40,5.94,19.56
GOOSEBERRY HILL,04/10/2022,5.6, , ,25.4,8.0,94,32,5.54,23.19
GOOSEBERRY HILL,05/10/2022,3.3, , ,18.1,11.8,100,55,5.69,18.40
GOOSEBERRY HILL,06/10/2022,3.5, , ,18.3,8.5,84,44,3.53,18.61
GOOSEBERRY HILL,07/10/2022,4.1, , ,20.1,9.0,86,37,3.42,22.13
GOOSEBERRY HILL,08/10/2022,5.3, , ,24.3,8.3,79,28,3.86,24.36
GOOSEBERRY HILL,09/10/2022,3.7, , ,20.4,11.2,88,51,3.83,19.05
GOOSEBERRY HILL,10/10/2022,3.1, , ,16.7,11.8,100,50,5.49,15.63
GOOSEBERRY HILL,11/10/2022,4.5, , ,19.0,9.3,74,38,4.44,23.02
GOOSEBERRY HILL,12/10/2022,4.2, , ,19.0,7.3,87,37,4.40,22.82
GOOSEBERRY HILL,13/10/2022,4.9, , ,20.1,7.5,70,35,4.51,25.38
GOOSEBERRY HILL,14/10/2022,4.8, , ,20.9,9.4,76,34,3.92,25.21
GOOSEBERRY HILL,15/10/2022,5.0, , ,22.1,9.9,93,31,4.21,25.60
GOOSEBERRY HILL,16/10/2022,4.5, , ,20.2,10.4,100,37,4.90,24.17
GOOSEBERRY HILL,17/10/2022,4.1, , ,20.5,9.7,100,46,3.96,23.60
GOOSEBERRY HILL,18/10/2022,5.5, , ,24.8,10.2,89,33,4.28,26.09
GOOSEBERRY HILL,19/10/2022,8.1, , ,32.6,13.3,96,16,5.27,26.33
GOOSEBERRY HILL,20/10/2022,3.1, , ,21.9,13.4,100,54,2.83,15.19
GOOSEBERRY HILL,21/10/2022,3.6, , ,20.4,13.1,100,54,2.74,20.60
GOOSEBERRY HILL,22/10/2022,3.9, , ,23.6,12.0,99,48,3.14,19.50
GOOSEBERRY HILL,23/10/2022,2.5, , ,20.2,13.5,100,61,3.33,11.14
GOOSEBERRY HILL,24/10/2022,3.6, , ,20.6,12.2,100,61,5.56,20.26
GOOSEBERRY HILL,25/10/2022,3.3, , ,19.6,12.1,99,50,4.55,14.67
GOOSEBERRY HILL,26/10/2022,4.4, , ,22.0,11.0,87,48,4.33,22.45
GOOSEBERRY HILL,27/10/2022,5.1, , ,22.7,9.9,82,40,5.09,23.45
GOOSEBERRY HILL,28/10/2022,6.6, , ,25.3,10.4,81,35,8.12,25.71
GOOSEBERRY HILL,29/10/2022,1.9, , ,15.9,11.3,100,66,5.65,7.46
GOOSEBERRY HILL,30/10/2022,4.0, , ,16.7,7.0,100,41,5.04,24.54
GOOSEBERRY HILL,31/10/2022,4.5, , ,20.2,6.9,88,42,3.96,25.37
Totals:,,136, , ,,,,,, 
