'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOOSEBERRY HILL Western Australia for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOOSEBERRY HILL,01/01/2023,7.6, , ,29.7,14.6,69,26,4.02,31.54
GOOSEBERRY HILL,02/01/2023,11.1, , ,33.2,13.9,70,13,8.13,31.60
GOOSEBERRY HILL,03/01/2023,10.9, , ,33.0,15.3,72,17,8.57,31.51
GOOSEBERRY HILL,04/01/2023,11.4, , ,34.6,15.3,74,15,8.24,31.50
GOOSEBERRY HILL,05/01/2023,13.2, , ,38.4,17.5,66,10,8.22,31.44
GOOSEBERRY HILL,06/01/2023,9.7, , ,34.1,24.9,66,18,6.54,24.75
GOOSEBERRY HILL,07/01/2023,7.0, , ,28.8,12.0,73,25,3.26,31.29
GOOSEBERRY HILL,08/01/2023,8.2, , ,31.4,15.6,75,24,4.59,31.32
GOOSEBERRY HILL,09/01/2023,11.6, , ,38.5,16.4,68,17,6.62,31.21
GOOSEBERRY HILL,10/01/2023,11.4, , ,37.6,24.5,82,19,8.25,28.45
GOOSEBERRY HILL,11/01/2023,6.7, , ,28.3,17.6,83,38,4.00,29.64
GOOSEBERRY HILL,12/01/2023,8.5, , ,34.5,16.6,88,27,4.74,30.89
GOOSEBERRY HILL,13/01/2023,7.2, , ,29.5,17.1,88,38,4.86,31.07
GOOSEBERRY HILL,14/01/2023,9.3, , ,30.5,13.0,69,17,6.77,30.88
GOOSEBERRY HILL,15/01/2023,10.2, , ,34.2,13.7,67,22,7.18,30.05
GOOSEBERRY HILL,16/01/2023,7.0, , ,26.5,14.0,87,34,6.30,30.50
GOOSEBERRY HILL,17/01/2023,8.4, , ,29.3,12.3,60,19,5.46,30.64
GOOSEBERRY HILL,18/01/2023,10.1, , ,30.9,13.6,60,20,8.48,29.81
GOOSEBERRY HILL,19/01/2023,10.6, , ,35.0,15.4,61,22,7.42,29.51
GOOSEBERRY HILL,20/01/2023,10.2, , ,37.5,18.6,61,21,5.84,27.04
GOOSEBERRY HILL,21/01/2023,12.9, , ,41.8,23.0,38,11,6.72,24.56
GOOSEBERRY HILL,22/01/2023,9.5, , ,36.6,26.2,90,23,5.65,30.21
GOOSEBERRY HILL,23/01/2023,8.8, , ,38.8,18.4,99,16,3.54,30.07
GOOSEBERRY HILL,24/01/2023,7.8, , ,35.2,17.6,94,26,3.46,29.96
GOOSEBERRY HILL,25/01/2023,8.7, , ,33.8,16.7,77,19,4.61,29.94
GOOSEBERRY HILL,26/01/2023,10.0, , ,34.7,16.4,74,20,6.68,29.81
GOOSEBERRY HILL,27/01/2023,7.1, , ,30.2,15.4,75,38,4.29,29.58
GOOSEBERRY HILL,28/01/2023,9.4, , ,33.7,14.6,66,27,6.62,29.04
GOOSEBERRY HILL,29/01/2023,10.2, , ,37.1,15.9,64,19,6.16,25.75
GOOSEBERRY HILL,30/01/2023,12.5, , ,40.2,21.5,50,16,7.05,29.25
GOOSEBERRY HILL,31/01/2023,10.2, , ,36.4,20.9,64,24,6.37,28.92
Totals:,,297.4, , ,,,,,, 
