'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOOSEBERRY HILL Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOOSEBERRY HILL,01/03/2023,9.8, , ,36.5,16.7,70,20,6.99,21.89
GOOSEBERRY HILL,02/03/2023,9.0, , ,37.6,22.8,56,17,5.87,14.64
GOOSEBERRY HILL,03/03/2023,6.5, , ,32.5,19.5,89,35,4.21,24.00
GOOSEBERRY HILL,04/03/2023,5.5, , ,28.3,15.9,100,38,3.90,24.66
GOOSEBERRY HILL,05/03/2023,6.0, , ,28.5,14.4,79,30,3.98,24.38
GOOSEBERRY HILL,06/03/2023,6.4, , ,28.9,14.1,78,30,4.71,24.29
GOOSEBERRY HILL,07/03/2023,8.2, , ,31.4,13.9,78,24,7.05,24.04
GOOSEBERRY HILL,08/03/2023,8.9, , ,33.0,14.0,62,20,7.73,15.43
GOOSEBERRY HILL,09/03/2023,4.6, , ,27.4,18.3,100,50,3.68,21.40
GOOSEBERRY HILL,10/03/2023,5.4, , ,29.4,16.6,95,34,3.20,23.54
GOOSEBERRY HILL,11/03/2023,7.1, , ,32.9,17.2,86,23,4.66,23.36
GOOSEBERRY HILL,12/03/2023,8.2, , ,34.2,18.9,78,17,5.61,22.32
GOOSEBERRY HILL,13/03/2023,5.3, , ,30.0,16.0,94,37,3.44,21.81
GOOSEBERRY HILL,14/03/2023,5.7, , ,31.5,17.9,86,32,3.27,22.78
GOOSEBERRY HILL,15/03/2023,5.6, , ,33.0,15.6,94,26,2.62,22.63
GOOSEBERRY HILL,16/03/2023,3.9, , ,28.2,17.3,100,49,3.12,15.74
GOOSEBERRY HILL,17/03/2023,5.4, , ,26.8,15.0,83,34,4.22,22.19
GOOSEBERRY HILL,18/03/2023,6.0, , ,27.3,13.8,74,31,5.20,21.62
GOOSEBERRY HILL,19/03/2023,8.2, , ,31.4,14.6,78,22,7.49,21.88
GOOSEBERRY HILL,20/03/2023,11.2, , ,36.7,19.3,45,18,8.34,21.64
GOOSEBERRY HILL,21/03/2023,8.4, , ,34.9,22.6,62,18,5.68,19.97
GOOSEBERRY HILL,22/03/2023,6.5, , ,32.7,19.1,83,34,5.01,21.25
GOOSEBERRY HILL,23/03/2023,5.3, , ,31.3,17.3,98,39,3.80,21.02
GOOSEBERRY HILL,24/03/2023,2.3, , ,23.7,16.7,100,57,2.92,7.68
GOOSEBERRY HILL,25/03/2023,5.0, , ,29.7,16.9,93,47,5.93,15.94
GOOSEBERRY HILL,26/03/2023,4.5, , ,25.7,15.6,100,46,6.39,17.51
GOOSEBERRY HILL,27/03/2023,5.2, , ,26.2,14.4,84,36,5.36,19.32
GOOSEBERRY HILL,28/03/2023,6.2, , ,26.8,13.4,74,26,5.92,20.24
GOOSEBERRY HILL,29/03/2023,7.3, , ,29.0,14.0,74,33,9.20,19.80
GOOSEBERRY HILL,30/03/2023,6.0, , ,28.9,17.2,93,35,8.70,12.88
GOOSEBERRY HILL,31/03/2023,2.4, , ,19.9,14.8,100,74,9.61,13.17
Totals:,,196, , ,,,,,, 
