'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOOSEBERRY HILL Western Australia for May 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 June 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOOSEBERRY HILL,01/05/2023,3.7, , ,22.6,12.1,80,39,4.53,15.14
GOOSEBERRY HILL,02/05/2023,4.1, , ,23.8,11.1,85,41,5.87,15.02
GOOSEBERRY HILL,03/05/2023,5.8, , ,28.1,12.4,65,24,5.78,14.86
GOOSEBERRY HILL,04/05/2023,3.9, , ,25.4,12.5,72,37,4.06,14.73
GOOSEBERRY HILL,05/05/2023,3.3, , ,19.0,12.6,83,57,9.15,13.57
GOOSEBERRY HILL,06/05/2023,2.0, , ,14.8,9.6,100,62,11.53,6.60
GOOSEBERRY HILL,07/05/2023,2.5, , ,17.6,9.8,100,58,11.18,5.19
GOOSEBERRY HILL,08/05/2023,5.3, , ,23.5,12.4,57,36,8.06,12.46
GOOSEBERRY HILL,09/05/2023,5.0, , ,27.6,16.5,100,29,6.93,12.42
GOOSEBERRY HILL,10/05/2023,1.8, , ,17.7,14.6,100,62,5.92,5.75
GOOSEBERRY HILL,11/05/2023,2.3, , ,18.6,10.7,81,46,2.98,10.67
GOOSEBERRY HILL,12/05/2023,3.9, , ,22.9,8.2,75,35,5.14,13.68
GOOSEBERRY HILL,13/05/2023,1.6, , ,18.1,12.8,100,73,3.01,11.38
GOOSEBERRY HILL,14/05/2023,2.2, , ,19.2,11.9,84,50,2.91,11.12
GOOSEBERRY HILL,15/05/2023,2.7, , ,19.9,11.9,70,44,3.09,13.52
GOOSEBERRY HILL,16/05/2023,3.6, , ,21.9,10.6,77,44,5.66,13.14
GOOSEBERRY HILL,17/05/2023,4.9, , ,23.9,12.0,76,34,7.77,13.36
GOOSEBERRY HILL,18/05/2023,6.1, , ,25.6,13.0,57,28,8.13,13.27
GOOSEBERRY HILL,19/05/2023,4.4, , ,24.1,11.7,71,26,5.23,12.82
GOOSEBERRY HILL,20/05/2023,3.5, , ,21.5,10.3,95,39,6.24,13.09
GOOSEBERRY HILL,21/05/2023,4.1, , ,20.6,10.4,65,37,6.73,10.38
GOOSEBERRY HILL,22/05/2023,3.5, , ,20.9,11.7,58,35,4.51,7.13
GOOSEBERRY HILL,23/05/2023,3.2, , ,23.9,14.4,100,30,4.47,6.34
GOOSEBERRY HILL,24/05/2023,2.1, , ,17.2,12.4,100,50,4.22,12.57
GOOSEBERRY HILL,25/05/2023,2.4, , ,17.1,9.2,83,47,4.37,12.49
GOOSEBERRY HILL,26/05/2023,3.0, , ,17.8,7.3,76,41,5.63,12.60
GOOSEBERRY HILL,27/05/2023,3.1, , ,19.4,8.6,66,37,4.31,12.41
GOOSEBERRY HILL,28/05/2023,2.7, , ,19.5,10.3,77,42,3.93,12.19
GOOSEBERRY HILL,29/05/2023,3.6, , ,21.3,12.4,57,29,4.34,7.19
GOOSEBERRY HILL,30/05/2023,2.7, , ,23.4,16.2,100,35,3.41,10.57
GOOSEBERRY HILL,31/05/2023,1.2, , ,20.4,15.7,100,74,2.31,6.25
Totals:,,104.2, , ,,,,,, 
