'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HALLS CREEK AIRPORT Western Australia for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HALLS CREEK AIRPORT,01/10/2022,4.4,16.6, ,27.2,19.3,98,46,5.14,14.49
HALLS CREEK AIRPORT,02/10/2022,4.9,15.6, ,29.8,18.4,94,46,3.24,19.91
HALLS CREEK AIRPORT,03/10/2022,6.5,1.2, ,33.8,19.4,92,31,3.75,23.01
HALLS CREEK AIRPORT,04/10/2022,5.6,2.0, ,31.6,20.7,97,40,2.76,23.68
HALLS CREEK AIRPORT,05/10/2022,6.3,0.0, ,35.2,21.5,88,31,2.20,26.56
HALLS CREEK AIRPORT,06/10/2022,6.5,0.0, ,36.0,23.2,75,29,2.36,25.08
HALLS CREEK AIRPORT,07/10/2022,7.5,0.0, ,36.9,24.3,74,27,3.09,26.86
HALLS CREEK AIRPORT,08/10/2022,9.3,0.0, ,36.4,24.7,58,18,4.95,27.12
HALLS CREEK AIRPORT,09/10/2022,8.7,0.0, ,36.0,22.3,41,19,4.13,27.20
HALLS CREEK AIRPORT,10/10/2022,8.0,0.0, ,36.7,22.7,51,18,3.27,27.29
HALLS CREEK AIRPORT,11/10/2022,7.9,0.0, ,37.7,23.9,52,19,2.93,27.33
HALLS CREEK AIRPORT,12/10/2022,9.2,0.0, ,37.4,22.8,50,18,4.37,27.42
HALLS CREEK AIRPORT,13/10/2022,8.8,0.0, ,33.8,20.7,47,21,4.83,27.50
HALLS CREEK AIRPORT,14/10/2022,8.1,0.0, ,36.7,21.6,36,20,3.39,25.98
HALLS CREEK AIRPORT,15/10/2022,7.6,0.0, ,39.3,23.0,48,20,2.73,25.18
HALLS CREEK AIRPORT,16/10/2022,7.5,0.0, ,38.9,24.9,71,20,2.97,24.05
HALLS CREEK AIRPORT,17/10/2022,8.0,2.4, ,39.0,24.7,83,17,3.15,27.13
HALLS CREEK AIRPORT,18/10/2022,8.7,0.0, ,37.6,23.8,72,13,3.88,27.89
HALLS CREEK AIRPORT,19/10/2022,8.9,0.0, ,37.0,21.7,26,11,3.69,27.26
HALLS CREEK AIRPORT,20/10/2022,8.0,0.0, ,37.6,24.9,35,12,3.10,24.24
HALLS CREEK AIRPORT,21/10/2022, ,0.0, , ,20.7,37,9,2.49,27.57
HALLS CREEK AIRPORT,22/10/2022,8.2, , ,39.8,25.6,35,12,2.87,25.74
HALLS CREEK AIRPORT,23/10/2022,10.6,0.0, ,39.6,26.6,43,16,5.01,28.24
HALLS CREEK AIRPORT,24/10/2022,10.6,0.0, ,40.1,26.3,45,14,4.94,28.32
HALLS CREEK AIRPORT,25/10/2022,10.1,0.0, ,38.7,27.1,55,17,4.91,28.19
HALLS CREEK AIRPORT,26/10/2022,9.1,0.0, ,39.3,23.7,47,15,3.61,28.34
HALLS CREEK AIRPORT,27/10/2022,8.7,0.0, ,40.1,25.9,34,13,2.99,28.16
HALLS CREEK AIRPORT,28/10/2022,8.6,0.0, ,40.2,27.7,81,19,3.43,27.70
HALLS CREEK AIRPORT,29/10/2022,9.6,6.0, ,39.4,23.4,73,17,4.78,27.25
HALLS CREEK AIRPORT,30/10/2022,9.1,0.0, ,37.6,26.3,58,27,4.64,27.33
HALLS CREEK AIRPORT,31/10/2022,10.5,0.0, ,36.7,25.6,45,14,5.49,28.54
Totals:,,245.5,43.8, ,,,,,, 
