'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HALLS CREEK AIRPORT Western Australia for May 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 June 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HALLS CREEK AIRPORT,01/05/2023,5.4,0.0, ,30.7,16.8,66,32,3.48,19.54
HALLS CREEK AIRPORT,02/05/2023,6.2,0.0, ,31.6,19.1,49,24,3.72,20.21
HALLS CREEK AIRPORT,03/05/2023,6.4,0.0, ,30.3,15.1,54,18,4.18,20.41
HALLS CREEK AIRPORT,04/05/2023,5.8,0.0, ,30.5,14.0,59,17,3.51,20.30
HALLS CREEK AIRPORT,05/05/2023,5.6,0.0, ,31.6,13.6,63,20,3.15,20.19
HALLS CREEK AIRPORT,06/05/2023,5.8,0.0, ,32.3,15.5,61,24,3.51,19.76
HALLS CREEK AIRPORT,07/05/2023,7.1,0.0, ,30.4,19.2,49,23,5.36,19.94
HALLS CREEK AIRPORT,08/05/2023,7.1,0.0, ,28.2,17.6,41,24,5.99,19.87
HALLS CREEK AIRPORT,09/05/2023,7.2,0.0, ,26.3,15.0,37,17,6.29,19.78
HALLS CREEK AIRPORT,10/05/2023,6.4,0.0, ,26.8,13.9,39,13,4.70,19.65
HALLS CREEK AIRPORT,11/05/2023,5.8,0.0, ,28.9,9.2,55,9,3.64,19.57
HALLS CREEK AIRPORT,12/05/2023,6.0,0.0, ,28.8,9.5,54,10,3.85,19.44
HALLS CREEK AIRPORT,13/05/2023,5.9,0.0, ,28.8,11.3,50,15,3.96,19.35
HALLS CREEK AIRPORT,14/05/2023,4.2,0.0, ,29.8,10.1,66,17,1.90,19.25
HALLS CREEK AIRPORT,15/05/2023,4.4,0.0, ,31.0,11.7,64,18,2.08,19.14
HALLS CREEK AIRPORT,16/05/2023, ,0.0, , ,13.1,56,24,3.32,19.08
HALLS CREEK AIRPORT,17/05/2023, , , ,28.5, ,67,22,3.19,18.96
HALLS CREEK AIRPORT,18/05/2023,4.8,0.0, ,27.0,10.0,65,17,3.20,18.95
HALLS CREEK AIRPORT,19/05/2023,4.8,0.0, ,26.8,8.9,64,18,3.29,18.89
HALLS CREEK AIRPORT,20/05/2023,5.1,0.0, ,25.0,8.4,65,19,4.26,18.79
HALLS CREEK AIRPORT,21/05/2023,6.2,0.0, ,23.7,11.0,43,19,6.17,18.70
HALLS CREEK AIRPORT,22/05/2023,5.6,0.0, ,24.9,8.5,56,16,4.80,18.63
HALLS CREEK AIRPORT,23/05/2023,5.4,0.0, ,27.4,9.0,52,18,3.95,18.57
HALLS CREEK AIRPORT,24/05/2023,3.9,0.0, ,28.5,8.9,64,17,1.86,18.54
HALLS CREEK AIRPORT,25/05/2023,4.4,0.0, ,28.7,8.5,68,13,2.35,18.51
HALLS CREEK AIRPORT,26/05/2023,5.1,0.0, ,30.0,9.9,64,23,3.30,18.36
HALLS CREEK AIRPORT,27/05/2023,5.6,0.0, ,26.1,14.0,53,19,4.56,18.32
HALLS CREEK AIRPORT,28/05/2023,5.2,0.0, ,24.6,8.6,56,17,4.34,18.21
HALLS CREEK AIRPORT,29/05/2023,6.2,0.0, ,26.1,9.7,49,13,5.32,18.18
HALLS CREEK AIRPORT,30/05/2023,5.2,0.0, ,26.5,8.9,53,15,3.86,18.16
HALLS CREEK AIRPORT,31/05/2023,4.0,0.0, ,27.9,6.4,66,14,2.08,18.14
Totals:,,160.8,0, ,,,,,, 
