'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HALLS CREEK AIRPORT Western Australia for August 2023,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 September 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HALLS CREEK AIRPORT,01/08/2023,5.7,0.0, ,30.9,15.6,71,23,3.77,19.75
HALLS CREEK AIRPORT,02/08/2023,5.7,0.0, ,29.7,15.1,63,21,3.79,19.88
HALLS CREEK AIRPORT,03/08/2023,4.1,0.0, ,29.9,11.7,75,24,1.81,19.97
HALLS CREEK AIRPORT,04/08/2023,4.6,0.0, ,30.9,12.6,77,25,2.34,20.01
HALLS CREEK AIRPORT,05/08/2023,6.0,0.0, ,30.0,15.3,71,21,4.35,20.12
HALLS CREEK AIRPORT,06/08/2023,6.6,0.0, ,29.2,16.0,56,24,5.34,20.19
HALLS CREEK AIRPORT,07/08/2023,6.4,0.0, ,28.3,13.0,59,22,5.29,20.29
HALLS CREEK AIRPORT,08/08/2023,5.7,0.0, ,29.1,12.5,58,18,3.66,20.37
HALLS CREEK AIRPORT,09/08/2023,5.0,0.0, ,29.7,10.1,67,18,2.62,20.47
HALLS CREEK AIRPORT,10/08/2023,5.0,0.0, ,30.0,11.8,69,19,2.65,20.55
HALLS CREEK AIRPORT,11/08/2023,4.3,0.0, ,29.6,11.8,69,21,1.81,20.67
HALLS CREEK AIRPORT,12/08/2023,4.2,0.0, ,30.4,11.5,73,22,1.65,20.71
HALLS CREEK AIRPORT,13/08/2023,4.2,0.0, ,30.8,13.4,71,23,1.51,20.79
HALLS CREEK AIRPORT,14/08/2023,4.6,0.0, ,32.1,16.5,64,21,1.79,20.90
HALLS CREEK AIRPORT,15/08/2023,4.6,0.0, ,33.0,14.0,70,20,1.65,21.01
HALLS CREEK AIRPORT,16/08/2023,4.8,0.0, ,33.2,14.9,67,23,1.89,21.10
HALLS CREEK AIRPORT,17/08/2023,4.9,0.0, ,32.1,15.9,65,22,2.08,21.20
HALLS CREEK AIRPORT,18/08/2023,8.0,0.0, ,32.1,19.4,36,22,5.63,21.21
HALLS CREEK AIRPORT,19/08/2023,7.3,0.0, ,29.7,17.1,51,21,5.58,21.35
HALLS CREEK AIRPORT,20/08/2023,5.9,0.0, ,29.3,14.1,51,19,3.50,21.46
HALLS CREEK AIRPORT,21/08/2023,5.4,0.0, ,29.5,10.8,52,11,2.62,21.53
HALLS CREEK AIRPORT,22/08/2023,6.2,0.0, ,30.9,9.8,55,11,3.39,21.65
HALLS CREEK AIRPORT,23/08/2023,6.3,0.0, ,31.4,11.1,52,10,3.32,21.74
HALLS CREEK AIRPORT,24/08/2023,6.0,0.0, ,30.7,12.3,48,13,3.06,21.83
HALLS CREEK AIRPORT,25/08/2023,7.5,0.0, ,31.2,12.3,47,13,4.82,21.95
HALLS CREEK AIRPORT,26/08/2023,7.9,0.0, ,30.7,13.6,42,9,5.16,22.05
HALLS CREEK AIRPORT,27/08/2023,8.2,0.0, ,31.7,15.0,35,11,5.21,22.14
HALLS CREEK AIRPORT,28/08/2023,6.0,0.0, ,32.2,11.6,50,13,2.83,22.27
HALLS CREEK AIRPORT,29/08/2023,5.9,0.0, ,32.7,11.4,54,11,2.60,22.41
HALLS CREEK AIRPORT,30/08/2023,5.9,0.0, ,33.7,10.6,55,8,2.43,22.51
HALLS CREEK AIRPORT,31/08/2023,5.7,0.0, ,33.7,12.1,47,8,2.20,22.62
Totals:,,178.6,0, ,,,,,, 
