'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HALLS CREEK AIRPORT Western Australia for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HALLS CREEK AIRPORT,01/09/2023,6.0,0.0, ,32.8,14.5,36,11,2.53,22.77
HALLS CREEK AIRPORT,02/09/2023,5.8,0.0, ,32.7,13.2,49,11,2.34,22.79
HALLS CREEK AIRPORT,03/09/2023,5.7,0.0, ,33.3,14.4,46,13,2.21,22.93
HALLS CREEK AIRPORT,04/09/2023,6.0,0.0, ,32.8,13.8,54,14,2.56,23.03
HALLS CREEK AIRPORT,05/09/2023,6.3,0.0, ,33.6,14.5,45,10,2.66,23.21
HALLS CREEK AIRPORT,06/09/2023,5.3,0.0, ,34.7,14.8,46,12,1.63,23.27
HALLS CREEK AIRPORT,07/09/2023,7.1,0.0, ,35.3,16.1,44,11,3.19,23.33
HALLS CREEK AIRPORT,08/09/2023,8.6,0.0, ,35.3,20.6,30,16,4.67,22.89
HALLS CREEK AIRPORT,09/09/2023,8.0,0.0, ,33.6,20.0,38,17,4.46,23.55
HALLS CREEK AIRPORT,10/09/2023,7.8,0.0, ,33.7,18.9,34,12,3.95,23.75
HALLS CREEK AIRPORT,11/09/2023,8.4,0.0, ,34.2,17.5,37,11,4.52,23.88
HALLS CREEK AIRPORT,12/09/2023,8.1,0.0, ,32.3,16.0,37,9,4.48,23.73
HALLS CREEK AIRPORT,13/09/2023,7.5,0.0, ,32.6,14.9,37,11,3.89,23.87
HALLS CREEK AIRPORT,14/09/2023,6.5,0.0, ,33.7,17.4,39,12,2.61,24.00
HALLS CREEK AIRPORT,15/09/2023,7.1,0.0, ,33.9,14.3,51,10,3.29,24.10
HALLS CREEK AIRPORT,16/09/2023,8.4,0.0, ,34.0,18.7,39,9,4.44,24.17
HALLS CREEK AIRPORT,17/09/2023,6.3,0.0, ,33.9,15.0,44,11,2.40,24.30
HALLS CREEK AIRPORT,18/09/2023,6.4,0.0, ,34.7,15.0,51,11,2.45,24.38
HALLS CREEK AIRPORT,19/09/2023,6.1,0.0, ,35.4,16.7,46,12,2.09,23.74
HALLS CREEK AIRPORT,20/09/2023,6.1,0.0, ,36.0,20.1,42,13,1.93,24.57
HALLS CREEK AIRPORT,21/09/2023,6.3,0.0, ,37.2,17.2,47,11,2.04,24.23
HALLS CREEK AIRPORT,22/09/2023,9.3,0.0, ,37.5,22.3,38,9,4.51,24.64
HALLS CREEK AIRPORT,23/09/2023,7.2,0.0, ,36.5,16.8,40,8,2.75,24.98
HALLS CREEK AIRPORT,24/09/2023,7.6,0.0, ,37.0,15.5,41,7,2.98,25.03
HALLS CREEK AIRPORT,25/09/2023,7.5,0.0, ,37.7,15.5,38,6,2.79,25.16
HALLS CREEK AIRPORT,26/09/2023,8.5,0.0, ,38.5,16.6,36,7,3.49,25.27
HALLS CREEK AIRPORT,27/09/2023,8.4,0.0, ,38.4,17.1,34,10,3.50,25.00
HALLS CREEK AIRPORT,28/09/2023,8.0,0.0, ,36.9,20.4,36,13,3.58,22.50
HALLS CREEK AIRPORT,29/09/2023,7.8,0.0, ,36.5,17.8,44,11,3.51,22.81
HALLS CREEK AIRPORT,30/09/2023,6.7,0.0, ,37.1,19.3,36,9,2.17,25.46
Totals:,,214.8,0, ,,,,,, 
