'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HALLS CREEK AIRPORT Western Australia for October 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HALLS CREEK AIRPORT,01/10/2023,6.8,0.0, ,39.4,21.0,38,9,1.99,25.85
HALLS CREEK AIRPORT,02/10/2023,8.1,0.0, ,37.9,24.2,52,17,3.39,25.67
HALLS CREEK AIRPORT,03/10/2023,9.1,0.0, ,38.3,24.5,45,13,4.19,24.91
HALLS CREEK AIRPORT,04/10/2023,10.7,0.0, ,36.6,25.3,17,7,5.37,26.16
HALLS CREEK AIRPORT,05/10/2023,9.9,0.0, ,36.0,20.9,32,9,5.07,26.61
HALLS CREEK AIRPORT,06/10/2023,9.3,0.0, ,35.3,21.7,34,15,4.81,26.43
HALLS CREEK AIRPORT,07/10/2023,9.0,0.0, ,32.5,22.6,24,9,4.57,26.25
HALLS CREEK AIRPORT,08/10/2023,8.3,0.0, ,34.0,18.9,25,8,3.68,27.02
HALLS CREEK AIRPORT,09/10/2023,7.5,0.0, ,35.0,14.8,35,8,2.89,26.93
HALLS CREEK AIRPORT,10/10/2023,7.7,0.0, ,35.9,15.6,32,8,2.91,27.06
HALLS CREEK AIRPORT,11/10/2023,6.9,0.0, ,36.9,15.5,34,7,2.12,27.02
HALLS CREEK AIRPORT,12/10/2023,8.1,0.0, ,38.6,18.7,29,7,2.83,27.25
HALLS CREEK AIRPORT,13/10/2023,9.6,0.0, ,39.4,20.7,28,9,3.98,27.15
HALLS CREEK AIRPORT,14/10/2023,9.3,0.0, ,38.2,20.1,34,7,3.91,27.25
HALLS CREEK AIRPORT,15/10/2023,8.6,0.0, ,38.2,17.3,31,6,3.28,27.30
HALLS CREEK AIRPORT,16/10/2023,9.2,0.0, ,37.6,17.1,26,5,3.80,27.40
HALLS CREEK AIRPORT,17/10/2023,9.0,0.0, ,36.8,15.8,27,7,3.77,27.61
HALLS CREEK AIRPORT,18/10/2023,7.5,0.0, ,37.4,15.9,32,6,2.41,27.75
HALLS CREEK AIRPORT,19/10/2023,7.8,0.0, ,38.5,16.0,29,3,2.56,27.81
HALLS CREEK AIRPORT,20/10/2023,6.9,0.0, ,39.3,15.6,27,3,1.87,27.93
HALLS CREEK AIRPORT,21/10/2023,6.8,0.0, ,39.5,15.8,28,5,1.74,27.94
HALLS CREEK AIRPORT,22/10/2023,7.6,0.0, ,39.9,19.8,34,8,2.26,27.52
HALLS CREEK AIRPORT,23/10/2023,8.6,0.0, ,40.1,25.4,40,8,2.91,28.04
HALLS CREEK AIRPORT,24/10/2023,8.3,0.0, ,39.5,24.4,51,14,2.90,28.12
HALLS CREEK AIRPORT,25/10/2023,10.6,0.0, ,41.0,24.1,43,13,4.94,26.23
HALLS CREEK AIRPORT,26/10/2023, ,0.0, , ,25.8,31,13,5.62,27.48
HALLS CREEK AIRPORT,27/10/2023, , , ,34.5, ,22,8,5.23,28.29
HALLS CREEK AIRPORT,28/10/2023,8.8,0.0, ,37.8,16.9,30,4,3.31,28.37
HALLS CREEK AIRPORT,29/10/2023,6.8,0.0, ,38.1,14.7,26,4,1.79,28.32
HALLS CREEK AIRPORT,30/10/2023,6.7,0.0, ,38.7,16.0,41,10,1.63,28.41
HALLS CREEK AIRPORT,31/10/2023,8.0,0.0, ,38.0,23.4,51,24,2.86,28.44
Totals:,,241.5,0, ,,,,,, 
