'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for JACUP Western Australia for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
JACUP,01/10/2022,3.4,0.2, ,19.2,3.9,96,46,4.40,18.20
JACUP,02/10/2022,2.6,1.8, ,14.6,8.3,93,60,5.48,15.04
JACUP,03/10/2022,2.9,0.0, ,16.1,4.5,92,52,4.13,16.69
JACUP,04/10/2022,4.3,0.2, ,22.2,1.7,92,24,2.63,23.33
JACUP,05/10/2022,4.2,0.0, ,20.6,6.8,89,33,4.99,16.79
JACUP,06/10/2022,3.4,1.6, ,17.3,2.6,93,43,4.40,19.18
JACUP,07/10/2022,3.6,1.8, ,18.5,3.1,94,33,2.97,20.92
JACUP,08/10/2022,5.5,0.0, ,24.2,3.6,92,18,4.29,23.52
JACUP,09/10/2022, ,0.2, , ,6.0,95,30,3.40,20.82
JACUP,10/10/2022,4.0, , ,17.5,6.5,91,35,4.87,20.89
JACUP,11/10/2022,3.4,2.8, ,17.6,4.4,94,42,4.50,17.88
JACUP,12/10/2022,3.2,1.6, ,16.0,3.5,93,41,4.48,16.61
JACUP,13/10/2022,4.0,0.4, ,19.2,7.2,88,31,3.16,21.57
JACUP,14/10/2022,4.5,0.0, ,21.8,5.1,90,26,3.27,22.47
JACUP,15/10/2022,3.9,0.0, ,21.2,3.7,93,36,2.93,20.82
JACUP,16/10/2022,4.5,0.0, ,21.8,6.9,92,45,4.44,24.89
JACUP,17/10/2022,4.3,0.2, ,20.0,5.1,92,36,4.49,21.78
JACUP,18/10/2022,4.5,0.0, ,23.3,3.4,93,32,2.94,23.58
JACUP,19/10/2022,7.1,0.0, ,30.4,7.5,90,16,4.25,25.83
JACUP,20/10/2022,5.5,0.0, ,25.9,8.7,94,31,4.33,23.42
JACUP,21/10/2022,3.7,0.0, ,22.6,10.9,89,34,3.30,12.97
JACUP,22/10/2022,4.0,0.0, ,19.7,9.2,90,47,4.92,20.74
JACUP,23/10/2022,4.7,1.2, ,24.0,9.9,93,33,5.30,15.59
JACUP,24/10/2022,1.9,18.0, ,17.1,11.4,95,83,4.92,11.52
JACUP,25/10/2022,4.2,22.8, ,20.1,12.0,97,44,4.80,21.98
JACUP,26/10/2022,3.6,0.4, ,20.3,7.7,95,47,3.98,17.68
JACUP,27/10/2022,3.0,0.0, ,18.5,3.0,94,45,2.59,16.28
JACUP,28/10/2022,3.5,0.0, ,17.4,4.0,93,50,4.52,20.99
JACUP,29/10/2022,1.6,0.0, ,14.1,9.5,96,68,5.07,4.25
JACUP,30/10/2022,2.7,40.2, ,13.8,6.1,96,57,5.87,16.33
JACUP,31/10/2022,3.2,5.4, ,17.0,5.6,94,48,5.28,15.05
Totals:,,114.9,98.8, ,,,,,, 
