'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for JACUP Western Australia for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
JACUP,01/11/2022,2.9,0.8, ,18.2,9.0,95,61,4.11,15.55
JACUP,02/11/2022,3.1,4.2, ,18.3,10.6,96,70,3.73,20.06
JACUP,03/11/2022,5.8,0.2, ,26.3,10.0,92,32,4.73,23.60
JACUP,04/11/2022,6.9,0.0, ,27.2,14.3,86,29,5.51,28.13
JACUP,05/11/2022,4.3,0.0, ,19.4,8.6,91,44,4.33,23.70
JACUP,06/11/2022,4.0,0.0, ,19.8,8.4,85,48,5.64,17.24
JACUP,07/11/2022,2.6,0.0, ,18.7,12.0,97,68,5.25,12.54
JACUP,08/11/2022,2.1,5.2, ,16.7,12.0,97,74,4.68,10.62
JACUP,09/11/2022,3.6,0.6, ,22.3,8.9,95,44,2.41,17.16
JACUP,10/11/2022,4.7,0.0, ,24.9,9.6,95,32,3.03,21.00
JACUP,11/11/2022,2.8,10.4, ,14.6,10.1,95,64,5.18,18.02
JACUP,12/11/2022,1.8,4.4, ,14.0,6.1,95,84,5.72,12.99
JACUP,13/11/2022,2.8,13.6, ,15.2,8.9,96,52,3.78,14.63
JACUP,14/11/2022,3.0,0.2, ,16.9,8.6,91,53,2.99,16.14
JACUP,15/11/2022,5.4,0.0, ,23.2,7.0,95,36,4.58,27.09
JACUP,16/11/2022,8.1,0.0, ,29.7,9.8,92,16,5.43,29.78
JACUP,17/11/2022,5.6,2.8, ,22.9,13.1,87,36,6.19,23.73
JACUP,18/11/2022,3.0,1.8, ,16.3,6.8,92,55,5.10,14.88
JACUP,19/11/2022,3.9,7.6, ,18.4,3.9,92,50,4.50,23.65
JACUP,20/11/2022,3.5,2.0, ,17.9,6.2,93,51,3.61,19.95
JACUP,21/11/2022,5.1,0.0, ,20.5,5.9,90,38,4.24,30.29
JACUP,22/11/2022,6.4,0.0, ,25.6,7.5,87,34,5.21,30.49
JACUP,23/11/2022,7.3,0.0, ,32.3,12.7,87,13,3.86,23.15
JACUP,24/11/2022,6.8,0.0, ,29.4,12.2,87,30,3.94,28.89
JACUP,25/11/2022,4.9,0.0, ,24.5,11.3,90,33,2.53,24.01
JACUP,26/11/2022,3.8,0.2, ,21.4,10.5,94,47,3.74,17.25
JACUP,27/11/2022,3.4,0.2, ,18.8,9.0,93,50,3.91,16.50
JACUP,28/11/2022,4.7,0.0, ,22.0,10.5,87,44,4.22,23.41
JACUP,29/11/2022,8.0,0.0, ,29.7,8.6,90,20,5.17,30.99
JACUP,30/11/2022,6.4,0.0, ,29.1,12.9,94,26,7.47,11.15
Totals:,,136.7,54.2, ,,,,,, 
