'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for JACUP Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
JACUP,01/03/2023,6.3,0.0, ,27.1,13.8,88,32,5.80,24.77
JACUP,02/03/2023,5.7,0.0, ,30.4,13.1,92,30,4.94,15.58
JACUP,03/03/2023,7.8,0.0, ,34.7,16.3,88,22,4.99,24.17
JACUP,04/03/2023,5.5,0.0, ,27.8,14.2,87,36,5.08,19.70
JACUP,05/03/2023,4.7,0.0, ,24.9,10.1,93,33,3.67,20.97
JACUP,06/03/2023,2.8,0.2, ,20.0,9.6,94,57,3.98,12.59
JACUP,07/03/2023,4.3,0.4, ,22.5,6.1,92,37,3.62,22.35
JACUP,08/03/2023,6.1,0.0, ,27.2,6.5,88,24,5.22,21.76
JACUP,09/03/2023,6.2,2.8, ,30.7,13.8,95,29,4.71,22.06
JACUP,10/03/2023,3.9,0.0, ,25.2,15.0,98,48,3.61,16.97
JACUP,11/03/2023,4.6,0.0, ,26.2,9.3,96,35,2.92,22.62
JACUP,12/03/2023,6.9,0.0, ,34.2,11.9,94,18,4.13,20.83
JACUP,13/03/2023,5.5,0.0, ,30.2,15.0,96,30,3.71,21.04
JACUP,14/03/2023,5.2,0.0, ,31.2,16.3,97,26,2.70,21.55
JACUP,15/03/2023,6.9,0.0, ,35.2,12.5,97,13,3.57,22.16
JACUP,16/03/2023,8.4,0.0, ,34.9,13.3,89,11,5.41,21.94
JACUP,17/03/2023,3.0,0.0, ,20.9,12.1,92,56,5.06,11.98
JACUP,18/03/2023,3.9,0.0, ,23.9,9.2,93,37,3.09,17.74
JACUP,19/03/2023,4.6,0.0, ,25.0,8.1,96,37,4.42,20.56
JACUP,20/03/2023,6.1,0.0, ,29.4,11.9,96,30,5.71,21.18
JACUP,21/03/2023,5.0,0.0, ,27.0,14.3,97,45,6.18,20.24
JACUP,22/03/2023,4.5,0.0, ,25.6,14.8,92,51,5.50,19.66
JACUP,23/03/2023,4.0,0.8, ,25.5,16.5,97,51,5.13,16.11
JACUP,24/03/2023,2.4,0.0, ,22.0,17.0,99,65,5.54,7.62
JACUP,25/03/2023,1.6,5.2, ,20.0,16.7,98,84,4.95,7.81
JACUP,26/03/2023,1.3,15.6, ,16.5,14.9,98,86,4.83,6.29
JACUP,27/03/2023,3.1,3.6, ,20.7,10.5,96,48,3.33,15.77
JACUP,28/03/2023,2.8,0.0, ,21.0,8.3,96,48,2.91,13.58
JACUP,29/03/2023,3.5,0.0, ,21.9,6.5,97,44,3.59,18.61
JACUP,30/03/2023,4.3,0.0, ,24.5,12.4,95,43,5.66,17.73
JACUP,31/03/2023,3.6,0.0, ,21.8,11.9,94,44,5.49,12.78
Totals:,,144.5,28.6, ,,,,,, 
