'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for JACUP Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
JACUP,01/04/2023,2.1,5.4, ,18.5,14.0,95,69,4.16,9.58
JACUP,02/04/2023,2.4,0.8, ,21.8,12.1,94,60,2.66,11.41
JACUP,03/04/2023,2.6,0.0, ,23.2,12.8,97,57,2.68,12.36
JACUP,04/04/2023,3.1,0.2, ,21.4,10.5,97,46,3.34,15.85
JACUP,05/04/2023,3.0,0.0, ,21.5,8.8,96,53,4.81,12.27
JACUP,06/04/2023,2.8,2.6, ,20.8,10.7,97,49,3.39,13.76
JACUP,07/04/2023,2.9,0.0, ,20.3,8.3,96,49,4.12,12.96
JACUP,08/04/2023,1.5,13.8, ,15.2,11.8,97,74,4.21,6.39
JACUP,09/04/2023,2.2,4.6, ,20.3,12.4,96,62,3.03,10.59
JACUP,10/04/2023,4.3,0.2, ,25.1,12.1,97,38,5.26,17.02
JACUP,11/04/2023,3.4,7.6, ,22.9,11.3,94,49,4.43,15.28
JACUP,12/04/2023,2.7,0.0, ,22.4,13.0,95,50,3.80,9.80
JACUP,13/04/2023,4.2,0.0, ,24.1,12.8,94,39,6.15,14.43
JACUP,14/04/2023,2.8,8.0, ,15.2,6.7,89,51,6.40,14.48
JACUP,15/04/2023,2.8,1.8, ,19.4,6.8,92,51,4.63,12.52
JACUP,16/04/2023,3.2,0.2, ,22.1,11.7,95,45,4.14,14.48
JACUP,17/04/2023,3.8,0.0, ,24.0,10.9,91,44,5.25,14.94
JACUP,18/04/2023,2.4,0.0, ,18.3,7.3,94,45,3.18,11.90
JACUP,19/04/2023, ,0.0, , ,4.3,95,39,2.45,15.70
JACUP,20/04/2023, , , ,22.2, ,92,34,3.75,15.90
JACUP,21/04/2023,4.3,0.0, ,25.8,7.8,76,24,3.66,15.68
JACUP,22/04/2023,3.8,0.0, ,26.8,6.0,82,20,2.52,15.54
JACUP,23/04/2023,6.1,0.0, ,29.6,9.5,68,15,5.07,14.45
JACUP,24/04/2023,3.8,0.0, ,20.5,12.6,90,33,6.11,12.46
JACUP,25/04/2023,3.2,0.2, ,18.7,4.8,90,44,6.49,13.48
JACUP,26/04/2023,2.8,0.8, ,19.6,10.4,94,52,6.34,9.14
JACUP,27/04/2023, ,2.2, , ,9.6,94,58,4.65,8.85
JACUP,28/04/2023, , , ,15.1, ,96,50,3.09,9.81
JACUP,29/04/2023,2.5,0.0, ,20.1,5.6,94,42,2.91,14.08
JACUP,30/04/2023, ,0.0, , ,6.1,95,36,2.83,14.30
Totals:,,78.7,48.4, ,,,,,, 
