'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for JACUP Western Australia for May 2023,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 June 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
JACUP,01/05/2023,1.9, , ,18.9,5.6,97,55,2.54,9.85
JACUP,02/05/2023,2.5,0.2, ,20.6,3.8,96,33,2.31,14.16
JACUP,03/05/2023,3.3,0.2, ,25.1,7.8,98,26,2.97,13.71
JACUP,04/05/2023,1.9,0.2, ,19.8,9.2,98,59,2.96,10.07
JACUP,05/05/2023,2.4,0.2, ,17.8,8.2,95,47,4.24,12.04
JACUP,06/05/2023,2.7,0.2, ,17.3,6.9,93,43,5.46,11.28
JACUP,07/05/2023, ,0.0, , ,10.6,85,54,5.43,6.74
JACUP,08/05/2023, , , ,21.3, ,79,31,5.59,13.44
JACUP,09/05/2023,6.0,0.0, ,25.8,11.6,49,19,6.60,11.60
JACUP,10/05/2023,3.8,0.0, ,22.3,13.6,89,39,6.96,9.25
JACUP,11/05/2023,2.4,1.0, ,18.0,5.1,93,41,3.60,11.86
JACUP,12/05/2023,3.2,0.2, ,20.5,4.7,96,31,4.53,11.49
JACUP,13/05/2023,2.0,0.2, ,18.0,10.8,96,57,3.87,10.65
JACUP,14/05/2023,1.4,2.0, ,15.8,5.7,98,55,2.01,6.86
JACUP,15/05/2023,1.5,0.0, ,18.5,8.7,98,53,1.64,9.45
JACUP,16/05/2023,1.9,0.2, ,20.2,10.1,99,41,2.17,10.20
JACUP,17/05/2023,2.7,0.4, ,23.2,8.0,99,39,3.32,11.29
JACUP,18/05/2023,2.3,0.0, ,21.9,7.7,99,40,2.67,12.05
JACUP,19/05/2023,2.1,0.2, ,20.5,5.1,98,49,2.86,11.84
JACUP,20/05/2023,1.7,0.0, ,18.4,3.7,98,46,1.91,11.69
JACUP,21/05/2023,2.0,0.0, ,19.2,4.9,98,50,3.09,11.04
JACUP,22/05/2023,2.8,0.0, ,21.8,7.1,90,35,3.76,7.95
JACUP,23/05/2023,4.3,0.0, ,23.8,7.7,71,27,5.55,9.72
JACUP,24/05/2023,2.5,0.6, ,18.5,11.4,93,43,4.81,10.06
JACUP,25/05/2023,1.6,0.4, ,14.0,6.8,95,51,3.15,7.87
JACUP,26/05/2023,1.2,0.0, ,14.0,9.9,90,54,1.45,6.57
JACUP,27/05/2023,2.0,0.0, ,18.1,1.8,94,46,3.26,11.26
JACUP,28/05/2023,2.1,0.0, ,18.8,5.9,89,47,3.26,11.61
JACUP,29/05/2023,3.1,0.0, ,21.7,4.7,94,24,3.95,6.03
JACUP,30/05/2023,3.6,0.0, ,23.9,13.1,77,30,4.68,8.57
JACUP,31/05/2023,1.2,0.0, ,17.8,9.0,99,72,3.16,5.44
Totals:,,72.1,6.2, ,,,,,, 
