'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KALGOORLIE-BOULDER AIRPORT Western Australia for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KALGOORLIE-BOULDER AIRPORT,01/09/2022,4.2,0.0, ,19.9,5.8,80,28,4.80,18.85
KALGOORLIE-BOULDER AIRPORT,02/09/2022,3.7,0.0, ,17.8,7.9,75,42,6.69,13.13
KALGOORLIE-BOULDER AIRPORT,03/09/2022,2.2,0.0, ,13.0,11.7,95,45,5.68,5.83
KALGOORLIE-BOULDER AIRPORT,04/09/2022,1.4,5.0, ,17.2,9.3,99,75,2.66,6.96
KALGOORLIE-BOULDER AIRPORT,05/09/2022,2.6,0.0, ,20.4,10.0,99,64,3.40,15.73
KALGOORLIE-BOULDER AIRPORT,06/09/2022,2.7,9.8, ,16.9,9.9,97,50,4.64,12.87
KALGOORLIE-BOULDER AIRPORT,07/09/2022,3.2,6.8, ,17.8,6.8,99,45,4.99,17.93
KALGOORLIE-BOULDER AIRPORT,08/09/2022,3.0,0.2, ,17.5,6.1,97,44,2.95,19.71
KALGOORLIE-BOULDER AIRPORT,09/09/2022,3.3,0.0, ,19.5,7.0,88,37,3.35,15.52
KALGOORLIE-BOULDER AIRPORT,10/09/2022,2.6,3.6, ,18.7,10.9,99,49,2.62,14.47
KALGOORLIE-BOULDER AIRPORT,11/09/2022,3.6,0.4, ,22.4,6.2,96,36,2.76,19.39
KALGOORLIE-BOULDER AIRPORT,12/09/2022,5.8,0.0, ,25.9,13.0,56,31,5.42,18.21
KALGOORLIE-BOULDER AIRPORT,13/09/2022,5.4,0.0, ,22.8,15.4,72,33,7.20,16.29
KALGOORLIE-BOULDER AIRPORT,14/09/2022,4.9,0.2, ,19.0,8.2,74,30,7.27,20.78
KALGOORLIE-BOULDER AIRPORT,15/09/2022,4.5,0.2, ,19.7,7.9,83,34,6.32,20.24
KALGOORLIE-BOULDER AIRPORT,16/09/2022,4.6,0.0, ,20.8,9.0,83,26,4.86,20.24
KALGOORLIE-BOULDER AIRPORT,17/09/2022,4.1,0.0, ,24.1,3.7,77,14,1.95,21.43
KALGOORLIE-BOULDER AIRPORT,18/09/2022,5.4,0.0, ,26.6,9.5,82,20,3.90,20.52
KALGOORLIE-BOULDER AIRPORT,19/09/2022,4.8,0.0, ,21.3,9.4,75,31,5.64,17.68
KALGOORLIE-BOULDER AIRPORT,20/09/2022,4.4,0.0, ,21.1,8.2,87,33,4.24,21.94
KALGOORLIE-BOULDER AIRPORT,21/09/2022,4.2,0.0, ,24.5,7.4,86,29,2.84,19.34
KALGOORLIE-BOULDER AIRPORT,22/09/2022,4.6,0.0, ,22.9,10.0,80,36,4.35,20.92
KALGOORLIE-BOULDER AIRPORT,23/09/2022,5.2,0.0, ,24.3,9.5,75,31,4.43,22.47
KALGOORLIE-BOULDER AIRPORT,24/09/2022,5.8,0.0, ,23.6,11.4,74,23,5.52,22.20
KALGOORLIE-BOULDER AIRPORT,25/09/2022,4.0,0.0, ,20.0,5.1,88,28,3.21,22.07
KALGOORLIE-BOULDER AIRPORT,26/09/2022,4.4,0.0, ,20.7,6.9,79,33,3.86,22.80
KALGOORLIE-BOULDER AIRPORT,27/09/2022,4.9,0.0, ,24.1,8.0,82,24,3.41,23.11
KALGOORLIE-BOULDER AIRPORT,28/09/2022,6.5,0.0, ,25.7,11.9,51,14,4.66,23.25
KALGOORLIE-BOULDER AIRPORT,29/09/2022,7.0,0.0, ,26.2,10.7,67,19,6.43,22.68
KALGOORLIE-BOULDER AIRPORT,30/09/2022,6.3,0.0, ,25.7,10.2,82,26,6.64,22.52
Totals:,,129.3,26.2, ,,,,,, 
