'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KALGOORLIE-BOULDER AIRPORT Western Australia for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KALGOORLIE-BOULDER AIRPORT,01/11/2022,4.8,0.0, ,22.4,7.0,84,38,4.61,22.07
KALGOORLIE-BOULDER AIRPORT,02/11/2022,5.7,0.0, ,23.4,10.2,80,32,4.18,27.68
KALGOORLIE-BOULDER AIRPORT,03/11/2022,7.1,0.0, ,27.0,12.8,67,21,4.77,28.17
KALGOORLIE-BOULDER AIRPORT,04/11/2022,8.8,0.0, ,33.0,16.1,57,11,4.71,28.01
KALGOORLIE-BOULDER AIRPORT,05/11/2022,7.7,0.0, ,28.5,13.1,73,25,5.89,28.85
KALGOORLIE-BOULDER AIRPORT,06/11/2022,7.4,0.0, ,29.3,11.7,76,24,7.29,17.16
KALGOORLIE-BOULDER AIRPORT,07/11/2022,7.2,0.0, ,28.1,13.9,77,33,5.82,28.66
KALGOORLIE-BOULDER AIRPORT,08/11/2022,2.3,4.0, ,17.9,12.6,94,72,4.91,11.23
KALGOORLIE-BOULDER AIRPORT,09/11/2022,5.1,4.6, ,24.8,12.1,95,37,3.09,25.29
KALGOORLIE-BOULDER AIRPORT,10/11/2022,7.6,0.0, ,31.8,14.2,74,20,4.42,25.73
KALGOORLIE-BOULDER AIRPORT,11/11/2022,6.6,0.0, ,25.4,14.5,79,27,6.44,22.76
KALGOORLIE-BOULDER AIRPORT,12/11/2022,6.2,0.2, ,21.4,7.2,84,22,6.32,28.84
KALGOORLIE-BOULDER AIRPORT,13/11/2022, ,0.0, , ,11.4,88,33,5.55,20.26
KALGOORLIE-BOULDER AIRPORT,14/11/2022,6.2, , ,22.5,8.6,70,23,4.45,29.44
KALGOORLIE-BOULDER AIRPORT,15/11/2022,6.9,0.0, ,25.0,10.5,75,18,4.71,29.94
KALGOORLIE-BOULDER AIRPORT,16/11/2022,8.9,0.0, ,30.4,13.5,62,16,5.85,29.75
KALGOORLIE-BOULDER AIRPORT,17/11/2022,7.2,7.0, ,26.3,15.2,90,24,6.67,28.09
KALGOORLIE-BOULDER AIRPORT,18/11/2022,5.2,0.0, ,20.5,13.8,77,38,6.73,19.73
KALGOORLIE-BOULDER AIRPORT,19/11/2022,5.9,3.8, ,21.4,6.2,82,28,5.27,30.39
KALGOORLIE-BOULDER AIRPORT,20/11/2022,6.4,0.0, ,25.4,8.3,79,25,4.03,30.39
KALGOORLIE-BOULDER AIRPORT,21/11/2022,7.3,0.0, ,26.1,11.4,72,22,5.12,30.52
KALGOORLIE-BOULDER AIRPORT,22/11/2022,8.5,0.0, ,29.7,14.2,50,14,4.69,30.61
KALGOORLIE-BOULDER AIRPORT,23/11/2022,8.4,0.0, ,33.3,18.2,48,13,5.07,18.53
KALGOORLIE-BOULDER AIRPORT,24/11/2022,8.8,0.0, ,36.9,17.3,75,14,4.12,26.85
KALGOORLIE-BOULDER AIRPORT,25/11/2022,9.1,0.0, ,32.3,19.5,51,9,5.07,26.03
KALGOORLIE-BOULDER AIRPORT,26/11/2022,7.9,0.0, ,29.1,15.3,64,21,4.53,30.40
KALGOORLIE-BOULDER AIRPORT,27/11/2022,7.6,0.0, ,27.3,13.2,72,27,5.50,30.93
KALGOORLIE-BOULDER AIRPORT,28/11/2022,8.0,0.0, ,28.0,12.5,70,21,5.54,30.89
KALGOORLIE-BOULDER AIRPORT,29/11/2022,9.0,0.0, ,31.6,15.4,58,12,4.78,31.08
KALGOORLIE-BOULDER AIRPORT,30/11/2022,10.5,0.0, ,32.7,21.0,34,12,7.58,17.47
Totals:,,208.3,19.6, ,,,,,, 
