'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KALGOORLIE-BOULDER AIRPORT Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KALGOORLIE-BOULDER AIRPORT,01/04/2023,2.5,13.2, ,20.8,13.8,97,65,5.48,9.71
KALGOORLIE-BOULDER AIRPORT,02/04/2023,3.4,0.8, ,25.6,13.9,93,59,3.31,16.25
KALGOORLIE-BOULDER AIRPORT,03/04/2023,4.5,0.2, ,29.8,15.5,92,31,2.59,18.95
KALGOORLIE-BOULDER AIRPORT,04/04/2023,3.9,0.0, ,26.0,15.8,93,50,4.05,16.91
KALGOORLIE-BOULDER AIRPORT,05/04/2023,4.7,0.0, ,24.6,12.5,89,26,4.18,19.30
KALGOORLIE-BOULDER AIRPORT,06/04/2023,4.1,0.0, ,23.9,12.2,88,34,3.85,17.63
KALGOORLIE-BOULDER AIRPORT,07/04/2023,4.7,0.0, ,25.6,12.1,83,36,4.70,18.71
KALGOORLIE-BOULDER AIRPORT,08/04/2023,3.6,2.8, ,22.4,13.6,83,54,5.94,12.67
KALGOORLIE-BOULDER AIRPORT,09/04/2023,3.9,0.0, ,25.0,11.7,94,36,3.05,18.91
KALGOORLIE-BOULDER AIRPORT,10/04/2023,5.8,0.0, ,30.0,13.6,91,17,4.30,18.70
KALGOORLIE-BOULDER AIRPORT,11/04/2023,4.7,0.0, ,24.5,13.9,74,36,4.82,18.41
KALGOORLIE-BOULDER AIRPORT,12/04/2023,3.9,0.0, ,28.7,10.7,80,21,1.90,18.38
KALGOORLIE-BOULDER AIRPORT,13/04/2023,8.1,0.0, ,34.5,14.7,44,19,5.76,17.66
KALGOORLIE-BOULDER AIRPORT,14/04/2023,4.4,0.6, ,18.8,10.2,89,27,7.36,17.17
KALGOORLIE-BOULDER AIRPORT,15/04/2023,4.0,0.6, ,21.0,7.2,76,31,4.14,17.85
KALGOORLIE-BOULDER AIRPORT,16/04/2023,3.2,0.0, ,23.8,7.7,78,29,1.86,17.76
KALGOORLIE-BOULDER AIRPORT,17/04/2023,4.1,0.0, ,26.2,10.3,79,21,3.01,14.99
KALGOORLIE-BOULDER AIRPORT,18/04/2023,3.7,0.0, ,21.3,14.4,79,40,4.71,13.08
KALGOORLIE-BOULDER AIRPORT,19/04/2023,3.6,0.0, ,21.1,8.3,86,35,3.84,17.09
KALGOORLIE-BOULDER AIRPORT,20/04/2023,4.4,0.0, ,21.8,11.1,65,32,4.91,17.23
KALGOORLIE-BOULDER AIRPORT,21/04/2023,4.1,0.0, ,25.1,11.0,61,23,2.97,16.96
KALGOORLIE-BOULDER AIRPORT,22/04/2023,4.7,0.0, ,27.9,12.0,49,16,3.05,16.65
KALGOORLIE-BOULDER AIRPORT,23/04/2023,6.3,0.0, ,30.3,15.2,33,13,4.21,16.59
KALGOORLIE-BOULDER AIRPORT,24/04/2023,5.1,0.0, ,29.6,15.2,91,24,4.64,14.72
KALGOORLIE-BOULDER AIRPORT,25/04/2023,2.0,3.8, ,16.9,13.2,93,46,3.02,5.95
KALGOORLIE-BOULDER AIRPORT,26/04/2023,3.8,3.4, ,21.0,9.3,78,42,5.60,15.95
KALGOORLIE-BOULDER AIRPORT,27/04/2023,3.9,0.2, ,23.6,7.6,90,34,4.56,15.46
KALGOORLIE-BOULDER AIRPORT,28/04/2023,2.9,0.0, ,18.2,7.7,90,33,3.27,15.35
KALGOORLIE-BOULDER AIRPORT,29/04/2023,2.3,0.0, ,19.6,4.9,91,37,1.58,15.89
KALGOORLIE-BOULDER AIRPORT,30/04/2023,2.6,0.0, ,22.2,6.5,83,29,1.80,13.57
Totals:,,122.9,25.6, ,,,,,, 
