'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KALUMBURU Western Australia for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KALUMBURU,01/12/2022,6.5,0.0, ,38.2,24.5,94,25,1.67,26.00
KALUMBURU,02/12/2022, ,0.0, , ,21.8,91,14,1.77,28.78
KALUMBURU,03/12/2022,7.2, , ,39.3,23.5,94,18,1.86,28.87
KALUMBURU,04/12/2022,7.5,0.0, ,39.8,22.4,93,21,2.17,28.84
KALUMBURU,05/12/2022,8.0,0.0, ,41.1,25.6,92,24,2.51,28.50
KALUMBURU,06/12/2022,7.5,0.0, ,40.8,27.2,90,24,3.20,22.08
KALUMBURU,07/12/2022,5.1,14.4, ,35.2,22.4,93,52,1.54,21.42
KALUMBURU,08/12/2022,7.0,0.2, ,36.2,24.8,93,42,2.45,28.83
KALUMBURU,09/12/2022,7.5,0.0, ,39.3,25.6,93,30,2.28,28.88
KALUMBURU,10/12/2022,5.7,4.2, ,38.3,25.5,89,34,1.98,20.23
KALUMBURU,11/12/2022,6.4,0.0, ,39.8,26.2,93,28,2.58,20.24
KALUMBURU,12/12/2022,6.9,1.0, ,37.4,26.7,94,49,2.65,27.27
KALUMBURU,13/12/2022,6.1,6.6, ,36.2,24.8,84,35,1.92,24.00
KALUMBURU,14/12/2022,3.2,0.0, ,33.5,25.7,91,54,1.58,10.88
KALUMBURU,15/12/2022,6.6,0.0, ,36.7,24.3,92,40,2.21,26.64
KALUMBURU,16/12/2022,6.6,6.8, ,36.4,22.3,90,42,2.13,27.90
KALUMBURU,17/12/2022,5.7,2.0, ,36.2,24.2,91,47,2.16,22.24
KALUMBURU,18/12/2022,7.0,5.8, ,37.5,23.8,91,37,2.06,28.53
KALUMBURU,19/12/2022,5.5,3.2, ,35.4,24.1,92,46,2.09,21.68
KALUMBURU,20/12/2022,4.4,11.0, ,32.4,24.3,94,60,1.74,18.80
KALUMBURU,21/12/2022,3.3,0.8, ,31.6,24.9,93,61,1.79,12.20
KALUMBURU,22/12/2022,2.6,4.0, ,31.3,23.9,92,67,1.62,9.24
KALUMBURU,23/12/2022, ,1.0, , ,25.3,92,56,2.34,20.89
KALUMBURU,24/12/2022, , , ,35.9, ,91,52,2.39,24.74
KALUMBURU,25/12/2022,6.7,0.0, ,36.3,27.2,85,39,2.53,25.18
KALUMBURU,26/12/2022,6.3,0.0, ,35.7,26.1,91,47,2.41,25.26
KALUMBURU,27/12/2022,5.8,0.0, ,35.8,25.8,84,49,2.29,22.03
KALUMBURU,28/12/2022,4.2,1.4, ,33.3,25.3,89,59,2.16,15.70
KALUMBURU,29/12/2022,4.2,0.2, ,32.2,27.5,94,59,2.89,15.04
KALUMBURU,30/12/2022,3.6,142.6, ,30.5,23.6,94,67,4.10,12.33
KALUMBURU,31/12/2022,2.9,48.6, ,29.9,24.6,92,70,3.71,8.68
Totals:,,160,253.8, ,,,,,, 
