'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KALUMBURU Western Australia for February 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KALUMBURU,01/02/2023,4.1,0.0, ,33.0,25.9,93,65,1.64,17.07
KALUMBURU,02/02/2023,4.2,25.2, ,30.6,25.0,94,69,1.50,19.10
KALUMBURU,03/02/2023,6.0,0.2, ,35.2,25.6,91,57,1.89,26.06
KALUMBURU,04/02/2023,6.2,1.8, ,35.6,23.7,94,50,1.61,27.44
KALUMBURU,05/02/2023,5.3,2.6, ,32.9,24.5,93,58,2.19,23.25
KALUMBURU,06/02/2023,6.0,15.0, ,33.9,24.2,94,53,1.59,27.32
KALUMBURU,07/02/2023,6.5,0.0, ,35.5,24.2,95,38,1.66,28.71
KALUMBURU,08/02/2023,6.6,0.0, ,36.0,24.8,94,48,2.32,27.64
KALUMBURU,09/02/2023,6.5,0.0, ,36.4,27.3,87,51,2.72,25.50
KALUMBURU,10/02/2023,5.1,3.4, ,34.8,23.8,89,55,2.31,20.21
KALUMBURU,11/02/2023,6.2,0.2, ,35.2,24.8,92,52,2.10,26.63
KALUMBURU,12/02/2023,5.0,5.2, ,34.5,24.2,92,55,2.08,20.19
KALUMBURU,13/02/2023,2.7,14.4, ,30.3,23.3,94,70,1.27,10.93
KALUMBURU,14/02/2023,4.9,2.4, ,34.6,25.2,94,49,1.15,21.12
KALUMBURU,15/02/2023,5.1,0.0, ,34.9,25.6,94,54,1.52,21.70
KALUMBURU,16/02/2023,6.4,0.0, ,37.0,25.2,95,43,1.50,27.43
KALUMBURU,17/02/2023,6.4,0.0, ,37.1,25.2,94,48,1.81,27.27
KALUMBURU,18/02/2023,5.9,11.8, ,35.0,23.1,95,54,1.50,27.04
KALUMBURU,19/02/2023,5.5,0.0, ,35.4,24.4,94,50,1.52,23.87
KALUMBURU,20/02/2023,3.3,0.0, ,32.3,25.3,95,64,1.30,13.23
KALUMBURU,21/02/2023,4.3,23.0, ,33.2,24.2,95,57,1.42,18.16
KALUMBURU,22/02/2023,3.6,4.4, ,31.7,24.7,94,65,1.36,15.17
KALUMBURU,23/02/2023,3.7,9.4, ,31.3,24.8,94,71,1.49,16.40
KALUMBURU,24/02/2023,4.4,10.2, ,31.5,24.3,94,64,1.71,19.88
KALUMBURU,25/02/2023,4.4,0.0, ,32.0,25.5,95,65,2.24,18.83
KALUMBURU,26/02/2023,2.5,13.8, ,28.5,24.2,95,74,1.79,9.96
KALUMBURU,27/02/2023,3.2,37.6, ,30.0,24.2,95,74,3.51,12.70
KALUMBURU,28/02/2023, ,192.0, , ,24.2,94,73,3.29,10.85
Totals:,,134,372.6, ,,,,,, 
