'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KALUMBURU Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KALUMBURU,01/04/2023,5.4,0.0, ,36.1,22.9,95,46,1.35,24.36
KALUMBURU,02/04/2023,5.3,0.0, ,35.4,23.8,94,47,1.74,22.73
KALUMBURU,03/04/2023,4.2,0.0, ,32.2,24.2,94,55,1.73,18.28
KALUMBURU,04/04/2023,5.2,0.0, ,34.8,23.0,94,49,1.61,23.57
KALUMBURU,05/04/2023,5.6,0.0, ,36.4,23.3,95,44,2.32,22.57
KALUMBURU,06/04/2023,4.9,59.2, ,35.8,22.7,95,47,1.70,20.55
KALUMBURU,07/04/2023,3.6,6.2, ,33.8,24.0,95,55,1.01,15.65
KALUMBURU,08/04/2023,3.5,3.0, ,33.5,24.5,94,61,1.27,14.94
KALUMBURU,09/04/2023,2.1,41.8, ,29.8,22.9,95,72,1.87,7.04
KALUMBURU,10/04/2023,3.4,15.8, ,31.4,24.7,94,68,2.36,13.61
KALUMBURU,11/04/2023, ,8.4, , ,25.3,94,69,1.94,14.06
KALUMBURU,12/04/2023,4.4, , ,32.6,24.6,95,61,1.69,19.67
KALUMBURU,13/04/2023,2.6,0.2, ,30.0,24.9,95,77,1.23,11.36
KALUMBURU,14/04/2023,4.5,9.0, ,32.6,24.3,95,62,1.63,20.87
KALUMBURU,15/04/2023,4.1,0.4, ,33.6,25.1,95,59,1.11,18.70
KALUMBURU,16/04/2023, ,1.4, , ,24.6,95,54,1.49,18.70
KALUMBURU,17/04/2023, , , , , , , , ,23.56
KALUMBURU,27/04/2023, , , , , , , , ,16.79
KALUMBURU,28/04/2023, , , , , , , , ,22.21
KALUMBURU,29/04/2023, , , ,35.2, ,95,38,1.48,20.84
KALUMBURU,30/04/2023,4.7,0.0, ,35.7,22.2,96,35,1.29,21.75
Totals:,,63.5,145.4, ,,,,,, 
