'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KALUMBURU Western Australia for October 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KALUMBURU,01/10/2023,6.4,0.0, ,35.3,22.5,92,33,2.40,26.44
KALUMBURU,02/10/2023, ,0.0, , ,22.7,92,33,2.60,26.55
KALUMBURU,03/10/2023, , , , , ,92,26,3.02,26.60
KALUMBURU,04/10/2023,7.5, , ,38.4,26.3,82,32,3.13,26.45
KALUMBURU,05/10/2023,6.4,0.0, ,36.4,24.7,89,48,2.69,25.39
KALUMBURU,06/10/2023,5.6,0.0, ,37.0,25.2,87,38,2.20,20.44
KALUMBURU,07/10/2023,7.4,0.0, ,39.5,23.5,92,13,2.44,27.05
KALUMBURU,08/10/2023,7.1,0.0, ,39.1,20.3,88,8,2.12,27.14
KALUMBURU,09/10/2023,7.7,0.0, ,39.0,17.5,88,7,2.61,27.18
KALUMBURU,10/10/2023,6.8,0.0, ,37.2,18.9,92,27,2.29,27.22
KALUMBURU,11/10/2023,6.9,0.0, ,37.6,22.3,93,23,2.41,26.22
KALUMBURU,12/10/2023,5.9,0.0, ,37.2,24.1,91,32,1.94,22.86
KALUMBURU,13/10/2023,7.0,0.0, ,37.9,23.2,89,32,2.44,27.18
KALUMBURU,14/10/2023,7.7,0.0, ,39.4,23.9,89,21,2.96,26.63
KALUMBURU,15/10/2023,7.2,0.0, ,41.2,22.7,93,19,2.07,26.46
KALUMBURU,16/10/2023,7.5,0.0, ,40.0,20.4,89,9,2.32,27.51
KALUMBURU,17/10/2023,8.1,0.0, ,40.0,19.6,94,5,2.81,27.57
KALUMBURU,18/10/2023,8.4,0.0, ,40.9,21.3,90,6,2.89,27.54
KALUMBURU,19/10/2023,7.6,0.0, ,41.2,20.8,89,6,2.17,27.73
KALUMBURU,20/10/2023,7.3,0.0, ,38.2,17.6,92,15,2.42,27.80
KALUMBURU,21/10/2023,6.4,0.0, ,35.0,22.1,94,41,2.31,27.72
KALUMBURU,22/10/2023,6.7,0.0, ,35.7,21.5,92,35,2.39,27.80
KALUMBURU,23/10/2023,6.9,0.0, ,37.7,21.7,93,27,2.09,27.87
KALUMBURU,24/10/2023,7.1,0.0, ,37.2,23.1,91,25,2.33,27.91
KALUMBURU,25/10/2023,6.8,0.0, ,38.9,23.5,92,32,1.82,27.84
KALUMBURU,26/10/2023,6.5,0.0, ,36.2,24.5,89,49,2.08,27.67
KALUMBURU,27/10/2023,7.7,0.0, ,39.9,25.2,90,12,2.35,27.91
KALUMBURU,28/10/2023,7.7,0.0, ,41.6,20.3,85,6,2.12,27.95
KALUMBURU,29/10/2023,7.3,0.0, ,38.5,20.6,83,23,2.38,27.94
KALUMBURU,30/10/2023,6.6,0.0, ,36.3,22.9,92,43,2.39,27.46
KALUMBURU,31/10/2023, ,0.0, , ,24.0,90,43,2.71,27.77
Totals:,,198.2,0, ,,,,,, 
