'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KARIJINI NORTH Western Australia for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KARIJINI NORTH,01/10/2022,4.9,3.8, ,29.7,16.8,95,29,2.06,21.69
KARIJINI NORTH,02/10/2022,6.0,0.0, ,31.3,17.1,92,25,3.10,23.91
KARIJINI NORTH,03/10/2022,6.2,0.0, ,29.1,17.9,66,25,3.33,24.33
KARIJINI NORTH,04/10/2022,6.6,0.0, ,30.3,17.3,62,25,3.38,25.98
KARIJINI NORTH,05/10/2022,6.7,0.0, ,32.3,15.3,79,16,3.08,26.20
KARIJINI NORTH,06/10/2022,8.3,0.0, ,32.1,17.6,49,19,4.91,26.29
KARIJINI NORTH,07/10/2022,8.4,0.0, ,33.3,20.5,31,16,4.22,25.90
KARIJINI NORTH,08/10/2022,9.0,0.0, ,33.4,20.9,37,12,4.88,26.52
KARIJINI NORTH,09/10/2022,7.4,0.0, ,35.1,15.7,51,9,2.87,26.63
KARIJINI NORTH,10/10/2022,9.7,0.0, ,37.7,17.4,46,6,4.60,26.74
KARIJINI NORTH,11/10/2022,10.3,0.0, ,36.5,22.5,24,10,5.28,26.23
KARIJINI NORTH,12/10/2022,9.8,0.0, ,28.7,20.1,33,10,7.18,26.36
KARIJINI NORTH,13/10/2022,9.4,0.0, ,28.4,16.4,25,9,6.39,27.05
KARIJINI NORTH,14/10/2022,8.4,0.0, ,30.0,17.7,26,9,4.48,27.16
KARIJINI NORTH,15/10/2022,6.5,0.0, ,33.5,13.7,32,7,2.14,27.27
KARIJINI NORTH,16/10/2022,9.6,0.0, ,35.9,16.3,33,8,4.64,27.37
KARIJINI NORTH,17/10/2022,11.3,0.0, ,33.2,21.2,31,7,7.22,27.46
KARIJINI NORTH,18/10/2022,8.5,0.0, ,32.7,18.6,27,10,4.00,27.55
KARIJINI NORTH,19/10/2022,8.8,0.0, ,35.5,17.0,27,10,3.83,27.64
KARIJINI NORTH,20/10/2022,8.8,0.0, ,36.6,21.3,47,19,4.18,26.55
KARIJINI NORTH,21/10/2022,10.3,0.0, ,37.9,25.8,50,12,5.28,26.85
KARIJINI NORTH,22/10/2022,11.8,0.0, ,38.4,24.8,34,9,6.25,27.88
KARIJINI NORTH,23/10/2022,10.8,0.0, ,38.0,19.9,26,7,5.17,27.96
KARIJINI NORTH,24/10/2022,11.0,0.0, ,35.3,21.9,42,10,6.46,28.01
KARIJINI NORTH,25/10/2022,10.7,0.0, ,33.7,20.9,27,7,6.12,28.14
KARIJINI NORTH,26/10/2022,9.4,0.0, ,34.7,22.1,22,6,4.24,28.21
KARIJINI NORTH,27/10/2022,8.3,0.0, ,34.9,16.0,39,14,3.64,27.92
KARIJINI NORTH,28/10/2022,7.5,0.0, ,34.7,15.9,77,11,2.92,28.36
KARIJINI NORTH,29/10/2022,7.9,0.0, ,30.6,14.7,62,13,4.25,28.45
KARIJINI NORTH,30/10/2022,9.2,0.0, ,29.6,17.8,56,12,6.54,28.54
KARIJINI NORTH,31/10/2022,9.2,0.0, ,28.7,15.3,22,7,5.53,28.60
Totals:,,270.7,3.8, ,,,,,, 
